period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,1,1,aswand,1,707.75,7.75,0,0,0,0,0,0,0,290,78.919015875,0.078919015875,0.15253140826875,0,290,290,0,44.2341083979375
1,1,2,1,aswand,1,425.5,7.75,0,0,0,0,0,0,0,290,78.919015875,0.078919015875,0.15253140826875,0,290,290,0,44.2341083979375
2,2,3,1,aswand,1,143.25,7.75,0,0,0,0,0,0,0,290,78.919015875,0.078919015875,0.15253140826875,0,290,290,0,44.2341083979375
3,3,4,1,aswand,1,0,7.75,0,0,0,0,0,0,0,151,41.0923151625,0.0410923151625,0.15253140826875,0,151,151,0,23.03224264858125
4,4,5,1,aswand,1,0,7.75,0,0,0,0,0,0,0,7.75,2.109042665625,0.002109042665625,0.15253140826875,0,7.75,7.75,0,1.1821184140828125
5,5,6,1,aswand,1,0,7.75,0,0,0,0,0,0,0,7.75,2.109042665625,0.002109042665625,0.15253140826875,0,7.75,7.75,0,1.1821184140828125
6,6,7,1,aswand,1,0,7.75,0,0,0,0,0,0,0,7.75,2.109042665625,0.002109042665625,0.15253140826875,0,7.75,7.75,0,1.1821184140828125
7,7,8,1,aswand,1,0,7.75,0,0,0,0,0,0,0,7.75,2.109042665625,0.002109042665625,0.15253140826875,0,7.75,7.75,0,1.1821184140828125
8,8,9,1,aswand,1,0,7.75,0,0,0,0,0,0,0,7.75,2.109042665625,0.002109042665625,0.15253140826875,0,7.75,7.75,0,1.1821184140828125
9,9,10,1,aswand,1,0,7.75,0,0,0,0,0,0,0,7.75,2.109042665625,0.002109042665625,0.15253140826875,0,7.75,7.75,0,1.1821184140828125
10,10,11,1,aswand,1,0,247.75,0,0,0,0,0,0,0,247.75,67.421331665625,0.067421331665625,0.15253140826875,0,247.75,247.75,0,37.789656398582814
11,11,12,1,aswand,1,0,235.95000000000002,0,0,0,0,0,0,0,235.95000000000002,64.210144123125,0.06421014412312501,0.15253140826875,0,235.95000000000002,235.95000000000002,0,35.98978578101156
12,12,13,1,aswand,1,0,10.85,0,0,0,0,0,0,0,10.85,2.952659731875,0.0029526597318749997,0.15253140826875,0,10.85,10.85,0,1.6549657797159374
13,13,14,1,aswand,1,0,91.4100000027776,0,0,0,0,0,0,0,91.4100000027776,24.875818073630878,0.024875818073630877,0.15253140826875,0,91.4100000027776,91.4100000027776,0,13.942896030270107
14,14,15,1,aswand,1,0,199.9100000027776,0,0,0,0,0,0,0,199.9100000027776,54.40241539238088,0.05440241539238088,0.15253140826875,0,199.9100000027776,199.9100000027776,0,30.492553827429482
15,15,16,1,aswand,1,0,199.9100000027776,0,0,0,0,0,0,0,199.9100000027776,54.40241539238088,0.05440241539238088,0.15253140826875,0,199.9100000027776,199.9100000027776,0,30.492553827429482
16,16,17,1,aswand,1,0,199.9100000027776,0,0,0,0,0,0,0,199.9100000027776,54.40241539238088,0.05440241539238088,0.15253140826875,0,199.9100000027776,199.9100000027776,0,30.492553827429482
17,17,18,1,aswand,1,0,199.9100000027776,0,0,0,0,0,0,0,199.9100000027776,54.40241539238088,0.05440241539238088,0.15253140826875,0,199.9100000027776,199.9100000027776,0,30.492553827429482
18,18,19,1,aswand,1,0,199.9100000027776,0,0,0,0,0,0,0,199.9100000027776,54.40241539238088,0.05440241539238088,0.15253140826875,0,199.9100000027776,199.9100000027776,0,30.492553827429482
19,19,20,1,aswand,1,0,202.71000000277755,0,0,0,0,0,0,0,202.71000000277755,55.16439209738087,0.05516439209738087,0.15253140826875,0,202.71000000277755,202.71000000277755,0,30.919641770581975
20,20,21,1,aswand,1,0,247.75,0,0,0,0,0,0,0,247.75,67.421331665625,0.067421331665625,0.15253140826875,0,247.75,247.75,0,37.789656398582814
21,21,22,1,aswand,1,0,247.75,0,0,0,0,0,0,0,247.75,67.421331665625,0.067421331665625,0.15253140826875,0,247.75,247.75,0,37.789656398582814
22,22,23,1,aswand,1,0,247.75,0,0,0,0,0,0,0,247.75,67.421331665625,0.067421331665625,0.15253140826875,0,247.75,247.75,0,37.789656398582814
23,23,24,1,aswand,1,0,247.75,0,0,0,0,0,0,0,247.75,67.421331665625,0.067421331665625,0.15253140826875,0,247.75,247.75,0,37.789656398582814
24,24,25,1,aswand,1,0,247.75,0,0,0,0,0,0,0,247.75,67.421331665625,0.067421331665625,0.15253140826875,0,247.75,247.75,0,37.789656398582814
25,25,26,1,aswand,1,0,247.75,0,0,0,0,0,0,0,247.75,67.421331665625,0.067421331665625,0.15253140826875,0,247.75,247.75,0,37.789656398582814
26,26,27,1,aswand,1,0,247.75,0,0,0,0,0,0,0,247.75,67.421331665625,0.067421331665625,0.15253140826875,0,247.75,247.75,0,37.789656398582814
27,27,28,1,aswand,1,0,247.75,0,0,0,0,0,0,0,247.75,67.421331665625,0.067421331665625,0.15253140826875,0,247.75,247.75,0,37.789656398582814
28,28,29,1,aswand,1,0,247.75,0,0,0,0,0,0,0,247.75,67.421331665625,0.067421331665625,0.15253140826875,0,247.75,247.75,0,37.789656398582814
29,29,30,1,aswand,1,0,247.75,0,0,0,0,0,0,0,247.75,67.421331665625,0.067421331665625,0.15253140826875,0,247.75,247.75,0,37.789656398582814
30,30,31,1,aswand,1,0,247.75,0,0,0,0,0,0,0,247.75,67.421331665625,0.067421331665625,0.15253140826875,0,247.75,247.75,0,37.789656398582814
31,31,32,1,aswand,1,0,247.75,0,0,0,0,0,0,0,247.75,67.421331665625,0.067421331665625,0.15253140826875,0,247.75,247.75,0,37.789656398582814
32,32,33,1,aswand,1,0,247.75,0,0,0,0,0,0,0,247.75,67.421331665625,0.067421331665625,0.15253140826875,0,247.75,247.75,0,37.789656398582814
33,33,34,1,aswand,1,0,247.75,0,0,0,0,0,0,0,247.75,67.421331665625,0.067421331665625,0.15253140826875,0,247.75,247.75,0,37.789656398582814
34,34,35,1,aswand,1,0,247.75,0,0,0,0,0,0,0,247.75,67.421331665625,0.067421331665625,0.15253140826875,0,247.75,247.75,0,37.789656398582814
