period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,1,1,cairo,1,0,0,0,0,94.5,224.83999999591202,0,224.83999999591202,0,0,0,0,0,0,0,0,0,0
1,1,2,1,cairo,1,0,0,0,0,94.5,224.83999999591202,0,224.83999999591202,0,0,0,0,0,0,0,0,0,0
2,2,3,1,cairo,1,0,0,0,0,94.5,224.83999999591202,0,224.83999999591202,0,0,0,0,0,0,0,0,0,0
3,3,4,1,cairo,1,0,0,0,0,94.5,224.83999999591202,0,224.83999999591202,0,0,0,0,0,0,0,0,0,0
4,4,5,1,cairo,1,0,0,0,0,94.5,224.83999999591202,0,224.83999999591202,0,0,0,0,0,0,0,0,0,0
5,5,6,1,cairo,1,0,0,0,0,94.5,224.83999999591202,0,224.83999999591202,0,0,0,0,0,0,0,0,0,0
6,6,7,1,cairo,1,0,0,0,0,94.5,224.83999999591202,0,224.83999999591202,0,0,0,0,0,0,0,0,0,0
7,7,8,1,cairo,1,0,0,0,0,94.5,224.83999999591202,0,224.83999999591202,0,0,0,0,0,0,0,0,0,0
8,8,9,1,cairo,1,0,0,0,0,94.5,224.83999999591202,0,224.83999999591202,0,0,0,0,0,0,0,0,0,0
9,9,10,1,cairo,1,0,0,0,0,94.5,224.83999999591202,0,224.83999999591202,0,0,0,0,0,0,0,0,0,0
10,10,11,1,cairo,1,0,0,0,0,94.5,224.83999999591202,0,224.83999999591202,0,0,0,0,0,0,0,0,0,0
11,11,12,1,cairo,1,0,0,0,0,94.5,224.83999999591202,0,224.83999999591202,0,0,0,0,0,0,0,0,0,0
12,12,13,1,cairo,1,0,0,0,0,94.5,224.83999999591202,0,224.83999999591202,0,0,0,0,0,0,0,0,0,0
13,13,14,1,cairo,1,0,290,0,94.5,0,224.83999999591202,195.50000000000003,29.339999995911995,319.90909091490744,-0.00000000000002842170943040401,0,0,0,0,-0.00000000000002842170943040401,0,0,0
14,14,15,1,cairo,1,0,290,0,94.5,0,224.83999999591202,195.50000000000003,29.339999995911995,319.90909091490744,-0.00000000000002842170943040401,0,0,0,0,-0.00000000000002842170943040401,0,0,0
15,15,16,1,cairo,1,0,290,0,94.5,0,224.83999999591202,195.50000000000003,29.339999995911995,319.90909091490744,-0.00000000000002842170943040401,0,0,0,0,-0.00000000000002842170943040401,0,0,0
16,16,17,1,cairo,1,0,151,0,94.5,0,224.83999999591202,56.5,168.33999999591202,92.45454545622644,0,0,0,0,0,0,0,0,0
17,17,18,1,cairo,1,0,7.75,0,7.75,86.75,224.83999999591202,0,224.83999999591202,0,0,0,0,0,0,0,0,0,0
18,18,19,1,cairo,1,0,7.75,0,7.75,86.75,224.83999999591202,0,224.83999999591202,0,0,0,0,0,0,0,0,0,0
19,19,20,1,cairo,1,0,7.75,0,7.75,86.75,224.83999999591202,0,224.83999999591202,0,0,0,0,0,0,0,0,0,0
20,20,21,1,cairo,1,0,7.75,0,7.75,86.75,224.83999999591202,0,224.83999999591202,0,0,0,0,0,0,0,0,0,0
21,21,22,1,cairo,1,0,7.75,0,7.75,86.75,224.83999999591202,0,224.83999999591202,0,0,0,0,0,0,0,0,0,0
22,22,23,1,cairo,1,0,7.75,0,7.75,86.75,224.83999999591202,0,224.83999999591202,0,0,0,0,0,0,0,0,0,0
23,23,24,1,cairo,1,0,247.75,0,94.5,0,224.83999999591202,153.25,71.58999999591202,250.77272727728675,0,0,0,0,0,0,0,0,0
24,24,25,1,cairo,1,0,235.95000000000002,0,94.5,0,224.83999999591202,141.45000000000002,83.389999995912,231.4636363678448,0,0,0,0,0,0,0,0,0
25,25,26,1,cairo,1,0,10.85,0,10.85,83.65,224.83999999591202,0,224.83999999591202,0,0,0,0,0,0,0,0,0,0
