period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,1,1,gerd,1,330,0,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.229647226375,0,220,220,0,50.5223898025
1,1,2,1,gerd,1,110,0,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.229647226375,0,220,220,0,50.5223898025
2,2,3,1,gerd,1,153.5,263.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.229647226375,0,220,220,0,50.5223898025
3,3,4,1,gerd,1,197,263.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.229647226375,0,220,220,0,50.5223898025
4,4,5,1,gerd,1,240.5,263.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.229647226375,0,220,220,0,50.5223898025
5,5,6,1,gerd,1,284,263.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.229647226375,0,220,220,0,50.5223898025
6,6,7,1,gerd,1,327.5,263.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.229647226375,0,220,220,0,50.5223898025
7,7,8,1,gerd,1,371,263.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.229647226375,0,220,220,0,50.5223898025
8,8,9,1,gerd,1,414.5,263.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.229647226375,0,220,220,0,50.5223898025
9,9,10,1,gerd,1,458,263.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.229647226375,0,220,220,0,50.5223898025
10,10,11,1,gerd,1,501.5,263.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.229647226375,0,220,220,0,50.5223898025
