period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,1,1,merowe,1,225.10000000000002,3.1,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.0592983608875,0,240,240,0,14.231606613
1,1,2,1,merowe,1,0,3.1,0,0,0,0,0,0,0,228.20000000000002,37.4844486275,0.0374844486275,0.0592983608875,0,228.20000000000002,228.20000000000002,0,13.5318859545275
2,2,3,1,merowe,1,0,3.1,0,0,0,0,0,0,0,3.1,0.50921030125,0.00050921030125,0.0592983608875,0,3.1,3.1,0,0.18382491875124998
3,3,4,1,merowe,1,0,83.6600000027776,0,0,0,0,0,0,0,83.6600000027776,13.742107678706251,0.01374210767870625,0.0592983608875,0,83.6600000027776,83.6600000027776,0,4.960900872012957
4,4,5,1,merowe,1,0,192.1600000027776,0,0,0,0,0,0,0,192.1600000027776,31.56446822245625,0.031564468222456246,0.0592983608875,0,192.1600000027776,192.1600000027776,0,11.394773028306705
5,5,6,1,merowe,1,0,192.1600000027776,0,0,0,0,0,0,0,192.1600000027776,31.56446822245625,0.031564468222456246,0.0592983608875,0,192.1600000027776,192.1600000027776,0,11.394773028306705
6,6,7,1,merowe,1,0,192.1600000027776,0,0,0,0,0,0,0,192.1600000027776,31.56446822245625,0.031564468222456246,0.0592983608875,0,192.1600000027776,192.1600000027776,0,11.394773028306705
7,7,8,1,merowe,1,0,192.1600000027776,0,0,0,0,0,0,0,192.1600000027776,31.56446822245625,0.031564468222456246,0.0592983608875,0,192.1600000027776,192.1600000027776,0,11.394773028306705
8,8,9,1,merowe,1,0,192.1600000027776,0,0,0,0,0,0,0,192.1600000027776,31.56446822245625,0.031564468222456246,0.0592983608875,0,192.1600000027776,192.1600000027776,0,11.394773028306705
9,9,10,1,merowe,1,0,194.96000000277755,0,0,0,0,0,0,0,194.96000000277755,32.024400107456245,0.03202440010745625,0.0592983608875,0,194.96000000277755,194.96000000277755,0,11.560808438791703
10,10,11,1,merowe,1,34.5600000027776,274.5600000027776,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.0592983608875,0,240,240,0,14.231606613
11,11,12,1,merowe,1,69.1200000055552,274.5600000027776,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.0592983608875,0,240,240,0,14.231606613
12,12,13,1,merowe,1,103.6800000083328,274.5600000027776,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.0592983608875,0,240,240,0,14.231606613
13,13,14,1,merowe,1,138.2400000111104,274.5600000027776,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.0592983608875,0,240,240,0,14.231606613
14,14,15,1,merowe,1,172.800000013888,274.5600000027776,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.0592983608875,0,240,240,0,14.231606613
15,15,16,1,merowe,1,207.3600000166656,274.5600000027776,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.0592983608875,0,240,240,0,14.231606613
16,16,17,1,merowe,1,241.9200000194432,274.5600000027776,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.0592983608875,0,240,240,0,14.231606613
17,17,18,1,merowe,1,276.4800000222208,274.5600000027776,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.0592983608875,0,240,240,0,14.231606613
18,18,19,1,merowe,1,311.04000002499833,274.5600000027776,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.0592983608875,0,240,240,0,14.231606613
19,19,20,1,merowe,1,345.6000000277759,274.5600000027776,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.0592983608875,0,240,240,0,14.231606613
20,20,21,1,merowe,1,380.1600000305534,274.5600000027776,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.0592983608875,0,240,240,0,14.231606613
