period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,1,1,roseires,1,148.39999999999998,12.4,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.049096993224999996,0,150,150,0,7.364548983749999
1,1,2,1,roseires,1,10.799999999999983,12.4,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.049096993224999996,0,150,150,0,7.364548983749999
2,2,3,1,roseires,1,93.19999999999999,232.4,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.049096993224999996,0,150,150,0,7.364548983749999
3,3,4,1,roseires,1,175.60000000000002,232.4,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.049096993224999996,0,150,150,0,7.364548983749999
4,4,5,1,roseires,1,258,232.4,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.049096993224999996,0,150,150,0,7.364548983749999
5,5,6,1,roseires,1,340.4,232.4,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.049096993224999996,0,150,150,0,7.364548983749999
6,6,7,1,roseires,1,420,232.4,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.049096993224999996,2.7999999999999545,152.79999999999995,152.79999999999995,0,7.364548983749999
7,7,8,1,roseires,1,420,232.4,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.049096993224999996,82.39999999999998,232.39999999999998,232.39999999999998,0,7.364548983749999
8,8,9,1,roseires,1,420,232.4,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.049096993224999996,82.39999999999998,232.39999999999998,232.39999999999998,0,7.364548983749999
9,9,10,1,roseires,1,420,232.4,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.049096993224999996,82.39999999999998,232.39999999999998,232.39999999999998,0,7.364548983749999
10,10,11,1,roseires,1,420,232.4,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.049096993224999996,82.39999999999998,232.39999999999998,232.39999999999998,0,7.364548983749999
11,11,12,1,roseires,1,420,232.4,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.049096993224999996,82.39999999999998,232.39999999999998,232.39999999999998,0,7.364548983749999
12,12,13,1,roseires,1,420,232.4,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.049096993224999996,82.39999999999998,232.39999999999998,232.39999999999998,0,7.364548983749999
13,13,14,1,roseires,1,420,232.4,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.049096993224999996,82.39999999999998,232.39999999999998,232.39999999999998,0,7.364548983749999
14,14,15,1,roseires,1,420,232.4,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.049096993224999996,82.39999999999998,232.39999999999998,232.39999999999998,0,7.364548983749999
15,15,16,1,roseires,1,420,232.4,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.049096993224999996,82.39999999999998,232.39999999999998,232.39999999999998,0,7.364548983749999
16,16,17,1,roseires,1,420,232.4,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.049096993224999996,82.39999999999998,232.39999999999998,232.39999999999998,0,7.364548983749999
17,17,18,1,roseires,1,420,232.4,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.049096993224999996,82.39999999999998,232.39999999999998,232.39999999999998,0,7.364548983749999
18,18,19,1,roseires,1,420,232.4,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.049096993224999996,82.39999999999998,232.39999999999998,232.39999999999998,0,7.364548983749999
19,19,20,1,roseires,1,420,232.4,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.049096993224999996,82.39999999999998,232.39999999999998,232.39999999999998,0,7.364548983749999
20,20,21,1,roseires,1,420,232.4,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.049096993224999996,82.39999999999998,232.39999999999998,232.39999999999998,0,7.364548983749999
21,21,22,1,roseires,1,420,232.4,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.049096993224999996,82.39999999999998,232.39999999999998,232.39999999999998,0,7.364548983749999
22,22,23,1,roseires,1,420,232.4,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.049096993224999996,82.39999999999998,232.39999999999998,232.39999999999998,0,7.364548983749999
