period_index,start_day,end_day_exclusive,duration_days,total_inflow,total_evaporation,total_drink_water_met,total_unmet_drink_water,total_food_water_demand,total_food_water_met,total_unmet_food_water,total_food_produced,total_production_release,total_generated_electricity_kwh,total_generated_electricity_mwh,total_spill,total_release_for_routing,total_downstream_release,total_routing_loss,total_energy_value
0,0,1,1,682,57,18.6,102.15,316.6799999933584,0,316.6799999933584,0,1483.15,221.55674012499998,0.22155674012499998,0,1483.15,1483.15,0,116.35265379718749
1,1,2,1,790.5,57,18.6,102.15,316.6799999933584,0,316.6799999933584,0,1579.8500000000001,219.61845575249998,0.2196184557525,0,1579.8500000000001,1579.8500000000001,0,115.65293313871499
2,2,3,1,1532.5,57,18.6,102.15,316.6799999933584,69.4399999972224,247.23999999613602,83.328,1543.8100000027775,182.64321742624998,0.18264321742624998,0,1543.8100000027775,1543.8100000027775,0,102.30487210293875
3,3,4,1,1613.0600000027778,57,18.6,102.15,316.6799999933584,69.4399999972224,247.23999999613602,83.328,1485.3700000055553,158.04941409120624,0.15804941409120624,0,1485.3700000055553,1485.3700000055553,0,85.8800823068442
4,4,5,1,1721.5600000027778,57,18.6,102.15,316.6799999933584,69.4399999972224,247.23999999613602,83.328,1450.6200000055553,136.88850213808124,0.13688850213808124,0,1450.6200000055553,1450.6200000055553,0,70.46383022863951
5,5,6,1,1721.5600000027778,57,18.6,102.15,316.6799999933584,69.4399999972224,247.23999999613602,83.328,1450.6200000055553,136.88850213808124,0.13688850213808124,0,1450.6200000055553,1450.6200000055553,0,70.46383022863951
6,6,7,1,1721.5600000027778,57,18.6,102.15,316.6799999933584,69.4399999972224,247.23999999613602,83.328,1450.6200000055553,136.88850213808124,0.13688850213808124,2.7999999999999545,1453.420000005555,1453.420000005555,0,70.46383022863951
7,7,8,1,1721.5600000027778,57,18.6,102.15,316.6799999933584,69.4399999972224,247.23999999613602,83.328,1450.6200000055553,136.88850213808124,0.13688850213808124,82.39999999999998,1533.0200000055552,1533.0200000055552,0,70.46383022863951
8,8,9,1,1724.3600000027777,57,18.6,102.15,316.6799999933584,69.4399999972224,247.23999999613602,83.328,1453.4200000055553,136.88850213808124,0.13688850213808124,82.39999999999998,1535.8200000055551,1535.8200000055551,0,70.46383022863951
9,9,10,1,1806.7600000027778,57,18.6,102.15,316.6799999933584,69.4399999972224,247.23999999613602,83.328,1535.8200000055554,137.34843402308124,0.13734843402308125,82.39999999999998,1618.2200000055552,1618.2200000055552,0,70.6298656391245
