period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,aswand,0.9499999999999995,0,3256.6000000463746,0,0,0,0,0,0,0,4156.600000046373,1131.1544185851208,1.1311544185851208,0.18464328369374997,0,4156.600000046373,4156.600000046373,0,767.4882730100037
1,30,60,30,aswand,0.9499999999999995,0,6204.600000046375,0,0,0,0,0,0,0,6204.600000046375,1688.4859513851209,1.688485951385121,0.18464328369374997,0,6204.600000046375,6204.600000046375,0,1145.637718014804
2,60,90,30,aswand,0.9499999999999995,0,7121.400000107842,0,0,0,0,0,0,0,7121.400000107842,1937.9788953818477,1.9379788953818478,0.18464328369374997,0,7121.400000107842,7121.400000107842,0,1314.9186805165841
3,90,120,30,aswand,0.9499999999999995,0,7584.000000075237,0,0,0,0,0,0,0,7584.000000075237,2063.8683324204744,2.0638683324204745,0.18464328369374997,0,7584.000000075237,7584.000000075237,0,1400.334663547292
4,120,150,30,aswand,0.9499999999999995,0,7584.000000075237,0,0,0,0,0,0,0,7584.000000075237,2063.8683324204744,2.0638683324204745,0.18464328369374997,0,7584.000000075237,7584.000000075237,0,1400.334663547292
5,150,180,30,aswand,0.9499999999999995,0,7584.000000075237,0,0,0,0,0,0,0,7584.000000075237,2063.8683324204744,2.0638683324204745,0.18464328369374997,0,7584.000000075237,7584.000000075237,0,1400.334663547292
6,180,210,30,aswand,0.9499999999999995,0,7584.000000075237,0,0,0,0,0,0,0,7584.000000075237,2063.8683324204744,2.0638683324204745,0.18464328369374997,0,7584.000000075237,7584.000000075237,0,1400.334663547292
7,210,240,30,aswand,0.9499999999999995,0,7584.000000075237,0,0,0,0,0,0,0,7584.000000075237,2063.8683324204744,2.0638683324204745,0.18464328369374997,0,7584.000000075237,7584.000000075237,0,1400.334663547292
8,240,270,30,aswand,0.9499999999999995,0,7584.000000075237,0,0,0,0,0,0,0,7584.000000075237,2063.8683324204744,2.0638683324204745,0.18464328369374997,0,7584.000000075237,7584.000000075237,0,1400.334663547292
9,270,300,30,aswand,0.9499999999999995,0,7584.000000075237,0,0,0,0,0,0,0,7584.000000075237,2063.8683324204744,2.0638683324204745,0.18464328369374997,0,7584.000000075237,7584.000000075237,0,1400.334663547292
10,300,330,30,aswand,0.9499999999999995,0,7584.000000075237,0,0,0,0,0,0,0,7584.000000075237,2063.8683324204744,2.0638683324204745,0.18464328369374997,0,7584.000000075237,7584.000000075237,0,1400.334663547292
11,330,360,30,aswand,0.9499999999999995,0,7584.000000075237,0,0,0,0,0,0,0,7584.000000075237,2063.8683324204744,2.0638683324204745,0.18464328369374997,0,7584.000000075237,7584.000000075237,0,1400.334663547292
12,360,365,5,aswand,0.95,0,1264.00000001254,0,0,0,0,0,0,0,1264.00000001254,343.97805540341255,0.34397805540341253,0.18464328369375,0,1264.00000001254,1264.00000001254,0,233.3891105912154
