period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,cairo,0.9499999999999995,0,1917.200000010912,0,1018.2000000027277,2005.7999999972712,6624.749999879553,899.0000000081841,5725.7499998713665,1471.090909131048,0,0,0,0,0,0,0,0,0
1,30,60,30,cairo,0.9499999999999995,0,5415.000000081835,0,3024.000000000001,0,6624.749999879553,2391.0000000818404,4233.749999797708,3912.5454547505087,0,0,0,0,0,0,0,0,0
2,60,90,30,cairo,0.9499999999999995,0,6990,0,3024.000000000001,0,6624.749999879553,3965.9999999999977,2658.749999879551,6489.818181936179,0,0,0,0,0,0,0,0,0
3,90,120,30,cairo,0.9499999999999995,0,7458.000000150477,0,3024.000000000001,0,6624.749999879553,4434.0000001504795,2190.7499997290693,7255.636364014519,0,0,0,0,0,0,0,0,0
4,120,150,30,cairo,0.9499999999999995,0,7584.000000075237,0,3024.000000000001,0,6624.749999879553,4560.00000007524,2064.7499998043095,7461.818182076966,0,0,0,0,0,0,0,0,0
5,150,180,30,cairo,0.9499999999999995,0,7584.000000075237,0,3024.000000000001,0,6624.749999879553,4560.00000007524,2064.7499998043095,7461.818182076966,0,0,0,0,0,0,0,0,0
6,180,210,30,cairo,0.9499999999999995,0,7584.000000075237,0,3024.000000000001,0,6624.749999879553,4560.00000007524,2064.7499998043095,7461.818182076966,0,0,0,0,0,0,0,0,0
7,210,240,30,cairo,0.9499999999999995,0,7584.000000075237,0,3024.000000000001,0,6624.749999879553,4560.00000007524,2064.7499998043095,7461.818182076966,0,0,0,0,0,0,0,0,0
8,240,270,30,cairo,0.9499999999999995,0,7584.000000075237,0,3024.000000000001,0,6624.749999879553,4560.00000007524,2064.7499998043095,7461.818182076966,0,0,0,0,0,0,0,0,0
9,270,300,30,cairo,0.9499999999999995,0,7584.000000075237,0,3024.000000000001,0,6624.749999879553,4560.00000007524,2064.7499998043095,7461.818182076966,0,0,0,0,0,0,0,0,0
10,300,330,30,cairo,0.9499999999999995,0,7584.000000075237,0,3024.000000000001,0,6624.749999879553,4560.00000007524,2064.7499998043095,7461.818182076966,0,0,0,0,0,0,0,0,0
11,330,360,30,cairo,0.9499999999999995,0,7584.000000075237,0,3024.000000000001,0,6624.749999879553,4560.00000007524,2064.7499998043095,7461.818182076966,0,0,0,0,0,0,0,0,0
12,360,365,5,cairo,0.95,0,1264.00000001254,0,504,0,1104.1249999799252,760.0000000125399,344.1249999673852,1243.636363679495,0,0,0,0,0,0,0,0,0
