period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,karthoum,0.9499999999999995,0,360,0,360,480,660.0000000065996,0,660.0000000065996,0,0,0,0,0,0,0,0,0,0
1,30,60,30,karthoum,0.9499999999999995,0,3376,0,824,16,660.0000000065996,638.0000000063797,22.00000000022,701.8000000000002,1913.9999999936188,0,0,0,0,1913.9999999936188,1913.9999999936188,0,0
2,60,90,30,karthoum,0.9499999999999995,0,3480,0,840,0,660.0000000065996,660.0000000065996,0,726.0000000000002,1979.9999999933987,0,0,0,0,1979.9999999933987,1979.9999999933987,0,0
3,90,120,30,karthoum,0.9499999999999995,0,3480,0,840,0,660.0000000065996,660.0000000065996,0,726.0000000000002,1979.9999999933987,0,0,0,0,1979.9999999933987,1979.9999999933987,0,0
4,120,150,30,karthoum,0.9499999999999995,0,3480,0,840,0,660.0000000065996,660.0000000065996,0,726.0000000000002,1979.9999999933987,0,0,0,0,1979.9999999933987,1979.9999999933987,0,0
5,150,180,30,karthoum,0.9499999999999995,0,3480,0,840,0,660.0000000065996,660.0000000065996,0,726.0000000000002,1979.9999999933987,0,0,0,0,1979.9999999933987,1979.9999999933987,0,0
6,180,210,30,karthoum,0.9499999999999995,0,3480,0,840,0,660.0000000065996,660.0000000065996,0,726.0000000000002,1979.9999999933987,0,0,0,0,1979.9999999933987,1979.9999999933987,0,0
7,210,240,30,karthoum,0.9499999999999995,0,3480,0,840,0,660.0000000065996,660.0000000065996,0,726.0000000000002,1979.9999999933987,0,0,0,0,1979.9999999933987,1979.9999999933987,0,0
8,240,270,30,karthoum,0.9499999999999995,0,3480,0,840,0,660.0000000065996,660.0000000065996,0,726.0000000000002,1979.9999999933987,0,0,0,0,1979.9999999933987,1979.9999999933987,0,0
9,270,300,30,karthoum,0.9499999999999995,0,3480,0,840,0,660.0000000065996,660.0000000065996,0,726.0000000000002,1979.9999999933987,0,0,0,0,1979.9999999933987,1979.9999999933987,0,0
10,300,330,30,karthoum,0.9499999999999995,0,3480,0,840,0,660.0000000065996,660.0000000065996,0,726.0000000000002,1979.9999999933987,0,0,0,0,1979.9999999933987,1979.9999999933987,0,0
11,330,360,30,karthoum,0.9499999999999995,0,3480,0,840,0,660.0000000065996,660.0000000065996,0,726.0000000000002,1979.9999999933987,0,0,0,0,1979.9999999933987,1979.9999999933987,0,0
12,360,365,5,karthoum,0.95,0,580,0,140,0,110.00000000109999,110.00000000109999,0,121,329.9999999989,0,0,0,0,329.9999999989,329.9999999989,0,0
