period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,merowe,0.9499999999999995,0,4504.600000073653,0,0,0,0,0,0,0,4924.600000073652,808.921628894599,0.8089216288945991,0.07178222633750005,0,4924.600000073652,4924.600000073652,0,353.49875182693967
1,30,60,30,merowe,0.9499999999999995,455.400000057684,6972.000000076777,0,0,0,0,0,0,0,6516.600000019096,1070.4257577856372,1.070425757785637,0.07178222633750005,0,6516.600000019096,6516.600000019096,0,467.77605615232346
2,60,90,30,merowe,0.9499999999999995,720,7434.000000075237,0,0,0,0,0,0,0,6840,1123.5478905000007,1.1235478905000007,0.07178222633750005,329.400000132924,7169.400000132924,7169.4000001329205,0.000000000003637978807091713,490.99042814850026
3,90,120,30,merowe,0.9499999999999995,720,7434.000000075237,0,0,0,0,0,0,0,6840,1123.5478905000007,1.1235478905000007,0.07178222633750005,594.00000007524,7434.00000007524,7434.000000075237,0.0000000000027284841053187847,490.99042814850026
4,120,150,30,merowe,0.9499999999999995,720,7434.000000075237,0,0,0,0,0,0,0,6840,1123.5478905000007,1.1235478905000007,0.07178222633750005,594.00000007524,7434.00000007524,7434.000000075237,0.0000000000027284841053187847,490.99042814850026
5,150,180,30,merowe,0.9499999999999995,720,7434.000000075237,0,0,0,0,0,0,0,6840,1123.5478905000007,1.1235478905000007,0.07178222633750005,594.00000007524,7434.00000007524,7434.000000075237,0.0000000000027284841053187847,490.99042814850026
6,180,210,30,merowe,0.9499999999999995,720,7434.000000075237,0,0,0,0,0,0,0,6840,1123.5478905000007,1.1235478905000007,0.07178222633750005,594.00000007524,7434.00000007524,7434.000000075237,0.0000000000027284841053187847,490.99042814850026
7,210,240,30,merowe,0.9499999999999995,720,7434.000000075237,0,0,0,0,0,0,0,6840,1123.5478905000007,1.1235478905000007,0.07178222633750005,594.00000007524,7434.00000007524,7434.000000075237,0.0000000000027284841053187847,490.99042814850026
8,240,270,30,merowe,0.9499999999999995,720,7434.000000075237,0,0,0,0,0,0,0,6840,1123.5478905000007,1.1235478905000007,0.07178222633750005,594.00000007524,7434.00000007524,7434.000000075237,0.0000000000027284841053187847,490.99042814850026
9,270,300,30,merowe,0.9499999999999995,720,7434.000000075237,0,0,0,0,0,0,0,6840,1123.5478905000007,1.1235478905000007,0.07178222633750005,594.00000007524,7434.00000007524,7434.000000075237,0.0000000000027284841053187847,490.99042814850026
10,300,330,30,merowe,0.9499999999999995,720,7434.000000075237,0,0,0,0,0,0,0,6840,1123.5478905000007,1.1235478905000007,0.07178222633750005,594.00000007524,7434.00000007524,7434.000000075237,0.0000000000027284841053187847,490.99042814850026
11,330,360,30,merowe,0.9499999999999995,720,7434.000000075237,0,0,0,0,0,0,0,6840,1123.5478905000007,1.1235478905000007,0.07178222633750005,594.00000007524,7434.00000007524,7434.000000075237,0.0000000000027284841053187847,490.99042814850026
12,360,365,5,merowe,0.95,720,1239.00000001254,0,0,0,0,0,0,0,1140,187.25798174999997,0.18725798174999997,0.07178222633749999,99.00000001254,1239.00000001254,1239.00000001254,0,81.83173802474998
