period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,singa,0.9499999999999995,0,4644,0,0,0,2045.9999999181603,1909.5999999236162,136.399999994544,2291.5199999999995,2734.4000000763854,0,0,0,0,2734.4000000763854,2734.4000000763854,0,0
1,30,60,30,singa,0.9499999999999995,0,5340,0,0,0,2045.9999999181603,2045.9999999181603,0,2455.2,3294.0000000818422,0,0,0,0,3294.0000000818422,3294.0000000818422,0,0
2,60,90,30,singa,0.9499999999999995,0,5340,0,0,0,2045.9999999181603,2045.9999999181603,0,2455.2,3294.0000000818422,0,0,0,0,3294.0000000818422,3294.0000000818422,0,0
3,90,120,30,singa,0.9499999999999995,0,5340,0,0,0,2045.9999999181603,2045.9999999181603,0,2455.2,3294.0000000818422,0,0,0,0,3294.0000000818422,3294.0000000818422,0,0
4,120,150,30,singa,0.9499999999999995,0,5340,0,0,0,2045.9999999181603,2045.9999999181603,0,2455.2,3294.0000000818422,0,0,0,0,3294.0000000818422,3294.0000000818422,0,0
5,150,180,30,singa,0.9499999999999995,0,5340,0,0,0,2045.9999999181603,2045.9999999181603,0,2455.2,3294.0000000818422,0,0,0,0,3294.0000000818422,3294.0000000818422,0,0
6,180,210,30,singa,0.9499999999999995,0,5340,0,0,0,2045.9999999181603,2045.9999999181603,0,2455.2,3294.0000000818422,0,0,0,0,3294.0000000818422,3294.0000000818422,0,0
7,210,240,30,singa,0.9499999999999995,0,5340,0,0,0,2045.9999999181603,2045.9999999181603,0,2455.2,3294.0000000818422,0,0,0,0,3294.0000000818422,3294.0000000818422,0,0
8,240,270,30,singa,0.9499999999999995,0,5340,0,0,0,2045.9999999181603,2045.9999999181603,0,2455.2,3294.0000000818422,0,0,0,0,3294.0000000818422,3294.0000000818422,0,0
9,270,300,30,singa,0.9499999999999995,0,5340,0,0,0,2045.9999999181603,2045.9999999181603,0,2455.2,3294.0000000818422,0,0,0,0,3294.0000000818422,3294.0000000818422,0,0
10,300,330,30,singa,0.9499999999999995,0,5340,0,0,0,2045.9999999181603,2045.9999999181603,0,2455.2,3294.0000000818422,0,0,0,0,3294.0000000818422,3294.0000000818422,0,0
11,330,360,30,singa,0.9499999999999995,0,5340,0,0,0,2045.9999999181603,2045.9999999181603,0,2455.2,3294.0000000818422,0,0,0,0,3294.0000000818422,3294.0000000818422,0,0
12,360,365,5,singa,0.95,0,890,0,0,0,340.99999998636,340.99999998636,0,409.20000000000005,549.00000001364,0,0,0,0,549.00000001364,549.00000001364,0,0
