period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,southwest,0.9499999999999995,0,2940,1692,0,0,0,0,0,0,1248,0,0,0,0,1248,1248,0,0
1,30,60,30,southwest,0.9499999999999995,0,5190,2070,0,0,0,0,0,0,3120,0,0,0,0,3120,3120,0,0
2,60,90,30,southwest,0.9499999999999995,0,5190,2070,0,0,0,0,0,0,3120,0,0,0,0,3120,3120,0,0
3,90,120,30,southwest,0.9499999999999995,0,5190,2070,0,0,0,0,0,0,3120,0,0,0,0,3120,3120,0,0
4,120,150,30,southwest,0.9499999999999995,0,5190,2070,0,0,0,0,0,0,3120,0,0,0,0,3120,3120,0,0
5,150,180,30,southwest,0.9499999999999995,0,5190,2070,0,0,0,0,0,0,3120,0,0,0,0,3120,3120,0,0
6,180,210,30,southwest,0.9499999999999995,0,5190,2070,0,0,0,0,0,0,3120,0,0,0,0,3120,3120,0,0
7,210,240,30,southwest,0.9499999999999995,0,5190,2070,0,0,0,0,0,0,3120,0,0,0,0,3120,3120,0,0
8,240,270,30,southwest,0.9499999999999995,0,5190,2070,0,0,0,0,0,0,3120,0,0,0,0,3120,3120,0,0
9,270,300,30,southwest,0.9499999999999995,0,5190,2070,0,0,0,0,0,0,3120,0,0,0,0,3120,3120,0,0
10,300,330,30,southwest,0.9499999999999995,0,5190,2070,0,0,0,0,0,0,3120,0,0,0,0,3120,3120,0,0
11,330,360,30,southwest,0.9499999999999995,0,5190,2070,0,0,0,0,0,0,3120,0,0,0,0,3120,3120,0,0
12,360,365,5,southwest,0.95,0,865,345,0,0,0,0,0,0,520,0,0,0,0,520,520,0,0
