period_index,start_day,end_day_exclusive,duration_days,total_inflow,total_evaporation,total_drink_water_met,total_unmet_drink_water,total_food_water_demand,total_food_water_met,total_unmet_food_water,total_food_produced,total_production_release,total_generated_electricity_kwh,total_generated_electricity_mwh,total_spill,total_release_for_routing,total_downstream_release,total_routing_loss,total_energy_value
0,0,30,30,42482.40000013094,1692,1378.2000000027278,2485.7999999972712,9330.749999804313,2808.5999999318,6522.14999987251,3762.6109091310473,37529.60000019641,4521.156907529719,4.521156907529719,734,38263.60000019641,38263.60000019641,0,2836.7775631578925
1,30,60,30,58087.600000204984,2070,3848.000000000001,16,9330.749999804313,5075.000000006381,4255.7499997979285,7069.545454750509,45574.20000014093,5284.614416670757,5.284614416670757,1065,46639.20000014093,46639.20000014093,0,3285.260169569002
2,60,90,30,61145.40000018307,2070,3864.000000000001,0,9330.749999804313,6671.9999999247575,2658.749999879551,9671.018181936179,46880.40000018309,5587.2294933818475,5.587229493381847,1394.400000132924,48274.80000031601,48274.800000316,0.000000000003637978807091713,3477.7555040669586
3,90,120,30,62076.00000030094,2070,3864.000000000001,0,9330.749999804313,7140.000000075239,2190.7499997290693,10436.836364014518,47343.00000015048,5713.1189304204745,5.713118930420475,1659.00000007524,49002.000000225715,49002.000000225715,0.0000000000027284841053187847,3563.1714870976666
4,120,150,30,62202.0000002257,2070,3864.000000000001,0,9330.749999804313,7266,2064.7499998043095,10643.018182076965,47343.00000015048,5713.1189304204745,5.713118930420475,1659.00000007524,49002.000000225715,49002.000000225715,0.0000000000027284841053187847,3563.1714870976666
5,150,180,30,62202.0000002257,2070,3864.000000000001,0,9330.749999804313,7266,2064.7499998043095,10643.018182076965,47343.00000015048,5713.1189304204745,5.713118930420475,1659.00000007524,49002.000000225715,49002.000000225715,0.0000000000027284841053187847,3563.1714870976666
6,180,210,30,62202.0000002257,2070,3864.000000000001,0,9330.749999804313,7266,2064.7499998043095,10643.018182076965,47343.00000015048,5713.1189304204745,5.713118930420475,1659.00000007524,49002.000000225715,49002.000000225715,0.0000000000027284841053187847,3563.1714870976666
7,210,240,30,62202.0000002257,2070,3864.000000000001,0,9330.749999804313,7266,2064.7499998043095,10643.018182076965,47343.00000015048,5713.1189304204745,5.713118930420475,1659.00000007524,49002.000000225715,49002.000000225715,0.0000000000027284841053187847,3563.1714870976666
8,240,270,30,62202.0000002257,2070,3864.000000000001,0,9330.749999804313,7266,2064.7499998043095,10643.018182076965,47343.00000015048,5713.1189304204745,5.713118930420475,1659.00000007524,49002.000000225715,49002.000000225715,0.0000000000027284841053187847,3563.1714870976666
9,270,300,30,62202.0000002257,2070,3864.000000000001,0,9330.749999804313,7266,2064.7499998043095,10643.018182076965,47343.00000015048,5713.1189304204745,5.713118930420475,1659.00000007524,49002.000000225715,49002.000000225715,0.0000000000027284841053187847,3563.1714870976666
10,300,330,30,62202.0000002257,2070,3864.000000000001,0,9330.749999804313,7266,2064.7499998043095,10643.018182076965,47343.00000015048,5713.1189304204745,5.713118930420475,1659.00000007524,49002.000000225715,49002.000000225715,0.0000000000027284841053187847,3563.1714870976666
11,330,360,30,62202.0000002257,2070,3864.000000000001,0,9330.749999804313,7266,2064.7499998043095,10643.018182076965,47343.00000015048,5713.1189304204745,5.713118930420475,1659.00000007524,49002.000000225715,49002.000000225715,0.0000000000027284841053187847,3563.1714870976666
12,360,365,5,10367.00000003762,345,644,0,1555.124999967385,1211,344.1249999673852,1773.836363679495,7890.500000025079,952.1864884034126,0.9521864884034126,276.50000001254,8167.000000037619,8167.000000037619,0,593.8619145162779
