period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,cairo,0.6999999999999996,0,1412.6400000081342,0,1009.4800000040672,2176.519999995933,4938.449999910209,403.16000000406723,4535.289999906143,659.716363655014,-0.00000000000000011102230246251565,0,0,0,0,-0.00000000000000011102230246251565,0,0,0
1,30,60,30,cairo,0.6999999999999996,0,3432.680000061007,0,3185.9999999999986,0,4938.449999910209,246.68000006100687,4691.769999849201,403.6581819253505,-0.0000000000000008326672684688674,0,0,0,0,-0.0000000000000008326672684688674,0,0,0
2,60,90,30,cairo,0.6999999999999996,0,3676.800000061007,0,3185.9999999999986,0,4938.449999910209,490.80000006100636,4447.649999849201,803.1272728417046,0,0,0,0,0,0,0,0,0
3,90,120,30,cairo,0.6999999999999996,0,3676.800000061007,0,3185.9999999999986,0,4938.449999910209,490.80000006100636,4447.649999849201,803.1272728417046,0,0,0,0,0,0,0,0,0
4,120,150,30,cairo,0.6999999999999996,0,3676.800000061007,0,3185.9999999999986,0,4938.449999910209,490.80000006100636,4447.649999849201,803.1272728417046,0,0,0,0,0,0,0,0,0
5,150,180,30,cairo,0.6999999999999996,0,3676.800000061007,0,3185.9999999999986,0,4938.449999910209,490.80000006100636,4447.649999849201,803.1272728417046,0,0,0,0,0,0,0,0,0
6,180,210,30,cairo,0.6999999999999996,0,3676.800000061007,0,3185.9999999999986,0,4938.449999910209,490.80000006100636,4447.649999849201,803.1272728417046,0,0,0,0,0,0,0,0,0
7,210,240,30,cairo,0.6999999999999996,0,3676.800000061007,0,3185.9999999999986,0,4938.449999910209,490.80000006100636,4447.649999849201,803.1272728417046,0,0,0,0,0,0,0,0,0
8,240,270,30,cairo,0.6999999999999996,0,3676.800000061007,0,3185.9999999999986,0,4938.449999910209,490.80000006100636,4447.649999849201,803.1272728417046,0,0,0,0,0,0,0,0,0
9,270,300,30,cairo,0.6999999999999996,0,3676.800000061007,0,3185.9999999999986,0,4938.449999910209,490.80000006100636,4447.649999849201,803.1272728417046,0,0,0,0,0,0,0,0,0
10,300,330,30,cairo,0.6999999999999996,0,3676.800000061007,0,3185.9999999999986,0,4938.449999910209,490.80000006100636,4447.649999849201,803.1272728417046,0,0,0,0,0,0,0,0,0
11,330,360,30,cairo,0.6999999999999996,0,3676.800000061007,0,3185.9999999999986,0,4938.449999910209,490.80000006100636,4447.649999849201,803.1272728417046,0,0,0,0,0,0,0,0,0
12,360,390,30,cairo,0.6999999999999996,0,3676.800000061007,0,3185.9999999999986,0,4938.449999910209,490.80000006100636,4447.649999849201,803.1272728417046,0,0,0,0,0,0,0,0,0
13,390,420,30,cairo,0.6999999999999996,0,3676.800000061007,0,3185.9999999999986,0,4938.449999910209,490.80000006100636,4447.649999849201,803.1272728417046,0,0,0,0,0,0,0,0,0
14,420,450,30,cairo,0.6999999999999996,0,3676.800000061007,0,3185.9999999999986,0,4938.449999910209,490.80000006100636,4447.649999849201,803.1272728417046,0,0,0,0,0,0,0,0,0
15,450,480,30,cairo,0.6999999999999996,0,3676.800000061007,0,3185.9999999999986,0,4938.449999910209,490.80000006100636,4447.649999849201,803.1272728417046,0,0,0,0,0,0,0,0,0
16,480,510,30,cairo,0.6999999999999996,0,3676.800000061007,0,3185.9999999999986,0,4938.449999910209,490.80000006100636,4447.649999849201,803.1272728417046,0,0,0,0,0,0,0,0,0
17,510,540,30,cairo,0.6999999999999996,0,3676.800000061007,0,3185.9999999999986,0,4938.449999910209,490.80000006100636,4447.649999849201,803.1272728417046,0,0,0,0,0,0,0,0,0
18,540,570,30,cairo,0.6999999999999996,0,3676.800000061007,0,3185.9999999999986,0,4938.449999910209,490.80000006100636,4447.649999849201,803.1272728417046,0,0,0,0,0,0,0,0,0
19,570,600,30,cairo,0.6999999999999996,0,3676.800000061007,0,3185.9999999999986,0,4938.449999910209,490.80000006100636,4447.649999849201,803.1272728417046,0,0,0,0,0,0,0,0,0
20,600,630,30,cairo,0.6999999999999996,0,3676.800000061007,0,3185.9999999999986,0,4938.449999910209,490.80000006100636,4447.649999849201,803.1272728417046,0,0,0,0,0,0,0,0,0
21,630,660,30,cairo,0.6999999999999996,0,3676.800000061007,0,3185.9999999999986,0,4938.449999910209,490.80000006100636,4447.649999849201,803.1272728417046,0,0,0,0,0,0,0,0,0
22,660,690,30,cairo,0.6999999999999996,0,3676.800000061007,0,3185.9999999999986,0,4938.449999910209,490.80000006100636,4447.649999849201,803.1272728417046,0,0,0,0,0,0,0,0,0
23,690,720,30,cairo,0.6999999999999996,0,3676.800000061007,0,3185.9999999999986,0,4938.449999910209,490.80000006100636,4447.649999849201,803.1272728417046,0,0,0,0,0,0,0,0,0
24,720,730,10,cairo,0.7000000000000001,0,1225.6000000203355,0,1062.0000000000002,0,1646.1499999700702,163.60000002033559,1482.5499999497342,267.7090909472347,0,0,0,0,0,0,0,0,0
