period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,merowe,0.6999999999999996,0,2861.4000000549054,0,0,0,0,0,0,0,3176.4000000549054,521.7598712640192,0.5217598712640192,0.07490319269999994,0,3176.4000000549054,3176.4000000549054,0,237.9225012963926
1,30,60,30,merowe,0.6999999999999996,0,3574.8000000610054,0,0,0,0,0,0,0,3574.8000000610054,587.2016080450213,0.5872016080450213,0.07490319269999994,0,3574.8000000610054,3574.8000000610054,0,267.7639332685296
2,60,90,30,merowe,0.6999999999999996,0,3574.8000000610054,0,0,0,0,0,0,0,3574.8000000610054,587.2016080450213,0.5872016080450213,0.07490319269999994,0,3574.8000000610054,3574.8000000610054,0,267.7639332685296
3,90,120,30,merowe,0.6999999999999996,0,3574.8000000610054,0,0,0,0,0,0,0,3574.8000000610054,587.2016080450213,0.5872016080450213,0.07490319269999994,0,3574.8000000610054,3574.8000000610054,0,267.7639332685296
4,120,150,30,merowe,0.6999999999999996,0,3574.8000000610054,0,0,0,0,0,0,0,3574.8000000610054,587.2016080450213,0.5872016080450213,0.07490319269999994,0,3574.8000000610054,3574.8000000610054,0,267.7639332685296
5,150,180,30,merowe,0.6999999999999996,0,3574.8000000610054,0,0,0,0,0,0,0,3574.8000000610054,587.2016080450213,0.5872016080450213,0.07490319269999994,0,3574.8000000610054,3574.8000000610054,0,267.7639332685296
6,180,210,30,merowe,0.6999999999999996,0,3574.8000000610054,0,0,0,0,0,0,0,3574.8000000610054,587.2016080450213,0.5872016080450213,0.07490319269999994,0,3574.8000000610054,3574.8000000610054,0,267.7639332685296
7,210,240,30,merowe,0.6999999999999996,0,3574.8000000610054,0,0,0,0,0,0,0,3574.8000000610054,587.2016080450213,0.5872016080450213,0.07490319269999994,0,3574.8000000610054,3574.8000000610054,0,267.7639332685296
8,240,270,30,merowe,0.6999999999999996,0,3574.8000000610054,0,0,0,0,0,0,0,3574.8000000610054,587.2016080450213,0.5872016080450213,0.07490319269999994,0,3574.8000000610054,3574.8000000610054,0,267.7639332685296
9,270,300,30,merowe,0.6999999999999996,0,3574.8000000610054,0,0,0,0,0,0,0,3574.8000000610054,587.2016080450213,0.5872016080450213,0.07490319269999994,0,3574.8000000610054,3574.8000000610054,0,267.7639332685296
10,300,330,30,merowe,0.6999999999999996,0,3574.8000000610054,0,0,0,0,0,0,0,3574.8000000610054,587.2016080450213,0.5872016080450213,0.07490319269999994,0,3574.8000000610054,3574.8000000610054,0,267.7639332685296
11,330,360,30,merowe,0.6999999999999996,0,3574.8000000610054,0,0,0,0,0,0,0,3574.8000000610054,587.2016080450213,0.5872016080450213,0.07490319269999994,0,3574.8000000610054,3574.8000000610054,0,267.7639332685296
12,360,390,30,merowe,0.6999999999999996,0,3574.8000000610054,0,0,0,0,0,0,0,3574.8000000610054,587.2016080450213,0.5872016080450213,0.07490319269999994,0,3574.8000000610054,3574.8000000610054,0,267.7639332685296
13,390,420,30,merowe,0.6999999999999996,0,3574.8000000610054,0,0,0,0,0,0,0,3574.8000000610054,587.2016080450213,0.5872016080450213,0.07490319269999994,0,3574.8000000610054,3574.8000000610054,0,267.7639332685296
14,420,450,30,merowe,0.6999999999999996,0,3574.8000000610054,0,0,0,0,0,0,0,3574.8000000610054,587.2016080450213,0.5872016080450213,0.07490319269999994,0,3574.8000000610054,3574.8000000610054,0,267.7639332685296
15,450,480,30,merowe,0.6999999999999996,0,3574.8000000610054,0,0,0,0,0,0,0,3574.8000000610054,587.2016080450213,0.5872016080450213,0.07490319269999994,0,3574.8000000610054,3574.8000000610054,0,267.7639332685296
16,480,510,30,merowe,0.6999999999999996,0,3574.8000000610054,0,0,0,0,0,0,0,3574.8000000610054,587.2016080450213,0.5872016080450213,0.07490319269999994,0,3574.8000000610054,3574.8000000610054,0,267.7639332685296
