period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,roseires,0.6999999999999996,420,3543.7999999999993,0,0,0,0,0,0,0,3145.88,524.4592497340002,0.5244592497340002,0.062017254599999974,172.91999999999916,3318.7999999999993,3318.7999999999993,0,195.09884090104805
1,30,60,30,roseires,0.6999999999999996,420,3631.1999999999994,0,0,0,0,0,0,0,3150,525.1461075000002,0.5251461075000002,0.062017254599999974,481.1999999999989,3631.199999999999,3631.199999999999,0,195.35435199000003
2,60,90,30,roseires,0.6999999999999996,420,3631.1999999999994,0,0,0,0,0,0,0,3150,525.1461075000002,0.5251461075000002,0.062017254599999974,481.1999999999989,3631.199999999999,3631.199999999999,0,195.35435199000003
3,90,120,30,roseires,0.6999999999999996,420,3631.1999999999994,0,0,0,0,0,0,0,3150,525.1461075000002,0.5251461075000002,0.062017254599999974,481.1999999999989,3631.199999999999,3631.199999999999,0,195.35435199000003
4,120,150,30,roseires,0.6999999999999996,420,3631.1999999999994,0,0,0,0,0,0,0,3150,525.1461075000002,0.5251461075000002,0.062017254599999974,481.1999999999989,3631.199999999999,3631.199999999999,0,195.35435199000003
5,150,180,30,roseires,0.6999999999999996,420,3631.1999999999994,0,0,0,0,0,0,0,3150,525.1461075000002,0.5251461075000002,0.062017254599999974,481.1999999999989,3631.199999999999,3631.199999999999,0,195.35435199000003
6,180,210,30,roseires,0.6999999999999996,420,3631.1999999999994,0,0,0,0,0,0,0,3150,525.1461075000002,0.5251461075000002,0.062017254599999974,481.1999999999989,3631.199999999999,3631.199999999999,0,195.35435199000003
7,210,240,30,roseires,0.6999999999999996,420,3631.1999999999994,0,0,0,0,0,0,0,3150,525.1461075000002,0.5251461075000002,0.062017254599999974,481.1999999999989,3631.199999999999,3631.199999999999,0,195.35435199000003
8,240,270,30,roseires,0.6999999999999996,420,3631.1999999999994,0,0,0,0,0,0,0,3150,525.1461075000002,0.5251461075000002,0.062017254599999974,481.1999999999989,3631.199999999999,3631.199999999999,0,195.35435199000003
9,270,300,30,roseires,0.6999999999999996,420,3631.1999999999994,0,0,0,0,0,0,0,3150,525.1461075000002,0.5251461075000002,0.062017254599999974,481.1999999999989,3631.199999999999,3631.199999999999,0,195.35435199000003
10,300,330,30,roseires,0.6999999999999996,420,3631.1999999999994,0,0,0,0,0,0,0,3150,525.1461075000002,0.5251461075000002,0.062017254599999974,481.1999999999989,3631.199999999999,3631.199999999999,0,195.35435199000003
11,330,360,30,roseires,0.6999999999999996,420,3631.1999999999994,0,0,0,0,0,0,0,3150,525.1461075000002,0.5251461075000002,0.062017254599999974,481.1999999999989,3631.199999999999,3631.199999999999,0,195.35435199000003
12,360,390,30,roseires,0.6999999999999996,420,3631.1999999999994,0,0,0,0,0,0,0,3150,525.1461075000002,0.5251461075000002,0.062017254599999974,481.1999999999989,3631.199999999999,3631.199999999999,0,195.35435199000003
13,390,420,30,roseires,0.6999999999999996,420,3631.1999999999994,0,0,0,0,0,0,0,3150,525.1461075000002,0.5251461075000002,0.062017254599999974,481.1999999999989,3631.199999999999,3631.199999999999,0,195.35435199000003
14,420,450,30,roseires,0.6999999999999996,420,3631.1999999999994,0,0,0,0,0,0,0,3150,525.1461075000002,0.5251461075000002,0.062017254599999974,481.1999999999989,3631.199999999999,3631.199999999999,0,195.35435199000003
15,450,480,30,roseires,0.6999999999999996,420,3631.1999999999994,0,0,0,0,0,0,0,3150,525.1461075000002,0.5251461075000002,0.062017254599999974,481.1999999999989,3631.199999999999,3631.199999999999,0,195.35435199000003
