period_index,start_day,end_day_exclusive,duration_days,total_inflow,total_evaporation,total_drink_water_met,total_unmet_drink_water,total_food_water_demand,total_food_water_met,total_unmet_food_water,total_food_produced,total_production_release,total_generated_electricity_kwh,total_generated_electricity_mwh,total_spill,total_release_for_routing,total_downstream_release,total_routing_loss,total_energy_value
0,0,30,30,28656.9600000976,1703.52,1254.280000004067,2816.719999995933,6955.649999854122,1826.6799999471273,5128.969999906996,2367.9403636550146,24839.560000146408,3091.4508957474272,3.0914508957474274,172.91999999999916,25012.48000014641,25012.48000014641,0,2019.713401630071
1,30,60,30,36169.64000018301,2790,4049.6599999999985,21.34,6955.649999854122,1867.58,5088.069999854121,2339.1681819242986,26981.200000183013,3336.0869982566232,3.336086998256623,481.1999999999989,27462.40000018301,27462.40000018301,0,2170.6727419313434
2,60,90,30,36474.000000183005,2790,4070.9999999999986,0,6955.649999854122,2114.9999999999995,4840.649999854121,2742.267272840616,27016.800000183015,3345.774987791623,3.345774987791623,481.1999999999989,27498.000000183012,27498.000000183012,0,2177.5318385221235
3,90,120,30,36474.000000183005,2790,4070.9999999999986,0,6955.649999854122,2114.9999999999995,4840.649999854121,2742.267272840616,27016.800000183015,3345.774987791623,3.345774987791623,481.1999999999989,27498.000000183012,27498.000000183012,0,2177.5318385221235
4,120,150,30,36474.000000183005,2790,4070.9999999999986,0,6955.649999854122,2114.9999999999995,4840.649999854121,2742.267272840616,27016.800000183015,3345.774987791623,3.345774987791623,481.1999999999989,27498.000000183012,27498.000000183012,0,2177.5318385221235
5,150,180,30,36474.000000183005,2790,4070.9999999999986,0,6955.649999854122,2114.9999999999995,4840.649999854121,2742.267272840616,27016.800000183015,3345.774987791623,3.345774987791623,481.1999999999989,27498.000000183012,27498.000000183012,0,2177.5318385221235
6,180,210,30,36474.000000183005,2790,4070.9999999999986,0,6955.649999854122,2114.9999999999995,4840.649999854121,2742.267272840616,27016.800000183015,3345.774987791623,3.345774987791623,481.1999999999989,27498.000000183012,27498.000000183012,0,2177.5318385221235
7,210,240,30,36474.000000183005,2790,4070.9999999999986,0,6955.649999854122,2114.9999999999995,4840.649999854121,2742.267272840616,27016.800000183015,3345.774987791623,3.345774987791623,481.1999999999989,27498.000000183012,27498.000000183012,0,2177.5318385221235
8,240,270,30,36474.000000183005,2790,4070.9999999999986,0,6955.649999854122,2114.9999999999995,4840.649999854121,2742.267272840616,27016.800000183015,3345.774987791623,3.345774987791623,481.1999999999989,27498.000000183012,27498.000000183012,0,2177.5318385221235
9,270,300,30,36474.000000183005,2790,4070.9999999999986,0,6955.649999854122,2114.9999999999995,4840.649999854121,2742.267272840616,27016.800000183015,3345.774987791623,3.345774987791623,481.1999999999989,27498.000000183012,27498.000000183012,0,2177.5318385221235
10,300,330,30,36474.000000183005,2790,4070.9999999999986,0,6955.649999854122,2114.9999999999995,4840.649999854121,2742.267272840616,27016.800000183015,3345.774987791623,3.345774987791623,481.1999999999989,27498.000000183012,27498.000000183012,0,2177.5318385221235
11,330,360,30,36474.000000183005,2790,4070.9999999999986,0,6955.649999854122,2114.9999999999995,4840.649999854121,2742.267272840616,27016.800000183015,3345.774987791623,3.345774987791623,481.1999999999989,27498.000000183012,27498.000000183012,0,2177.5318385221235
12,360,390,30,36474.000000183005,2790,4070.9999999999986,0,6955.649999854122,2114.9999999999995,4840.649999854121,2742.267272840616,27016.800000183015,3345.774987791623,3.345774987791623,481.1999999999989,27498.000000183012,27498.000000183012,0,2177.5318385221235
13,390,420,30,36474.000000183005,2790,4070.9999999999986,0,6955.649999854122,2114.9999999999995,4840.649999854121,2742.267272840616,27016.800000183015,3345.774987791623,3.345774987791623,481.1999999999989,27498.000000183012,27498.000000183012,0,2177.5318385221235
14,420,450,30,36474.000000183005,2790,4070.9999999999986,0,6955.649999854122,2114.9999999999995,4840.649999854121,2742.267272840616,27016.800000183015,3345.774987791623,3.345774987791623,481.1999999999989,27498.000000183012,27498.000000183012,0,2177.5318385221235
15,450,480,30,36474.000000183005,2790,4070.9999999999986,0,6955.649999854122,2114.9999999999995,4840.649999854121,2742.267272840616,27016.800000183015,3345.774987791623,3.345774987791623,481.1999999999989,27498.000000183012,27498.000000183012,0,2177.5318385221235
16,480,510,30,36474.000000183005,2790,4070.9999999999986,0,6955.649999854122,2114.9999999999995,4840.649999854121,2742.267272840616,27016.800000183015,3345.774987791623,3.345774987791623,481.1999999999989,27498.000000183012,27498.000000183012,0,2177.5318385221235
17,510,540,30,36474.000000183005,2790,4070.9999999999986,0,6955.649999854122,2114.9999999999995,4840.649999854121,2742.267272840616,27016.800000183015,3345.774987791623,3.345774987791623,481.1999999999989,27498.000000183012,27498.000000183012,0,2177.5318385221235
18,540,570,30,36474.000000183005,2790,4070.9999999999986,0,6955.649999854122,2114.9999999999995,4840.649999854121,2742.267272840616,27016.800000183015,3345.774987791623,3.345774987791623,481.1999999999989,27498.000000183012,27498.000000183012,0,2177.5318385221235
19,570,600,30,36474.000000183005,2790,4070.9999999999986,0,6955.649999854122,2114.9999999999995,4840.649999854121,2742.267272840616,27016.800000183015,3345.774987791623,3.345774987791623,481.1999999999989,27498.000000183012,27498.000000183012,0,2177.5318385221235
20,600,630,30,36474.000000183005,2790,4070.9999999999986,0,6955.649999854122,2114.9999999999995,4840.649999854121,2742.267272840616,27016.800000183015,3345.774987791623,3.345774987791623,481.1999999999989,27498.000000183012,27498.000000183012,0,2177.5318385221235
21,630,660,30,36474.000000183005,2790,4070.9999999999986,0,6955.649999854122,2114.9999999999995,4840.649999854121,2742.267272840616,27016.800000183015,3345.774987791623,3.345774987791623,481.1999999999989,27498.000000183012,27498.000000183012,0,2177.5318385221235
22,660,690,30,36474.000000183005,2790,4070.9999999999986,0,6955.649999854122,2114.9999999999995,4840.649999854121,2742.267272840616,27016.800000183015,3345.774987791623,3.345774987791623,481.1999999999989,27498.000000183012,27498.000000183012,0,2177.5318385221235
23,690,720,30,36474.000000183005,2790,4070.9999999999986,0,6955.649999854122,2114.9999999999995,4840.649999854121,2742.267272840616,27016.800000183015,3345.774987791623,3.345774987791623,481.1999999999989,27498.000000183012,27498.000000183012,0,2177.5318385221235
24,720,730,10,12158.000000061003,930,1357.0000000000002,0,2318.549999951374,704.9999999999995,1613.5499999513743,914.0890909468717,9005.600000061007,1115.2583292638744,1.1152583292638745,160.39999999999964,9166.000000061007,9166.000000061007,0,725.8439461740413
