period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,aswand,1,0,3277.6800000455332,0,0,0,0,0,0,0,4177.680000045533,1136.8910146353915,1.1368910146353914,0.1316586892424999,0,4177.680000045533,4177.680000045533,0,550.027872880602
1,30,60,30,aswand,1,0,6381.680000045533,0,0,0,0,0,0,0,6381.680000045533,1736.6755352853907,1.7366755352853906,0.1316586892424999,0,6381.680000045533,6381.680000045533,0,840.2036239710716
2,60,90,30,aswand,1,0,7350,0,0,0,0,0,0,0,7350,2000.1888506249998,2.000188850625,0.1316586892424999,0,7350,7350,0,967.6913659323744
3,90,120,30,aswand,1,0,7350,0,0,0,0,0,0,0,7350,2000.1888506249998,2.000188850625,0.1316586892424999,0,7350,7350,0,967.6913659323744
4,120,150,30,aswand,1,0,7350,0,0,0,0,0,0,0,7350,2000.1888506249998,2.000188850625,0.1316586892424999,0,7350,7350,0,967.6913659323744
5,150,180,30,aswand,1,0,7386.7700003274995,0,0,0,0,0,0,0,7386.7700003274995,2010.1952376579986,2.0101952376579986,0.1316586892424999,0,7386.7700003274995,7386.7700003274995,0,972.5324559789397
6,180,210,30,aswand,1,0,7520.700000073874,0,0,0,0,0,0,0,7520.700000073874,2046.6422161963533,2.046642216196353,0.1316586892424999,0,7520.700000073874,7520.700000073874,0,990.1655041957961
7,210,240,30,aswand,1,0,7520.700000073874,0,0,0,0,0,0,0,7520.700000073874,2046.6422161963533,2.046642216196353,0.1316586892424999,0,7520.700000073874,7520.700000073874,0,990.1655041957961
8,240,270,30,aswand,1,0,7520.700000073874,0,0,0,0,0,0,0,7520.700000073874,2046.6422161963533,2.046642216196353,0.1316586892424999,0,7520.700000073874,7520.700000073874,0,990.1655041957961
9,270,300,30,aswand,1,0,7520.700000073874,0,0,0,0,0,0,0,7520.700000073874,2046.6422161963533,2.046642216196353,0.1316586892424999,0,7520.700000073874,7520.700000073874,0,990.1655041957961
10,300,330,30,aswand,1,0,7520.700000073874,0,0,0,0,0,0,0,7520.700000073874,2046.6422161963533,2.046642216196353,0.1316586892424999,0,7520.700000073874,7520.700000073874,0,990.1655041957961
11,330,360,30,aswand,1,0,7520.700000073874,0,0,0,0,0,0,0,7520.700000073874,2046.6422161963533,2.046642216196353,0.1316586892424999,0,7520.700000073874,7520.700000073874,0,990.1655041957961
12,360,365,5,aswand,1,0,1253.450000012312,0,0,0,0,0,0,0,1253.450000012312,341.10703603272555,0.3411070360327255,0.1316586892425,0,1253.450000012312,1253.450000012312,0,165.0275840326326
