period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,cairo,1,0,1937.1600000107137,0,1005.0400000026784,2099.9599999973216,6504.299999881739,932.1200000080353,5572.179999873705,1525.2872727681533,0,0,0,0,0,0,0,0,0
1,30,60,30,cairo,1,0,5437.200000080352,0,3105,0,6504.299999881739,2332.2000000803523,4172.09999980139,3816.3272729281466,0,0,0,0,0,0,0,0,0
2,60,90,30,cairo,1,0,7350,0,3105,0,6504.299999881739,4245,2259.29999988174,6946.36363648993,0,0,0,0,0,0,0,0,0
3,90,120,30,cairo,1,0,7350,0,3105,0,6504.299999881739,4245,2259.29999988174,6946.36363648993,0,0,0,0,0,0,0,0,0
4,120,150,30,cairo,1,0,7350,0,3105,0,6504.299999881739,4245,2259.29999988174,6946.36363648993,0,0,0,0,0,0,0,0,0
5,150,180,30,cairo,1,0,7350,0,3105,0,6504.299999881739,4245,2259.29999988174,6946.36363648993,0,0,0,0,0,0,0,0,0
6,180,210,30,cairo,1,0,7483.500000369362,0,3105,0,6504.299999881739,4378.500000369362,2125.799999512381,7164.81818255286,0,0,0,0,0,0,0,0,0
7,210,240,30,cairo,1,0,7520.700000073874,0,3105,0,6504.299999881739,4415.700000073874,2088.5999998078687,7225.690909343169,0,0,0,0,0,0,0,0,0
8,240,270,30,cairo,1,0,7520.700000073874,0,3105,0,6504.299999881739,4415.700000073874,2088.5999998078687,7225.690909343169,0,0,0,0,0,0,0,0,0
9,270,300,30,cairo,1,0,7520.700000073874,0,3105,0,6504.299999881739,4415.700000073874,2088.5999998078687,7225.690909343169,0,0,0,0,0,0,0,0,0
10,300,330,30,cairo,1,0,7520.700000073874,0,3105,0,6504.299999881739,4415.700000073874,2088.5999998078687,7225.690909343169,0,0,0,0,0,0,0,0,0
11,330,360,30,cairo,1,0,7520.700000073874,0,3105,0,6504.299999881739,4415.700000073874,2088.5999998078687,7225.690909343169,0,0,0,0,0,0,0,0,0
12,360,365,5,cairo,1,0,1253.450000012312,0,517.5,0,1084.04999998029,735.950000012312,348.09999996797796,1204.2818182238611,0,0,0,0,0,0,0,0,0
