period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,karthoum,1,0,360,0,360,502.5,648.0000000064805,0,648.0000000064805,0,0,0,0,0,0,0,0,0,0
1,30,60,30,karthoum,1,0,3289,0,845.75,16.75,648.0000000064805,626.4000000062645,21.600000000216003,689.0399999999998,1816.8499999937367,0,0,0,0,1816.8499999937367,1816.8499999937367,0,0
2,60,90,30,karthoum,1,0,3390,0,862.5,0,648.0000000064805,648.0000000064805,0,712.7999999999998,1879.4999999935208,0,0,0,0,1879.4999999935208,1879.4999999935208,0,0
3,90,120,30,karthoum,1,0,3390,0,862.5,0,648.0000000064805,648.0000000064805,0,712.7999999999998,1879.4999999935208,0,0,0,0,1879.4999999935208,1879.4999999935208,0,0
4,120,150,30,karthoum,1,0,3390,0,862.5,0,648.0000000064805,648.0000000064805,0,712.7999999999998,1879.4999999935208,0,0,0,0,1879.4999999935208,1879.4999999935208,0,0
5,150,180,30,karthoum,1,0,3390,0,862.5,0,648.0000000064805,648.0000000064805,0,712.7999999999998,1879.4999999935208,0,0,0,0,1879.4999999935208,1879.4999999935208,0,0
6,180,210,30,karthoum,1,0,3390,0,862.5,0,648.0000000064805,648.0000000064805,0,712.7999999999998,1879.4999999935208,0,0,0,0,1879.4999999935208,1879.4999999935208,0,0
7,210,240,30,karthoum,1,0,3390,0,862.5,0,648.0000000064805,648.0000000064805,0,712.7999999999998,1879.4999999935208,0,0,0,0,1879.4999999935208,1879.4999999935208,0,0
8,240,270,30,karthoum,1,0,3390,0,862.5,0,648.0000000064805,648.0000000064805,0,712.7999999999998,1879.4999999935208,0,0,0,0,1879.4999999935208,1879.4999999935208,0,0
9,270,300,30,karthoum,1,0,3390,0,862.5,0,648.0000000064805,648.0000000064805,0,712.7999999999998,1879.4999999935208,0,0,0,0,1879.4999999935208,1879.4999999935208,0,0
10,300,330,30,karthoum,1,0,3390,0,862.5,0,648.0000000064805,648.0000000064805,0,712.7999999999998,1879.4999999935208,0,0,0,0,1879.4999999935208,1879.4999999935208,0,0
11,330,360,30,karthoum,1,0,3390,0,862.5,0,648.0000000064805,648.0000000064805,0,712.7999999999998,1879.4999999935208,0,0,0,0,1879.4999999935208,1879.4999999935208,0,0
12,360,365,5,karthoum,1,0,565,0,143.75,0,108.00000000108001,108.00000000108001,0,118.80000000000001,313.24999999892,0,0,0,0,313.24999999892,313.24999999892,0,0
