period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,roseires,1,420,5160,0,0,0,0,0,0,0,4476,746.2076118,0.7462076118,0.04237845730999998,524,5000,5000,0,189.68597491955992
1,30,60,30,roseires,1,420,5340,0,0,0,0,0,0,0,4500,750.208725,0.7502087249999999,0.04237845730999998,840,5340,5340,0,190.70305789499992
2,60,90,30,roseires,1,420,5340,0,0,0,0,0,0,0,4500,750.208725,0.7502087249999999,0.04237845730999998,840,5340,5340,0,190.70305789499992
3,90,120,30,roseires,1,420,5340,0,0,0,0,0,0,0,4500,750.208725,0.7502087249999999,0.04237845730999998,840,5340,5340,0,190.70305789499992
4,120,150,30,roseires,1,420,5340,0,0,0,0,0,0,0,4500,750.208725,0.7502087249999999,0.04237845730999998,840,5340,5340,0,190.70305789499992
5,150,180,30,roseires,1,420,5340,0,0,0,0,0,0,0,4500,750.208725,0.7502087249999999,0.04237845730999998,840,5340,5340,0,190.70305789499992
6,180,210,30,roseires,1,420,5340,0,0,0,0,0,0,0,4500,750.208725,0.7502087249999999,0.04237845730999998,840,5340,5340,0,190.70305789499992
7,210,240,30,roseires,1,420,5340,0,0,0,0,0,0,0,4500,750.208725,0.7502087249999999,0.04237845730999998,840,5340,5340,0,190.70305789499992
8,240,270,30,roseires,1,420,5340,0,0,0,0,0,0,0,4500,750.208725,0.7502087249999999,0.04237845730999998,840,5340,5340,0,190.70305789499992
9,270,300,30,roseires,1,420,5340,0,0,0,0,0,0,0,4500,750.208725,0.7502087249999999,0.04237845730999998,840,5340,5340,0,190.70305789499992
10,300,330,30,roseires,1,420,5340,0,0,0,0,0,0,0,4500,750.208725,0.7502087249999999,0.04237845730999998,840,5340,5340,0,190.70305789499992
11,330,360,30,roseires,1,420,5340,0,0,0,0,0,0,0,4500,750.208725,0.7502087249999999,0.04237845730999998,840,5340,5340,0,190.70305789499992
12,360,365,5,roseires,1,420,890,0,0,0,0,0,0,0,750,125.0347875,0.1250347875,0.04237845731,140,890,890,0,31.783842982499998
