period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,singa,1,0,4644,0,0,0,2008.7999999196475,1874.8799999250043,133.9199999946432,2249.8560000000007,2769.1200000749955,0,0,0,0,2769.1200000749955,2769.1200000749955,0,0
1,30,60,30,singa,1,0,5340,0,0,0,2008.7999999196475,2008.7999999196475,0,2410.5600000000004,3331.2000000803523,0,0,0,0,3331.2000000803523,3331.2000000803523,0,0
2,60,90,30,singa,1,0,5340,0,0,0,2008.7999999196475,2008.7999999196475,0,2410.5600000000004,3331.2000000803523,0,0,0,0,3331.2000000803523,3331.2000000803523,0,0
3,90,120,30,singa,1,0,5340,0,0,0,2008.7999999196475,2008.7999999196475,0,2410.5600000000004,3331.2000000803523,0,0,0,0,3331.2000000803523,3331.2000000803523,0,0
4,120,150,30,singa,1,0,5340,0,0,0,2008.7999999196475,2008.7999999196475,0,2410.5600000000004,3331.2000000803523,0,0,0,0,3331.2000000803523,3331.2000000803523,0,0
5,150,180,30,singa,1,0,5340,0,0,0,2008.7999999196475,2008.7999999196475,0,2410.5600000000004,3331.2000000803523,0,0,0,0,3331.2000000803523,3331.2000000803523,0,0
6,180,210,30,singa,1,0,5340,0,0,0,2008.7999999196475,2008.7999999196475,0,2410.5600000000004,3331.2000000803523,0,0,0,0,3331.2000000803523,3331.2000000803523,0,0
7,210,240,30,singa,1,0,5340,0,0,0,2008.7999999196475,2008.7999999196475,0,2410.5600000000004,3331.2000000803523,0,0,0,0,3331.2000000803523,3331.2000000803523,0,0
8,240,270,30,singa,1,0,5340,0,0,0,2008.7999999196475,2008.7999999196475,0,2410.5600000000004,3331.2000000803523,0,0,0,0,3331.2000000803523,3331.2000000803523,0,0
9,270,300,30,singa,1,0,5340,0,0,0,2008.7999999196475,2008.7999999196475,0,2410.5600000000004,3331.2000000803523,0,0,0,0,3331.2000000803523,3331.2000000803523,0,0
10,300,330,30,singa,1,0,5340,0,0,0,2008.7999999196475,2008.7999999196475,0,2410.5600000000004,3331.2000000803523,0,0,0,0,3331.2000000803523,3331.2000000803523,0,0
11,330,360,30,singa,1,0,5340,0,0,0,2008.7999999196475,2008.7999999196475,0,2410.5600000000004,3331.2000000803523,0,0,0,0,3331.2000000803523,3331.2000000803523,0,0
12,360,365,5,singa,1,0,890,0,0,0,334.799999986608,334.799999986608,0,401.76,555.200000013392,0,0,0,0,555.200000013392,555.200000013392,0,0
