period_index,start_day,end_day_exclusive,duration_days,total_inflow,total_evaporation,total_drink_water_met,total_unmet_drink_water,total_food_water_demand,total_food_water_met,total_unmet_food_water,total_food_produced,total_production_release,total_generated_electricity_kwh,total_generated_electricity_mwh,total_spill,total_release_for_routing,total_downstream_release,total_routing_loss,total_energy_value
0,0,30,30,42556.920000128564,1728,1365.0400000026784,2602.4599999973216,9161.099999807866,2806.9999999330394,6354.099999874828,3775.143272768154,37792.88000019285,4567.402715333269,4.5674027153332695,524,38316.88000019285,38316.88000019285,0,2036.1342171332412
1,30,60,30,58160.030000201274,2160,3950.75,16.75,9161.099999807866,4967.400000006264,4193.699999801606,6915.927272928147,46111.01000013837,5417.076368614469,5.417076368614469,840,46951.01000013837,46951.01000013837,0,2389.953629833913
2,60,90,30,61580.70000007388,2160,3967.5,0,9161.099999807866,6901.799999926128,2259.29999988174,10069.72363648993,47540.70000007387,5746.083984374999,5.746083984374999,840,48380.70000007387,48380.70000007387,0,2537.8493958063746
3,90,120,30,61580.70000007388,2160,3967.5,0,9161.099999807866,6901.799999926128,2259.29999988174,10069.72363648993,47540.70000007387,5746.083984374999,5.746083984374999,840,48380.70000007387,48380.70000007387,0,2537.8493958063746
4,120,150,30,61580.70000007388,2160,3967.5,0,9161.099999807866,6901.799999926128,2259.29999988174,10069.72363648993,47540.70000007387,5746.083984374999,5.746083984374999,840,48380.70000007387,48380.70000007387,0,2537.8493958063746
5,150,180,30,61617.47000040138,2160,3967.5,0,9161.099999807866,6901.799999926128,2259.29999988174,10069.72363648993,47577.47000040137,5756.090371407998,5.756090371407998,933.6700003521229,48511.1400007535,48511.1400007535,0,2542.6904858529397
6,180,210,30,61884.90000051712,2160,3967.5,0,9161.099999807866,7035.3000002954905,2125.799999512381,10288.17818255286,47711.40000014775,5792.537349946353,5.792537349946353,1010.7000000738719,48722.10000022162,48722.100000221624,0,2560.323534069796
7,210,240,30,61922.10000022163,2160,3967.5,0,9161.099999807866,7072.500000000002,2088.5999998078687,10349.050909343168,47711.40000014775,5792.537349946353,5.792537349946353,1010.7000000738719,48722.10000022162,48722.100000221624,0,2560.323534069796
8,240,270,30,61922.10000022163,2160,3967.5,0,9161.099999807866,7072.500000000002,2088.5999998078687,10349.050909343168,47711.40000014775,5792.537349946353,5.792537349946353,1010.7000000738719,48722.10000022162,48722.100000221624,0,2560.323534069796
9,270,300,30,61922.10000022163,2160,3967.5,0,9161.099999807866,7072.500000000002,2088.5999998078687,10349.050909343168,47711.40000014775,5792.537349946353,5.792537349946353,1010.7000000738719,48722.10000022162,48722.100000221624,0,2560.323534069796
10,300,330,30,61922.10000022163,2160,3967.5,0,9161.099999807866,7072.500000000002,2088.5999998078687,10349.050909343168,47711.40000014775,5792.537349946353,5.792537349946353,1010.7000000738719,48722.10000022162,48722.100000221624,0,2560.323534069796
11,330,360,30,61922.10000022163,2160,3967.5,0,9161.099999807866,7072.500000000002,2088.5999998078687,10349.050909343168,47711.40000014775,5792.537349946353,5.792537349946353,1010.7000000738719,48722.10000022162,48722.100000221624,0,2560.323534069796
12,360,365,5,10320.350000036935,360,661.25,0,1526.849999967978,1178.75,348.09999996797796,1724.841818223861,7951.900000024623,965.4228916577256,0.9654228916577255,168.450000012312,8120.350000036935,8120.350000036935,0,426.7205890116326
