period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,cairo,0.7800000000000001,0,1541.300000008928,0,1072.9400000044643,2383.0599999955357,5420.249999901452,468.36000000446404,4951.889999896987,766.407272748512,0,0,0,0,0,0,0,0,0
1,30,60,30,cairo,0.7800000000000001,0,4358.120000066961,0,3455.999999999998,0,5420.249999901452,902.120000066961,4518.1299998344875,1476.196363772775,0,0,0,0,0,0,0,0,0
2,60,90,30,cairo,0.7800000000000001,0,5130.000000061557,0,3455.999999999998,0,5420.249999901452,1674.0000000615603,3746.2499998398916,2739.272727423267,0,0,0,0,0,0,0,0,0
3,90,120,30,cairo,0.7800000000000001,0,5130.000000061557,0,3455.999999999998,0,5420.249999901452,1674.0000000615603,3746.2499998398916,2739.272727423267,0,0,0,0,0,0,0,0,0
4,120,150,30,cairo,0.7800000000000001,0,5130.000000061557,0,3455.999999999998,0,5420.249999901452,1674.0000000615603,3746.2499998398916,2739.272727423267,0,0,0,0,0,0,0,0,0
5,150,180,30,cairo,0.7800000000000001,0,5130.000000061557,0,3455.999999999998,0,5420.249999901452,1674.0000000615603,3746.2499998398916,2739.272727423267,0,0,0,0,0,0,0,0,0
6,180,210,30,cairo,0.7800000000000001,0,5130.000000061557,0,3455.999999999998,0,5420.249999901452,1674.0000000615603,3746.2499998398916,2739.272727423267,0,0,0,0,0,0,0,0,0
7,210,240,30,cairo,0.7800000000000001,0,5130.000000061557,0,3455.999999999998,0,5420.249999901452,1674.0000000615603,3746.2499998398916,2739.272727423267,0,0,0,0,0,0,0,0,0
8,240,270,30,cairo,0.7800000000000001,0,5130.000000061557,0,3455.999999999998,0,5420.249999901452,1674.0000000615603,3746.2499998398916,2739.272727423267,0,0,0,0,0,0,0,0,0
9,270,300,30,cairo,0.7800000000000001,0,5130.000000061557,0,3455.999999999998,0,5420.249999901452,1674.0000000615603,3746.2499998398916,2739.272727423267,0,0,0,0,0,0,0,0,0
10,300,330,30,cairo,0.7800000000000001,0,5130.000000061557,0,3455.999999999998,0,5420.249999901452,1674.0000000615603,3746.2499998398916,2739.272727423267,0,0,0,0,0,0,0,0,0
11,330,360,30,cairo,0.7800000000000001,0,5130.000000061557,0,3455.999999999998,0,5420.249999901452,1674.0000000615603,3746.2499998398916,2739.272727423267,0,0,0,0,0,0,0,0,0
12,360,390,30,cairo,0.7800000000000001,0,5130.000000061557,0,3455.999999999998,0,5420.249999901452,1674.0000000615603,3746.2499998398916,2739.272727423267,0,0,0,0,0,0,0,0,0
13,390,420,30,cairo,0.7800000000000001,0,5130.000000061557,0,3455.999999999998,0,5420.249999901452,1674.0000000615603,3746.2499998398916,2739.272727423267,0,0,0,0,0,0,0,0,0
14,420,450,30,cairo,0.7800000000000001,0,5130.000000061557,0,3455.999999999998,0,5420.249999901452,1674.0000000615603,3746.2499998398916,2739.272727423267,0,0,0,0,0,0,0,0,0
15,450,480,30,cairo,0.7800000000000001,0,5130.000000061557,0,3455.999999999998,0,5420.249999901452,1674.0000000615603,3746.2499998398916,2739.272727423267,0,0,0,0,0,0,0,0,0
16,480,510,30,cairo,0.7800000000000001,0,5130.000000061557,0,3455.999999999998,0,5420.249999901452,1674.0000000615603,3746.2499998398916,2739.272727423267,0,0,0,0,0,0,0,0,0
17,510,540,30,cairo,0.7800000000000001,0,5130.000000061557,0,3455.999999999998,0,5420.249999901452,1674.0000000615603,3746.2499998398916,2739.272727423267,0,0,0,0,0,0,0,0,0
18,540,570,30,cairo,0.7800000000000001,0,5130.000000061557,0,3455.999999999998,0,5420.249999901452,1674.0000000615603,3746.2499998398916,2739.272727423267,0,0,0,0,0,0,0,0,0
19,570,600,30,cairo,0.7800000000000001,0,5130.000000061557,0,3455.999999999998,0,5420.249999901452,1674.0000000615603,3746.2499998398916,2739.272727423267,0,0,0,0,0,0,0,0,0
20,600,630,30,cairo,0.7800000000000001,0,5130.000000061557,0,3455.999999999998,0,5420.249999901452,1674.0000000615603,3746.2499998398916,2739.272727423267,0,0,0,0,0,0,0,0,0
21,630,660,30,cairo,0.7800000000000001,0,5130.000000061557,0,3455.999999999998,0,5420.249999901452,1674.0000000615603,3746.2499998398916,2739.272727423267,0,0,0,0,0,0,0,0,0
22,660,690,30,cairo,0.7800000000000001,0,5130.000000061557,0,3455.999999999998,0,5420.249999901452,1674.0000000615603,3746.2499998398916,2739.272727423267,0,0,0,0,0,0,0,0,0
