period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,gerd,0.7800000000000001,0,3903.2000000000016,0,0,0,0,0,0,0,4303.200000000002,1529.7491401500001,1.52974914015,0.3142540992500002,0,4303.200000000002,4303.200000000002,0,1352.2982398926001
1,30,60,30,gerd,0.7800000000000001,0,4182.000000000002,0,0,0,0,0,0,0,4182.000000000002,1486.663623375,1.4866636233750001,0.3142540992500002,0,4182.000000000002,4182.000000000002,0,1314.2106430635001
2,60,90,30,gerd,0.7800000000000001,0,4182.000000000002,0,0,0,0,0,0,0,4182.000000000002,1486.663623375,1.4866636233750001,0.3142540992500002,0,4182.000000000002,4182.000000000002,0,1314.2106430635001
3,90,120,30,gerd,0.7800000000000001,0,4182.000000000002,0,0,0,0,0,0,0,4182.000000000002,1486.663623375,1.4866636233750001,0.3142540992500002,0,4182.000000000002,4182.000000000002,0,1314.2106430635001
4,120,150,30,gerd,0.7800000000000001,0,4182.000000000002,0,0,0,0,0,0,0,4182.000000000002,1486.663623375,1.4866636233750001,0.3142540992500002,0,4182.000000000002,4182.000000000002,0,1314.2106430635001
5,150,180,30,gerd,0.7800000000000001,0,4182.000000000002,0,0,0,0,0,0,0,4182.000000000002,1486.663623375,1.4866636233750001,0.3142540992500002,0,4182.000000000002,4182.000000000002,0,1314.2106430635001
6,180,210,30,gerd,0.7800000000000001,0,4182.000000000002,0,0,0,0,0,0,0,4182.000000000002,1486.663623375,1.4866636233750001,0.3142540992500002,0,4182.000000000002,4182.000000000002,0,1314.2106430635001
7,210,240,30,gerd,0.7800000000000001,0,4182.000000000002,0,0,0,0,0,0,0,4182.000000000002,1486.663623375,1.4866636233750001,0.3142540992500002,0,4182.000000000002,4182.000000000002,0,1314.2106430635001
8,240,270,30,gerd,0.7800000000000001,0,4182.000000000002,0,0,0,0,0,0,0,4182.000000000002,1486.663623375,1.4866636233750001,0.3142540992500002,0,4182.000000000002,4182.000000000002,0,1314.2106430635001
9,270,300,30,gerd,0.7800000000000001,0,4182.000000000002,0,0,0,0,0,0,0,4182.000000000002,1486.663623375,1.4866636233750001,0.3142540992500002,0,4182.000000000002,4182.000000000002,0,1314.2106430635001
10,300,330,30,gerd,0.7800000000000001,0,4182.000000000002,0,0,0,0,0,0,0,4182.000000000002,1486.663623375,1.4866636233750001,0.3142540992500002,0,4182.000000000002,4182.000000000002,0,1314.2106430635001
11,330,360,30,gerd,0.7800000000000001,0,4182.000000000002,0,0,0,0,0,0,0,4182.000000000002,1486.663623375,1.4866636233750001,0.3142540992500002,0,4182.000000000002,4182.000000000002,0,1314.2106430635001
12,360,390,30,gerd,0.7800000000000001,0,4182.000000000002,0,0,0,0,0,0,0,4182.000000000002,1486.663623375,1.4866636233750001,0.3142540992500002,0,4182.000000000002,4182.000000000002,0,1314.2106430635001
13,390,420,30,gerd,0.7800000000000001,0,4182.000000000002,0,0,0,0,0,0,0,4182.000000000002,1486.663623375,1.4866636233750001,0.3142540992500002,0,4182.000000000002,4182.000000000002,0,1314.2106430635001
14,420,450,30,gerd,0.7800000000000001,0,4182.000000000002,0,0,0,0,0,0,0,4182.000000000002,1486.663623375,1.4866636233750001,0.3142540992500002,0,4182.000000000002,4182.000000000002,0,1314.2106430635001
15,450,480,30,gerd,0.7800000000000001,0,4182.000000000002,0,0,0,0,0,0,0,4182.000000000002,1486.663623375,1.4866636233750001,0.3142540992500002,0,4182.000000000002,4182.000000000002,0,1314.2106430635001
16,480,510,30,gerd,0.7800000000000001,0,4182.000000000002,0,0,0,0,0,0,0,4182.000000000002,1486.663623375,1.4866636233750001,0.3142540992500002,0,4182.000000000002,4182.000000000002,0,1314.2106430635001
17,510,540,30,gerd,0.7800000000000001,0,4182.000000000002,0,0,0,0,0,0,0,4182.000000000002,1486.663623375,1.4866636233750001,0.3142540992500002,0,4182.000000000002,4182.000000000002,0,1314.2106430635001
18,540,570,30,gerd,0.7800000000000001,0,4182.000000000002,0,0,0,0,0,0,0,4182.000000000002,1486.663623375,1.4866636233750001,0.3142540992500002,0,4182.000000000002,4182.000000000002,0,1314.2106430635001
