period_index,start_day,end_day_exclusive,duration_days,total_inflow,total_evaporation,total_drink_water_met,total_unmet_drink_water,total_food_water_demand,total_food_water_met,total_unmet_food_water,total_food_produced,total_production_release,total_generated_electricity_kwh,total_generated_electricity_mwh,total_spill,total_release_for_routing,total_downstream_release,total_routing_loss,total_energy_value
0,0,30,30,34519.42000010715,1716.48,1368.1400000044644,3047.859999995536,7634.249999839893,2030.759999941969,5603.489999897924,2641.287272748513,30135.960000160714,3656.5617497947255,3.6565617497947254,512.080000000001,30648.040000160716,30648.040000160716,0,2594.558984196841
1,30,60,30,45661.86000019441,2520,4393.839999999998,22.16,7634.249999839893,3098.120000005222,4536.129999834668,4059.196363772776,34781.10000018919,4188.096105245406,4.188096105245406,868.8000000000011,35649.90000018919,35649.90000018919,0,2954.235490158042
2,60,90,30,46916.40000018468,2520,4415.999999999998,0,7634.249999839893,3888.000000000002,3746.2499998398916,5342.072727423268,35223.600000184684,4290.333373489366,4.290333373489366,868.8000000000011,36092.40000018469,36092.40000018469,0,3027.095382747444
3,90,120,30,46916.40000018468,2520,4415.999999999998,0,7634.249999839893,3888.000000000002,3746.2499998398916,5342.072727423268,35223.600000184684,4290.333373489366,4.290333373489366,868.8000000000011,36092.40000018469,36092.40000018469,0,3027.095382747444
4,120,150,30,46916.40000018468,2520,4415.999999999998,0,7634.249999839893,3888.000000000002,3746.2499998398916,5342.072727423268,35223.600000184684,4290.333373489366,4.290333373489366,868.8000000000011,36092.40000018469,36092.40000018469,0,3027.095382747444
5,150,180,30,46916.40000018468,2520,4415.999999999998,0,7634.249999839893,3888.000000000002,3746.2499998398916,5342.072727423268,35223.600000184684,4290.333373489366,4.290333373489366,868.8000000000011,36092.40000018469,36092.40000018469,0,3027.095382747444
6,180,210,30,46916.40000018468,2520,4415.999999999998,0,7634.249999839893,3888.000000000002,3746.2499998398916,5342.072727423268,35223.600000184684,4290.333373489366,4.290333373489366,868.8000000000011,36092.40000018469,36092.40000018469,0,3027.095382747444
7,210,240,30,46916.40000018468,2520,4415.999999999998,0,7634.249999839893,3888.000000000002,3746.2499998398916,5342.072727423268,35223.600000184684,4290.333373489366,4.290333373489366,868.8000000000011,36092.40000018469,36092.40000018469,0,3027.095382747444
8,240,270,30,46916.40000018468,2520,4415.999999999998,0,7634.249999839893,3888.000000000002,3746.2499998398916,5342.072727423268,35223.600000184684,4290.333373489366,4.290333373489366,868.8000000000011,36092.40000018469,36092.40000018469,0,3027.095382747444
9,270,300,30,46916.40000018468,2520,4415.999999999998,0,7634.249999839893,3888.000000000002,3746.2499998398916,5342.072727423268,35223.600000184684,4290.333373489366,4.290333373489366,868.8000000000011,36092.40000018469,36092.40000018469,0,3027.095382747444
10,300,330,30,46916.40000018468,2520,4415.999999999998,0,7634.249999839893,3888.000000000002,3746.2499998398916,5342.072727423268,35223.600000184684,4290.333373489366,4.290333373489366,868.8000000000011,36092.40000018469,36092.40000018469,0,3027.095382747444
11,330,360,30,46916.40000018468,2520,4415.999999999998,0,7634.249999839893,3888.000000000002,3746.2499998398916,5342.072727423268,35223.600000184684,4290.333373489366,4.290333373489366,868.8000000000011,36092.40000018469,36092.40000018469,0,3027.095382747444
12,360,390,30,46916.40000018468,2520,4415.999999999998,0,7634.249999839893,3888.000000000002,3746.2499998398916,5342.072727423268,35223.600000184684,4290.333373489366,4.290333373489366,868.8000000000011,36092.40000018469,36092.40000018469,0,3027.095382747444
13,390,420,30,46916.40000018468,2520,4415.999999999998,0,7634.249999839893,3888.000000000002,3746.2499998398916,5342.072727423268,35223.600000184684,4290.333373489366,4.290333373489366,868.8000000000011,36092.40000018469,36092.40000018469,0,3027.095382747444
14,420,450,30,46916.40000018468,2520,4415.999999999998,0,7634.249999839893,3888.000000000002,3746.2499998398916,5342.072727423268,35223.600000184684,4290.333373489366,4.290333373489366,868.8000000000011,36092.40000018469,36092.40000018469,0,3027.095382747444
15,450,480,30,46916.40000018468,2520,4415.999999999998,0,7634.249999839893,3888.000000000002,3746.2499998398916,5342.072727423268,35223.600000184684,4290.333373489366,4.290333373489366,868.8000000000011,36092.40000018469,36092.40000018469,0,3027.095382747444
