period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,1,1,aswand,0.5,352.75,2.75,0,0,0,0,0,0,0,145,39.4595079375,0.0394595079375,0.224783127975,0,145,145,0,32.593553556375
1,1,2,1,aswand,0.5,210.5,2.75,0,0,0,0,0,0,0,145,39.4595079375,0.0394595079375,0.224783127975,0,145,145,0,32.593553556375
2,2,3,1,aswand,0.5,68.25,2.75,0,0,0,0,0,0,0,145,39.4595079375,0.0394595079375,0.224783127975,0,145,145,0,32.593553556375
3,3,4,1,aswand,0.5,0,2.75,0,0,0,0,0,0,0,71,19.321552162499998,0.0193215521625,0.224783127975,0,71,71,0,15.959602086224997
4,4,5,1,aswand,0.5,0,2.75,0,0,0,0,0,0,0,2.75,0.748369978125,0.000748369978125,0.224783127975,0,2.75,2.75,0,0.6181536019312499
5,5,6,1,aswand,0.5,0,2.75,0,0,0,0,0,0,0,2.75,0.748369978125,0.000748369978125,0.224783127975,0,2.75,2.75,0,0.6181536019312499
6,6,7,1,aswand,0.5,0,2.75,0,0,0,0,0,0,0,2.75,0.748369978125,0.000748369978125,0.224783127975,0,2.75,2.75,0,0.6181536019312499
7,7,8,1,aswand,0.5,0,2.75,0,0,0,0,0,0,0,2.75,0.748369978125,0.000748369978125,0.224783127975,0,2.75,2.75,0,0.6181536019312499
8,8,9,1,aswand,0.5,0,2.75,0,0,0,0,0,0,0,2.75,0.748369978125,0.000748369978125,0.224783127975,0,2.75,2.75,0,0.6181536019312499
9,9,10,1,aswand,0.5,0,2.75,0,0,0,0,0,0,0,2.75,0.748369978125,0.000748369978125,0.224783127975,0,2.75,2.75,0,0.6181536019312499
10,10,11,1,aswand,0.5,0,122.75,0,0,0,0,0,0,0,122.75,33.404514478125,0.033404514478125,0.224783127975,0,122.75,122.75,0,27.59212895893125
11,11,12,1,aswand,0.5,0,115.94999999999999,0,0,0,0,0,0,0,115.94999999999999,31.553999623124998,0.031553999623124995,0.224783127975,0,115.94999999999999,115.94999999999999,0,26.063603688701246
12,12,13,1,aswand,0.5,0,3.85,0,0,0,0,0,0,0,3.85,1.047717969375,0.001047717969375,0.224783127975,0,3.85,3.85,0,0.86541504270375
13,13,14,1,aswand,0.5,0,38.550000001612,0,0,0,0,0,0,0,38.550000001612,10.49078642106368,0.01049078642106368,0.224783127975,0,38.550000001612,38.550000001612,0,8.6653895837986
