period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,1,1,gerd,0.5,165,0,0,0,0,0,0,0,0,110,39.104016875,0.039104016875,0.3384274915,0,110,110,0,37.227024064999995
1,1,2,1,gerd,0.5,55,0,0,0,0,0,0,0,0,110,39.104016875,0.039104016875,0.3384274915,0,110,110,0,37.227024064999995
2,2,3,1,gerd,0.5,38.5,93.5,0,0,0,0,0,0,0,110,39.104016875,0.039104016875,0.3384274915,0,110,110,0,37.227024064999995
3,3,4,1,gerd,0.5,22,93.5,0,0,0,0,0,0,0,110,39.104016875,0.039104016875,0.3384274915,0,110,110,0,37.227024064999995
4,4,5,1,gerd,0.5,5.5,93.5,0,0,0,0,0,0,0,110,39.104016875,0.039104016875,0.3384274915,0,110,110,0,37.227024064999995
5,5,6,1,gerd,0.5,0,93.5,0,0,0,0,0,0,0,99,35.1936151875,0.0351936151875,0.3384274915,0,99,99,0,33.5043216585
6,6,7,1,gerd,0.5,0,93.5,0,0,0,0,0,0,0,93.5,33.23841434375,0.03323841434375,0.3384274915,0,93.5,93.5,0,31.64297045525
7,7,8,1,gerd,0.5,0,93.5,0,0,0,0,0,0,0,93.5,33.23841434375,0.03323841434375,0.3384274915,0,93.5,93.5,0,31.64297045525
8,8,9,1,gerd,0.5,0,93.5,0,0,0,0,0,0,0,93.5,33.23841434375,0.03323841434375,0.3384274915,0,93.5,93.5,0,31.64297045525
9,9,10,1,gerd,0.5,0,93.5,0,0,0,0,0,0,0,93.5,33.23841434375,0.03323841434375,0.3384274915,0,93.5,93.5,0,31.64297045525
10,10,11,1,gerd,0.5,0,93.5,0,0,0,0,0,0,0,93.5,33.23841434375,0.03323841434375,0.3384274915,0,93.5,93.5,0,31.64297045525
11,11,12,1,gerd,0.5,0,93.5,0,0,0,0,0,0,0,93.5,33.23841434375,0.03323841434375,0.3384274915,0,93.5,93.5,0,31.64297045525
12,12,13,1,gerd,0.5,0,93.5,0,0,0,0,0,0,0,93.5,33.23841434375,0.03323841434375,0.3384274915,0,93.5,93.5,0,31.64297045525
13,13,14,1,gerd,0.5,0,93.5,0,0,0,0,0,0,0,93.5,33.23841434375,0.03323841434375,0.3384274915,0,93.5,93.5,0,31.64297045525
