period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,1,1,merowe,0.5,112.1,1.1,0,0,0,0,0,0,0,120,19.7113665,0.0197113665,0.08738705815,0,120,120,0,10.486446978
1,1,2,1,merowe,0.5,0,1.1,0,0,0,0,0,0,0,113.19999999999999,18.594389064999998,0.018594389064999998,0.08738705815,0,113.19999999999999,113.19999999999999,0,9.892214982579999
2,2,3,1,merowe,0.5,0,1.1,0,0,0,0,0,0,0,1.1,0.18068752625,0.00018068752625,0.08738705815,0,1.1,1.1,0,0.09612576396500001
3,3,4,1,merowe,0.5,0,35.800000001612,0,0,0,0,0,0,0,35.800000001612,5.880557672764789,0.005880557672764789,0.08738705815,0,35.800000001612,35.800000001612,0,3.128456681910868
4,4,5,1,merowe,0.5,0,74.30000000161199,0,0,0,0,0,0,0,74.30000000161199,12.204621091514788,0.012204621091514788,0.08738705815,0,74.30000000161199,74.30000000161199,0,6.4928584206858675
5,5,6,1,merowe,0.5,0,74.30000000161199,0,0,0,0,0,0,0,74.30000000161199,12.204621091514788,0.012204621091514788,0.08738705815,0,74.30000000161199,74.30000000161199,0,6.4928584206858675
6,6,7,1,merowe,0.5,0,74.30000000161199,0,0,0,0,0,0,0,74.30000000161199,12.204621091514788,0.012204621091514788,0.08738705815,0,74.30000000161199,74.30000000161199,0,6.4928584206858675
7,7,8,1,merowe,0.5,0,74.30000000161199,0,0,0,0,0,0,0,74.30000000161199,12.204621091514788,0.012204621091514788,0.08738705815,0,74.30000000161199,74.30000000161199,0,6.4928584206858675
8,8,9,1,merowe,0.5,0,74.30000000161199,0,0,0,0,0,0,0,74.30000000161199,12.204621091514788,0.012204621091514788,0.08738705815,0,74.30000000161199,74.30000000161199,0,6.4928584206858675
9,9,10,1,merowe,0.5,0,74.30000000161199,0,0,0,0,0,0,0,74.30000000161199,12.204621091514788,0.012204621091514788,0.08738705815,0,74.30000000161199,74.30000000161199,0,6.4928584206858675
10,10,11,1,merowe,0.5,0,74.30000000161199,0,0,0,0,0,0,0,74.30000000161199,12.204621091514788,0.012204621091514788,0.08738705815,0,74.30000000161199,74.30000000161199,0,6.4928584206858675
11,11,12,1,merowe,0.5,0,74.30000000161199,0,0,0,0,0,0,0,74.30000000161199,12.204621091514788,0.012204621091514788,0.08738705815,0,74.30000000161199,74.30000000161199,0,6.4928584206858675
12,12,13,1,merowe,0.5,0,74.30000000161199,0,0,0,0,0,0,0,74.30000000161199,12.204621091514788,0.012204621091514788,0.08738705815,0,74.30000000161199,74.30000000161199,0,6.4928584206858675
13,13,14,1,merowe,0.5,0,74.30000000161199,0,0,0,0,0,0,0,74.30000000161199,12.204621091514788,0.012204621091514788,0.08738705815,0,74.30000000161199,74.30000000161199,0,6.4928584206858675
