period_index,start_day,end_day_exclusive,duration_days,total_inflow,total_evaporation,total_drink_water_met,total_unmet_drink_water,total_food_water_demand,total_food_water_met,total_unmet_food_water,total_food_produced,total_production_release,total_generated_electricity_kwh,total_generated_electricity_mwh,total_spill,total_release_for_routing,total_downstream_release,total_routing_loss,total_energy_value
0,0,1,1,242,26.4,6.6,154.4,183.78749999614553,0,183.78749999614553,0,650.75,110.77837006249999,0.11077837006249999,0,650.75,650.75,0,85.733534376875
1,1,2,1,280.5,26.4,6.6,154.4,183.78749999614553,0,183.78749999614553,0,682.45,109.66139262749999,0.10966139262749999,0,682.45,682.45,0,85.139302381455
2,2,3,1,597.5,26.4,6.6,154.4,183.78749999614553,40.299999998388,143.4874999977575,48.36,643.550000001612,91.24769108875,0.09124769108875,0,643.550000001612,643.550000001612,0,75.34321316283999
3,3,4,1,632.200000001612,26.4,6.6,154.4,183.78749999614553,40.299999998388,143.4874999977575,48.36,604.250000003224,76.80960546026478,0.07680960546026477,0,604.250000003224,604.250000003224,0,61.74159261063586
4,4,5,1,670.700000001612,26.4,6.6,154.4,183.78749999614553,40.299999998388,143.4874999977575,48.36,574.500000003224,64.56048669463979,0.06456048669463979,0,574.500000003224,574.500000003224,0,49.764545865117114
5,5,6,1,670.700000001612,26.4,6.6,154.4,183.78749999614553,40.299999998388,143.4874999977575,48.36,563.500000003224,60.650085007139786,0.06065008500713979,0,563.500000003224,563.500000003224,0,46.041843458617116
6,6,7,1,670.700000001612,26.4,6.6,154.4,183.78749999614553,40.299999998388,143.4874999977575,48.36,558.000000003224,58.69488416338979,0.05869488416338979,0,558.000000003224,558.000000003224,0,44.18049225536712
7,7,8,1,659.700000001612,26.4,6.6,154.4,183.78749999614553,40.299999998388,143.4874999977575,48.36,558.000000003224,58.69488416338979,0.05869488416338979,0,558.000000003224,558.000000003224,0,44.18049225536712
8,8,9,1,654.200000001612,26.4,6.6,154.4,183.78749999614553,40.299999998388,143.4874999977575,48.36,558.000000003224,58.69488416338979,0.05869488416338979,0,558.000000003224,558.000000003224,0,44.18049225536712
9,9,10,1,654.200000001612,26.4,6.6,154.4,183.78749999614553,40.299999998388,143.4874999977575,48.36,558.000000003224,58.69488416338979,0.05869488416338979,0,558.000000003224,558.000000003224,0,44.18049225536712
10,10,11,1,774.200000001612,26.4,6.6,154.4,183.78749999614553,40.299999998388,143.4874999977575,48.36,678.000000003224,91.3510286633898,0.0913510286633898,0,678.000000003224,678.000000003224,0,71.15446761236713
11,11,12,1,767.4000000016119,26.4,6.6,154.4,183.78749999614553,40.299999998388,143.4874999977575,48.36,671.200000003224,89.50051380838978,0.08950051380838979,0,671.200000003224,671.200000003224,0,69.62594234213712
12,12,13,1,655.300000001612,26.4,6.6,154.4,183.78749999614553,40.299999998388,143.4874999977575,48.36,559.1000000032241,58.99423215463979,0.05899423215463979,0,559.1000000032241,559.1000000032241,0,44.427753696139625
13,13,14,1,835.000000003224,26.4,132.6,28.4,183.78749999614553,59.299999998388,124.48749999775751,79.45090909147437,593.8000000048361,68.43730060632846,0.06843730060632847,0,593.8000000048361,593.8000000048361,0,52.22772823723447
