period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,aswand,0.8000000000000004,0,2414.3800000358347,0,0,0,0,0,0,0,3044.380000035834,828.4809432840024,0.8284809432840023,0.20069922140625,0,3044.380000035834,3044.380000035834,0,611.0046956719516
1,30,60,30,aswand,0.8000000000000004,0,4347.050000061033,0,0,0,0,0,0,0,4347.050000061033,1182.982441255984,1.182982441255984,0.20069922140625,0,4347.050000061033,4347.050000061033,0,872.4495504262884
2,60,90,30,aswand,0.8000000000000004,0,4417.500000058143,0,0,0,0,0,0,0,4417.500000058143,1202.1543194220726,1.2021543194220725,0.20069922140625,0,4417.500000058143,4417.500000058143,0,886.5888105737785
3,90,120,30,aswand,0.8000000000000004,0,4417.500000058143,0,0,0,0,0,0,0,4417.500000058143,1202.1543194220726,1.2021543194220725,0.20069922140625,0,4417.500000058143,4417.500000058143,0,886.5888105737785
4,120,150,30,aswand,0.8000000000000004,0,4417.500000058143,0,0,0,0,0,0,0,4417.500000058143,1202.1543194220726,1.2021543194220725,0.20069922140625,0,4417.500000058143,4417.500000058143,0,886.5888105737785
5,150,180,30,aswand,0.8000000000000004,0,4417.500000058143,0,0,0,0,0,0,0,4417.500000058143,1202.1543194220726,1.2021543194220725,0.20069922140625,0,4417.500000058143,4417.500000058143,0,886.5888105737785
6,180,210,30,aswand,0.8000000000000004,0,4417.500000058143,0,0,0,0,0,0,0,4417.500000058143,1202.1543194220726,1.2021543194220725,0.20069922140625,0,4417.500000058143,4417.500000058143,0,886.5888105737785
7,210,240,30,aswand,0.8000000000000004,0,4417.500000058143,0,0,0,0,0,0,0,4417.500000058143,1202.1543194220726,1.2021543194220725,0.20069922140625,0,4417.500000058143,4417.500000058143,0,886.5888105737785
8,240,270,30,aswand,0.8000000000000004,0,4417.500000058143,0,0,0,0,0,0,0,4417.500000058143,1202.1543194220726,1.2021543194220725,0.20069922140625,0,4417.500000058143,4417.500000058143,0,886.5888105737785
9,270,300,30,aswand,0.8000000000000004,0,4417.500000058143,0,0,0,0,0,0,0,4417.500000058143,1202.1543194220726,1.2021543194220725,0.20069922140625,0,4417.500000058143,4417.500000058143,0,886.5888105737785
10,300,330,30,aswand,0.8000000000000004,0,4417.500000058143,0,0,0,0,0,0,0,4417.500000058143,1202.1543194220726,1.2021543194220725,0.20069922140625,0,4417.500000058143,4417.500000058143,0,886.5888105737785
11,330,360,30,aswand,0.8000000000000004,0,4417.500000058143,0,0,0,0,0,0,0,4417.500000058143,1202.1543194220726,1.2021543194220725,0.20069922140625,0,4417.500000058143,4417.500000058143,0,886.5888105737785
12,360,365,5,aswand,0.8,0,736.2500000096902,0,0,0,0,0,0,0,736.2500000096902,200.35905323701203,0.20035905323701203,0.20069922140625002,0,736.2500000096902,736.2500000096902,0,147.76480176229637
