period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,cairo,0.8000000000000004,0,1388.7000000084317,0,1073.1000000084318,2841.8999999915677,5119.124999906926,315.5999999999999,4803.524999906926,516.4363636457533,0.00000000000002842170943040401,0,0,0,0,0.00000000000002842170943040401,0,0.00000000000002842170943040401,0
1,30,60,30,cairo,0.8000000000000004,0,4088.48000006324,0,3867.900000031619,47.099999968380075,5119.124999906926,220.5800000316209,4898.544999875306,360.9490909673969,-0.00000000000000011102230246251565,0,0,0,0,-0.00000000000000011102230246251565,0,0,0
2,60,90,30,cairo,0.8000000000000004,0,4417.500000058143,0,3915,0,5119.124999906926,502.50000005814104,4616.624999848783,822.2727273828176,0,0,0,0,0,0,0,0,0
3,90,120,30,cairo,0.8000000000000004,0,4417.500000058143,0,3915,0,5119.124999906926,502.50000005814104,4616.624999848783,822.2727273828176,0,0,0,0,0,0,0,0,0
4,120,150,30,cairo,0.8000000000000004,0,4417.500000058143,0,3915,0,5119.124999906926,502.50000005814104,4616.624999848783,822.2727273828176,0,0,0,0,0,0,0,0,0
5,150,180,30,cairo,0.8000000000000004,0,4417.500000058143,0,3915,0,5119.124999906926,502.50000005814104,4616.624999848783,822.2727273828176,0,0,0,0,0,0,0,0,0
6,180,210,30,cairo,0.8000000000000004,0,4417.500000058143,0,3915,0,5119.124999906926,502.50000005814104,4616.624999848783,822.2727273828176,0,0,0,0,0,0,0,0,0
7,210,240,30,cairo,0.8000000000000004,0,4417.500000058143,0,3915,0,5119.124999906926,502.50000005814104,4616.624999848783,822.2727273828176,0,0,0,0,0,0,0,0,0
8,240,270,30,cairo,0.8000000000000004,0,4417.500000058143,0,3915,0,5119.124999906926,502.50000005814104,4616.624999848783,822.2727273828176,0,0,0,0,0,0,0,0,0
9,270,300,30,cairo,0.8000000000000004,0,4417.500000058143,0,3915,0,5119.124999906926,502.50000005814104,4616.624999848783,822.2727273828176,0,0,0,0,0,0,0,0,0
10,300,330,30,cairo,0.8000000000000004,0,4417.500000058143,0,3915,0,5119.124999906926,502.50000005814104,4616.624999848783,822.2727273828176,0,0,0,0,0,0,0,0,0
11,330,360,30,cairo,0.8000000000000004,0,4417.500000058143,0,3915,0,5119.124999906926,502.50000005814104,4616.624999848783,822.2727273828176,0,0,0,0,0,0,0,0,0
12,360,365,5,cairo,0.8,0,736.2500000096902,0,652.5,0,853.1874999844877,83.75000000969024,769.4374999747974,137.04545456380302,0,0,0,0,0,0,0,0,0
