period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,gerd,0.8000000000000004,0,3712.7999999999984,0,0,0,0,0,0,0,4062.7999999999984,1444.2890887250005,1.4442890887250006,0.302167403125,0,4062.7999999999984,4062.7999999999984,0,1227.6457254162503
1,30,60,30,gerd,0.8000000000000004,0,3977.999999999998,0,0,0,0,0,0,0,3977.999999999998,1414.1434466250005,1.4141434466250005,0.302167403125,0,3977.999999999998,3977.999999999998,0,1202.0219296312503
2,60,90,30,gerd,0.8000000000000004,0,3977.999999999998,0,0,0,0,0,0,0,3977.999999999998,1414.1434466250005,1.4141434466250005,0.302167403125,0,3977.999999999998,3977.999999999998,0,1202.0219296312503
3,90,120,30,gerd,0.8000000000000004,0,3977.999999999998,0,0,0,0,0,0,0,3977.999999999998,1414.1434466250005,1.4141434466250005,0.302167403125,0,3977.999999999998,3977.999999999998,0,1202.0219296312503
4,120,150,30,gerd,0.8000000000000004,0,3977.999999999998,0,0,0,0,0,0,0,3977.999999999998,1414.1434466250005,1.4141434466250005,0.302167403125,0,3977.999999999998,3977.999999999998,0,1202.0219296312503
5,150,180,30,gerd,0.8000000000000004,0,3977.999999999998,0,0,0,0,0,0,0,3977.999999999998,1414.1434466250005,1.4141434466250005,0.302167403125,0,3977.999999999998,3977.999999999998,0,1202.0219296312503
6,180,210,30,gerd,0.8000000000000004,0,3977.999999999998,0,0,0,0,0,0,0,3977.999999999998,1414.1434466250005,1.4141434466250005,0.302167403125,0,3977.999999999998,3977.999999999998,0,1202.0219296312503
7,210,240,30,gerd,0.8000000000000004,0,3977.999999999998,0,0,0,0,0,0,0,3977.999999999998,1414.1434466250005,1.4141434466250005,0.302167403125,0,3977.999999999998,3977.999999999998,0,1202.0219296312503
8,240,270,30,gerd,0.8000000000000004,0,3977.999999999998,0,0,0,0,0,0,0,3977.999999999998,1414.1434466250005,1.4141434466250005,0.302167403125,0,3977.999999999998,3977.999999999998,0,1202.0219296312503
9,270,300,30,gerd,0.8000000000000004,0,3977.999999999998,0,0,0,0,0,0,0,3977.999999999998,1414.1434466250005,1.4141434466250005,0.302167403125,0,3977.999999999998,3977.999999999998,0,1202.0219296312503
10,300,330,30,gerd,0.8000000000000004,0,3977.999999999998,0,0,0,0,0,0,0,3977.999999999998,1414.1434466250005,1.4141434466250005,0.302167403125,0,3977.999999999998,3977.999999999998,0,1202.0219296312503
11,330,360,30,gerd,0.8000000000000004,0,3977.999999999998,0,0,0,0,0,0,0,3977.999999999998,1414.1434466250005,1.4141434466250005,0.302167403125,0,3977.999999999998,3977.999999999998,0,1202.0219296312503
12,360,365,5,gerd,0.8,0,663,0,0,0,0,0,0,0,663,235.6905744375,0.2356905744375,0.302167403125,0,663,663,0,200.336988271875
