period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,karthoum,0.8000000000000004,0,280.8000000000002,0,280.8000000000002,806.6999999999997,510.0000000051002,0,510.0000000051002,0,0,0,0,0,0,0,0,0,0
1,30,60,30,karthoum,0.8000000000000004,0,1584.0599999999993,0,1060.6100000000001,26.89,510.0000000051002,493.0000000049302,17.00000000017,542.2999999999998,30.44999999506989,0,0,0,0,30.44999999506989,30.44999999506989,0,0
2,60,90,30,karthoum,0.8000000000000004,0,1628.999999999999,0,1087.5,0,510.0000000051002,510.0000000051002,0,560.9999999999999,31.499999994899888,0,0,0,0,31.499999994899888,31.499999994899888,0,0
3,90,120,30,karthoum,0.8000000000000004,0,1628.999999999999,0,1087.5,0,510.0000000051002,510.0000000051002,0,560.9999999999999,31.499999994899888,0,0,0,0,31.499999994899888,31.499999994899888,0,0
4,120,150,30,karthoum,0.8000000000000004,0,1628.999999999999,0,1087.5,0,510.0000000051002,510.0000000051002,0,560.9999999999999,31.499999994899888,0,0,0,0,31.499999994899888,31.499999994899888,0,0
5,150,180,30,karthoum,0.8000000000000004,0,1628.999999999999,0,1087.5,0,510.0000000051002,510.0000000051002,0,560.9999999999999,31.499999994899888,0,0,0,0,31.499999994899888,31.499999994899888,0,0
6,180,210,30,karthoum,0.8000000000000004,0,1628.999999999999,0,1087.5,0,510.0000000051002,510.0000000051002,0,560.9999999999999,31.499999994899888,0,0,0,0,31.499999994899888,31.499999994899888,0,0
7,210,240,30,karthoum,0.8000000000000004,0,1628.999999999999,0,1087.5,0,510.0000000051002,510.0000000051002,0,560.9999999999999,31.499999994899888,0,0,0,0,31.499999994899888,31.499999994899888,0,0
8,240,270,30,karthoum,0.8000000000000004,0,1628.999999999999,0,1087.5,0,510.0000000051002,510.0000000051002,0,560.9999999999999,31.499999994899888,0,0,0,0,31.499999994899888,31.499999994899888,0,0
9,270,300,30,karthoum,0.8000000000000004,0,1628.999999999999,0,1087.5,0,510.0000000051002,510.0000000051002,0,560.9999999999999,31.499999994899888,0,0,0,0,31.499999994899888,31.499999994899888,0,0
10,300,330,30,karthoum,0.8000000000000004,0,1628.999999999999,0,1087.5,0,510.0000000051002,510.0000000051002,0,560.9999999999999,31.499999994899888,0,0,0,0,31.499999994899888,31.499999994899888,0,0
11,330,360,30,karthoum,0.8000000000000004,0,1628.999999999999,0,1087.5,0,510.0000000051002,510.0000000051002,0,560.9999999999999,31.499999994899888,0,0,0,0,31.499999994899888,31.499999994899888,0,0
12,360,365,5,karthoum,0.8,0,271.5,0,181.25,0,85.00000000085001,85.00000000085001,0,93.5,5.249999999149981,0,0,0,0,5.249999999149981,5.249999999149981,0,0
