period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,merowe,0.8000000000000004,0,3373.780000056916,0,0,0,0,0,0,0,3667.780000056915,602.4746318540991,0.6024746318540991,0.07802415906249997,0,3667.780000056915,3667.780000056915,0,286.1754501306972
1,30,60,30,merowe,0.8000000000000004,0,4293.150000059331,0,0,0,0,0,0,0,4293.150000059331,705.1987757553705,0.7051987757553706,0.07802415906249997,0,4293.150000059331,4293.150000059331,0,334.9694184838009
2,60,90,30,merowe,0.8000000000000004,0,4300.50000005814,0,0,0,0,0,0,0,4300.50000005814,706.4060969533001,0.7064060969533001,0.07802415906249997,0,4300.50000005814,4300.50000005814,0,335.5428960528174
3,90,120,30,merowe,0.8000000000000004,0,4300.50000005814,0,0,0,0,0,0,0,4300.50000005814,706.4060969533001,0.7064060969533001,0.07802415906249997,0,4300.50000005814,4300.50000005814,0,335.5428960528174
4,120,150,30,merowe,0.8000000000000004,0,4300.50000005814,0,0,0,0,0,0,0,4300.50000005814,706.4060969533001,0.7064060969533001,0.07802415906249997,0,4300.50000005814,4300.50000005814,0,335.5428960528174
5,150,180,30,merowe,0.8000000000000004,0,4300.50000005814,0,0,0,0,0,0,0,4300.50000005814,706.4060969533001,0.7064060969533001,0.07802415906249997,0,4300.50000005814,4300.50000005814,0,335.5428960528174
6,180,210,30,merowe,0.8000000000000004,0,4300.50000005814,0,0,0,0,0,0,0,4300.50000005814,706.4060969533001,0.7064060969533001,0.07802415906249997,0,4300.50000005814,4300.50000005814,0,335.5428960528174
7,210,240,30,merowe,0.8000000000000004,0,4300.50000005814,0,0,0,0,0,0,0,4300.50000005814,706.4060969533001,0.7064060969533001,0.07802415906249997,0,4300.50000005814,4300.50000005814,0,335.5428960528174
8,240,270,30,merowe,0.8000000000000004,0,4300.50000005814,0,0,0,0,0,0,0,4300.50000005814,706.4060969533001,0.7064060969533001,0.07802415906249997,0,4300.50000005814,4300.50000005814,0,335.5428960528174
9,270,300,30,merowe,0.8000000000000004,0,4300.50000005814,0,0,0,0,0,0,0,4300.50000005814,706.4060969533001,0.7064060969533001,0.07802415906249997,0,4300.50000005814,4300.50000005814,0,335.5428960528174
10,300,330,30,merowe,0.8000000000000004,0,4300.50000005814,0,0,0,0,0,0,0,4300.50000005814,706.4060969533001,0.7064060969533001,0.07802415906249997,0,4300.50000005814,4300.50000005814,0,335.5428960528174
11,330,360,30,merowe,0.8000000000000004,0,4300.50000005814,0,0,0,0,0,0,0,4300.50000005814,706.4060969533001,0.7064060969533001,0.07802415906249997,0,4300.50000005814,4300.50000005814,0,335.5428960528174
12,360,365,5,merowe,0.8,0,716.7500000096902,0,0,0,0,0,0,0,716.7500000096902,117.73434949221672,0.11773434949221673,0.07802415906249999,0,716.7500000096902,716.7500000096902,0,55.92381600880294
