period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,roseires,0.8000000000000004,420,3984.8000000000015,0,0,0,0,0,0,0,3554.48,592.578201964,0.5925782019639999,0.064601306875,192.32000000000085,3746.800000000001,3746.800000000002,0,229.6240532610502
1,30,60,30,roseires,0.8000000000000004,420,4165.200000000002,0,0,0,0,0,0,0,3600,600.16698,0.60016698,0.064601306875,565.200000000001,4165.200000000001,4165.2000000000035,0,232.5647047500002
2,60,90,30,roseires,0.8000000000000004,420,4165.200000000002,0,0,0,0,0,0,0,3600,600.16698,0.60016698,0.064601306875,565.200000000001,4165.200000000001,4165.2000000000035,0,232.5647047500002
3,90,120,30,roseires,0.8000000000000004,420,4165.200000000002,0,0,0,0,0,0,0,3600,600.16698,0.60016698,0.064601306875,565.200000000001,4165.200000000001,4165.2000000000035,0,232.5647047500002
4,120,150,30,roseires,0.8000000000000004,420,4165.200000000002,0,0,0,0,0,0,0,3600,600.16698,0.60016698,0.064601306875,565.200000000001,4165.200000000001,4165.2000000000035,0,232.5647047500002
5,150,180,30,roseires,0.8000000000000004,420,4165.200000000002,0,0,0,0,0,0,0,3600,600.16698,0.60016698,0.064601306875,565.200000000001,4165.200000000001,4165.2000000000035,0,232.5647047500002
6,180,210,30,roseires,0.8000000000000004,420,4165.200000000002,0,0,0,0,0,0,0,3600,600.16698,0.60016698,0.064601306875,565.200000000001,4165.200000000001,4165.2000000000035,0,232.5647047500002
7,210,240,30,roseires,0.8000000000000004,420,4165.200000000002,0,0,0,0,0,0,0,3600,600.16698,0.60016698,0.064601306875,565.200000000001,4165.200000000001,4165.2000000000035,0,232.5647047500002
8,240,270,30,roseires,0.8000000000000004,420,4165.200000000002,0,0,0,0,0,0,0,3600,600.16698,0.60016698,0.064601306875,565.200000000001,4165.200000000001,4165.2000000000035,0,232.5647047500002
9,270,300,30,roseires,0.8000000000000004,420,4165.200000000002,0,0,0,0,0,0,0,3600,600.16698,0.60016698,0.064601306875,565.200000000001,4165.200000000001,4165.2000000000035,0,232.5647047500002
10,300,330,30,roseires,0.8000000000000004,420,4165.200000000002,0,0,0,0,0,0,0,3600,600.16698,0.60016698,0.064601306875,565.200000000001,4165.200000000001,4165.2000000000035,0,232.5647047500002
11,330,360,30,roseires,0.8000000000000004,420,4165.200000000002,0,0,0,0,0,0,0,3600,600.16698,0.60016698,0.064601306875,565.200000000001,4165.200000000001,4165.2000000000035,0,232.5647047500002
12,360,365,5,roseires,0.8,420,694.2,0,0,0,0,0,0,0,600,100.02783000000001,0.10002783000000001,0.064601306875,94.20000000000016,694.2000000000002,694.2000000000002,0,38.76078412500001
