period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,singa,0.8000000000000004,0,3469.1200000000017,0,0,0,1580.9999999367612,1475.599999940977,105.39999999578401,1770.72,1993.5200000590244,0,0,0,0,1993.5200000590244,1993.5200000590244,0,0
1,30,60,30,singa,0.8000000000000004,0,4165.2000000000035,0,0,0,1580.9999999367612,1580.9999999367612,0,1897.2,2584.200000063242,0,0,0,0,2584.200000063242,2584.200000063242,0,0
2,60,90,30,singa,0.8000000000000004,0,4165.2000000000035,0,0,0,1580.9999999367612,1580.9999999367612,0,1897.2,2584.200000063242,0,0,0,0,2584.200000063242,2584.200000063242,0,0
3,90,120,30,singa,0.8000000000000004,0,4165.2000000000035,0,0,0,1580.9999999367612,1580.9999999367612,0,1897.2,2584.200000063242,0,0,0,0,2584.200000063242,2584.200000063242,0,0
4,120,150,30,singa,0.8000000000000004,0,4165.2000000000035,0,0,0,1580.9999999367612,1580.9999999367612,0,1897.2,2584.200000063242,0,0,0,0,2584.200000063242,2584.200000063242,0,0
5,150,180,30,singa,0.8000000000000004,0,4165.2000000000035,0,0,0,1580.9999999367612,1580.9999999367612,0,1897.2,2584.200000063242,0,0,0,0,2584.200000063242,2584.200000063242,0,0
6,180,210,30,singa,0.8000000000000004,0,4165.2000000000035,0,0,0,1580.9999999367612,1580.9999999367612,0,1897.2,2584.200000063242,0,0,0,0,2584.200000063242,2584.200000063242,0,0
7,210,240,30,singa,0.8000000000000004,0,4165.2000000000035,0,0,0,1580.9999999367612,1580.9999999367612,0,1897.2,2584.200000063242,0,0,0,0,2584.200000063242,2584.200000063242,0,0
8,240,270,30,singa,0.8000000000000004,0,4165.2000000000035,0,0,0,1580.9999999367612,1580.9999999367612,0,1897.2,2584.200000063242,0,0,0,0,2584.200000063242,2584.200000063242,0,0
9,270,300,30,singa,0.8000000000000004,0,4165.2000000000035,0,0,0,1580.9999999367612,1580.9999999367612,0,1897.2,2584.200000063242,0,0,0,0,2584.200000063242,2584.200000063242,0,0
10,300,330,30,singa,0.8000000000000004,0,4165.2000000000035,0,0,0,1580.9999999367612,1580.9999999367612,0,1897.2,2584.200000063242,0,0,0,0,2584.200000063242,2584.200000063242,0,0
11,330,360,30,singa,0.8000000000000004,0,4165.2000000000035,0,0,0,1580.9999999367612,1580.9999999367612,0,1897.2,2584.200000063242,0,0,0,0,2584.200000063242,2584.200000063242,0,0
12,360,365,5,singa,0.8,0,694.2000000000002,0,0,0,263.49999998946004,263.49999998946004,0,316.2,430.7000000105401,0,0,0,0,430.7000000105401,430.7000000105401,0,0
