period_index,start_day,end_day_exclusive,duration_days,total_inflow,total_evaporation,total_drink_water_met,total_unmet_drink_water,total_food_water_demand,total_food_water_met,total_unmet_food_water,total_food_produced,total_production_release,total_generated_electricity_kwh,total_generated_electricity_mwh,total_spill,total_release_for_routing,total_downstream_release,total_routing_loss,total_energy_value
0,0,30,30,32570.780000101186,1753.92,1353.900000008432,3648.5999999915675,7210.124999848787,1791.199999940977,5418.92499990781,2287.156363645753,28515.44000015177,3467.8228658271023,3.4678228658271024,192.32000000000085,28707.76000015177,28707.76000015177,0.00000000000002842170943040401,2354.4499244799495
1,30,60,30,42486.340000183605,2700,4928.51000003162,73.98999996838008,7210.124999848787,2294.579999973312,4915.544999875476,2800.449090967397,31998.05000017868,3902.4916436363546,3.902491643636355,565.200000000001,32563.250000178676,32563.250000178676,0,2642.00560329134
2,60,90,30,42938.100000174425,2700,5002.5,0,7210.124999848787,2593.5000000000027,4616.624999848783,3280.4727273828175,32076.90000017442,3922.870843000373,3.922870843000373,565.200000000001,32642.100000174425,32642.100000174425,0,2656.7183410078464
3,90,120,30,42938.100000174425,2700,5002.5,0,7210.124999848787,2593.5000000000027,4616.624999848783,3280.4727273828175,32076.90000017442,3922.870843000373,3.922870843000373,565.200000000001,32642.100000174425,32642.100000174425,0,2656.7183410078464
4,120,150,30,42938.100000174425,2700,5002.5,0,7210.124999848787,2593.5000000000027,4616.624999848783,3280.4727273828175,32076.90000017442,3922.870843000373,3.922870843000373,565.200000000001,32642.100000174425,32642.100000174425,0,2656.7183410078464
5,150,180,30,42938.100000174425,2700,5002.5,0,7210.124999848787,2593.5000000000027,4616.624999848783,3280.4727273828175,32076.90000017442,3922.870843000373,3.922870843000373,565.200000000001,32642.100000174425,32642.100000174425,0,2656.7183410078464
6,180,210,30,42938.100000174425,2700,5002.5,0,7210.124999848787,2593.5000000000027,4616.624999848783,3280.4727273828175,32076.90000017442,3922.870843000373,3.922870843000373,565.200000000001,32642.100000174425,32642.100000174425,0,2656.7183410078464
7,210,240,30,42938.100000174425,2700,5002.5,0,7210.124999848787,2593.5000000000027,4616.624999848783,3280.4727273828175,32076.90000017442,3922.870843000373,3.922870843000373,565.200000000001,32642.100000174425,32642.100000174425,0,2656.7183410078464
8,240,270,30,42938.100000174425,2700,5002.5,0,7210.124999848787,2593.5000000000027,4616.624999848783,3280.4727273828175,32076.90000017442,3922.870843000373,3.922870843000373,565.200000000001,32642.100000174425,32642.100000174425,0,2656.7183410078464
9,270,300,30,42938.100000174425,2700,5002.5,0,7210.124999848787,2593.5000000000027,4616.624999848783,3280.4727273828175,32076.90000017442,3922.870843000373,3.922870843000373,565.200000000001,32642.100000174425,32642.100000174425,0,2656.7183410078464
10,300,330,30,42938.100000174425,2700,5002.5,0,7210.124999848787,2593.5000000000027,4616.624999848783,3280.4727273828175,32076.90000017442,3922.870843000373,3.922870843000373,565.200000000001,32642.100000174425,32642.100000174425,0,2656.7183410078464
11,330,360,30,42938.100000174425,2700,5002.5,0,7210.124999848787,2593.5000000000027,4616.624999848783,3280.4727273828175,32076.90000017442,3922.870843000373,3.922870843000373,565.200000000001,32642.100000174425,32642.100000174425,0,2656.7183410078464
12,360,365,5,7156.35000002907,450,833.75,0,1201.6874999747977,432.2500000000002,769.4374999747974,546.745454563803,5346.150000029071,653.8118071667287,0.6538118071667287,94.20000000000016,5440.35000002907,5440.35000002907,0,442.78639016797433
