period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,1,1,aswand,1,706.75,6.75,0,0,0,0,0,0,0,290,78.919015875,0.078919015875,0.12041953284375,0,290,290,0,34.9216645246875
1,1,2,1,aswand,1,423.5,6.75,0,0,0,0,0,0,0,290,78.919015875,0.078919015875,0.12041953284375,0,290,290,0,34.9216645246875
2,2,3,1,aswand,1,140.25,6.75,0,0,0,0,0,0,0,290,78.919015875,0.078919015875,0.12041953284375,0,290,290,0,34.9216645246875
3,3,4,1,aswand,1,0,6.75,0,0,0,0,0,0,0,147,40.0037770125,0.040003777012500005,0.12041953284375,0,147,147,0,17.70167132803125
4,4,5,1,aswand,1,0,6.75,0,0,0,0,0,0,0,6.75,1.836908128125,0.001836908128125,0.12041953284375,0,6.75,6.75,0,0.8128318466953125
5,5,6,1,aswand,1,0,6.75,0,0,0,0,0,0,0,6.75,1.836908128125,0.001836908128125,0.12041953284375,0,6.75,6.75,0,0.8128318466953125
6,6,7,1,aswand,1,0,6.75,0,0,0,0,0,0,0,6.75,1.836908128125,0.001836908128125,0.12041953284375,0,6.75,6.75,0,0.8128318466953125
7,7,8,1,aswand,1,0,6.75,0,0,0,0,0,0,0,6.75,1.836908128125,0.001836908128125,0.12041953284375,0,6.75,6.75,0,0.8128318466953125
8,8,9,1,aswand,1,0,6.75,0,0,0,0,0,0,0,6.75,1.836908128125,0.001836908128125,0.12041953284375,0,6.75,6.75,0,0.8128318466953125
9,9,10,1,aswand,1,0,6.75,0,0,0,0,0,0,0,6.75,1.836908128125,0.001836908128125,0.12041953284375,0,6.75,6.75,0,0.8128318466953125
10,10,11,1,aswand,1,0,246.75,0,0,0,0,0,0,0,246.75,67.149197128125,0.06714919712812499,0.12041953284375,0,246.75,246.75,0,29.713519729195312
11,11,12,1,aswand,1,0,234.14999999999998,0,0,0,0,0,0,0,234.14999999999998,63.72030195562499,0.06372030195562499,0.12041953284375,0,234.14999999999998,234.14999999999998,0,28.196233615364058
12,12,13,1,aswand,1,0,9.45,0,0,0,0,0,0,0,9.45,2.5716713793749997,0.0025716713793749995,0.12041953284375,0,9.45,9.45,0,1.1379645853734375
13,13,14,1,aswand,1,0,106.750000002108,0,0,0,0,0,0,0,106.750000002108,29.05036187869866,0.02905036187869866,0.12041953284375,0,106.750000002108,106.750000002108,0,12.854785131324157
14,14,15,1,aswand,1,0,201.25000000210798,0,0,0,0,0,0,0,201.25000000210798,54.767075672448655,0.05476707567244866,0.12041953284375,0,201.25000000210798,201.25000000210798,0,24.23443098505853
15,15,16,1,aswand,1,0,201.25000000210798,0,0,0,0,0,0,0,201.25000000210798,54.767075672448655,0.05476707567244866,0.12041953284375,0,201.25000000210798,201.25000000210798,0,24.23443098505853
16,16,17,1,aswand,1,0,201.25000000210798,0,0,0,0,0,0,0,201.25000000210798,54.767075672448655,0.05476707567244866,0.12041953284375,0,201.25000000210798,201.25000000210798,0,24.23443098505853
17,17,18,1,aswand,1,0,201.25000000210798,0,0,0,0,0,0,0,201.25000000210798,54.767075672448655,0.05476707567244866,0.12041953284375,0,201.25000000210798,201.25000000210798,0,24.23443098505853
18,18,19,1,aswand,1,0,201.25000000210798,0,0,0,0,0,0,0,201.25000000210798,54.767075672448655,0.05476707567244866,0.12041953284375,0,201.25000000210798,201.25000000210798,0,24.23443098505853
19,19,20,1,aswand,1,0,201.25000000210798,0,0,0,0,0,0,0,201.25000000210798,54.767075672448655,0.05476707567244866,0.12041953284375,0,201.25000000210798,201.25000000210798,0,24.23443098505853
20,20,21,1,aswand,1,0,246.75,0,0,0,0,0,0,0,246.75,67.149197128125,0.06714919712812499,0.12041953284375,0,246.75,246.75,0,29.713519729195312
21,21,22,1,aswand,1,0,246.75,0,0,0,0,0,0,0,246.75,67.149197128125,0.06714919712812499,0.12041953284375,0,246.75,246.75,0,29.713519729195312
22,22,23,1,aswand,1,0,246.75,0,0,0,0,0,0,0,246.75,67.149197128125,0.06714919712812499,0.12041953284375,0,246.75,246.75,0,29.713519729195312
23,23,24,1,aswand,1,0,246.75,0,0,0,0,0,0,0,246.75,67.149197128125,0.06714919712812499,0.12041953284375,0,246.75,246.75,0,29.713519729195312
24,24,25,1,aswand,1,0,246.75,0,0,0,0,0,0,0,246.75,67.149197128125,0.06714919712812499,0.12041953284375,0,246.75,246.75,0,29.713519729195312
25,25,26,1,aswand,1,0,246.75,0,0,0,0,0,0,0,246.75,67.149197128125,0.06714919712812499,0.12041953284375,0,246.75,246.75,0,29.713519729195312
26,26,27,1,aswand,1,0,246.75,0,0,0,0,0,0,0,246.75,67.149197128125,0.06714919712812499,0.12041953284375,0,246.75,246.75,0,29.713519729195312
27,27,28,1,aswand,1,0,246.75,0,0,0,0,0,0,0,246.75,67.149197128125,0.06714919712812499,0.12041953284375,0,246.75,246.75,0,29.713519729195312
28,28,29,1,aswand,1,0,246.75,0,0,0,0,0,0,0,246.75,67.149197128125,0.06714919712812499,0.12041953284375,0,246.75,246.75,0,29.713519729195312
29,29,30,1,aswand,1,0,246.75,0,0,0,0,0,0,0,246.75,67.149197128125,0.06714919712812499,0.12041953284375,0,246.75,246.75,0,29.713519729195312
