period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,1,1,gerd,1,330,0,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
1,1,2,1,gerd,1,110,0,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
2,2,3,1,gerd,1,119.5,229.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
3,3,4,1,gerd,1,129,229.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
4,4,5,1,gerd,1,138.5,229.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
5,5,6,1,gerd,1,148,229.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
6,6,7,1,gerd,1,157.5,229.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
7,7,8,1,gerd,1,167,229.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
8,8,9,1,gerd,1,176.5,229.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
9,9,10,1,gerd,1,186,229.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
10,10,11,1,gerd,1,195.5,229.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
11,11,12,1,gerd,1,205,229.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
12,12,13,1,gerd,1,214.5,229.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
13,13,14,1,gerd,1,224,229.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
14,14,15,1,gerd,1,233.5,229.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
15,15,16,1,gerd,1,243,229.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
16,16,17,1,gerd,1,252.5,229.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
17,17,18,1,gerd,1,262,229.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
18,18,19,1,gerd,1,271.5,229.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
19,19,20,1,gerd,1,281,229.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
20,20,21,1,gerd,1,290.5,229.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
21,21,22,1,gerd,1,300,229.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
22,22,23,1,gerd,1,309.5,229.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
23,23,24,1,gerd,1,319,229.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
24,24,25,1,gerd,1,328.5,229.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
25,25,26,1,gerd,1,338,229.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
26,26,27,1,gerd,1,347.5,229.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
27,27,28,1,gerd,1,357,229.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
28,28,29,1,gerd,1,366.5,229.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
29,29,30,1,gerd,1,376,229.5,0,0,0,0,0,0,0,220,78.20803375,0.07820803375,0.181300441875,0,220,220,0,39.8860972125
