period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,1,1,merowe,1,224.7,2.7,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.04681449543749999,0,240,240,0,11.235478904999999
1,1,2,1,merowe,1,0,2.7,0,0,0,0,0,0,0,227.39999999999998,37.353039517499994,0.03735303951749999,0.04681449543749999,0,227.39999999999998,227.39999999999998,0,10.645616262487497
2,2,3,1,merowe,1,0,2.7,0,0,0,0,0,0,0,2.7,0.44350574625,0.00044350574625,0.04681449543749999,0,2.7,2.7,0,0.12639913768125
3,3,4,1,merowe,1,0,100.000000002108,0,0,0,0,0,0,0,100.000000002108,16.42613875034626,0.01642613875034626,0.04681449543749999,0,100.000000002108,100.000000002108,0,4.681449543848684
4,4,5,1,merowe,1,0,194.50000000210798,0,0,0,0,0,0,0,194.50000000210798,31.948839869096258,0.03194883986909626,0.04681449543749999,0,194.50000000210798,194.50000000210798,0,9.105419362692432
5,5,6,1,merowe,1,0,194.50000000210798,0,0,0,0,0,0,0,194.50000000210798,31.948839869096258,0.03194883986909626,0.04681449543749999,0,194.50000000210798,194.50000000210798,0,9.105419362692432
6,6,7,1,merowe,1,0,194.50000000210798,0,0,0,0,0,0,0,194.50000000210798,31.948839869096258,0.03194883986909626,0.04681449543749999,0,194.50000000210798,194.50000000210798,0,9.105419362692432
7,7,8,1,merowe,1,0,194.50000000210798,0,0,0,0,0,0,0,194.50000000210798,31.948839869096258,0.03194883986909626,0.04681449543749999,0,194.50000000210798,194.50000000210798,0,9.105419362692432
8,8,9,1,merowe,1,0,194.50000000210798,0,0,0,0,0,0,0,194.50000000210798,31.948839869096258,0.03194883986909626,0.04681449543749999,0,194.50000000210798,194.50000000210798,0,9.105419362692432
9,9,10,1,merowe,1,0,194.50000000210798,0,0,0,0,0,0,0,194.50000000210798,31.948839869096258,0.03194883986909626,0.04681449543749999,0,194.50000000210798,194.50000000210798,0,9.105419362692432
10,10,11,1,merowe,1,26.900000002108072,266.9000000021081,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.04681449543749999,0,240,240,0,11.235478904999999
11,11,12,1,merowe,1,62.20000000421601,275.30000000210794,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.04681449543749999,0,240,240,0,11.235478904999999
12,12,13,1,merowe,1,97.50000000632394,275.30000000210794,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.04681449543749999,0,240,240,0,11.235478904999999
13,13,14,1,merowe,1,132.80000000843188,275.30000000210794,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.04681449543749999,0,240,240,0,11.235478904999999
14,14,15,1,merowe,1,168.10000001053982,275.30000000210794,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.04681449543749999,0,240,240,0,11.235478904999999
15,15,16,1,merowe,1,203.40000001264775,275.30000000210794,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.04681449543749999,0,240,240,0,11.235478904999999
16,16,17,1,merowe,1,238.7000000147557,275.30000000210794,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.04681449543749999,0,240,240,0,11.235478904999999
17,17,18,1,merowe,1,274.0000000168636,275.30000000210794,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.04681449543749999,0,240,240,0,11.235478904999999
18,18,19,1,merowe,1,309.30000001897156,275.30000000210794,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.04681449543749999,0,240,240,0,11.235478904999999
19,19,20,1,merowe,1,344.6000000210795,275.30000000210794,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.04681449543749999,0,240,240,0,11.235478904999999
20,20,21,1,merowe,1,379.90000002318743,275.30000000210794,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.04681449543749999,0,240,240,0,11.235478904999999
21,21,22,1,merowe,1,415.20000002529537,275.30000000210794,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.04681449543749999,0,240,240,0,11.235478904999999
22,22,23,1,merowe,1,450.5000000274033,275.30000000210794,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.04681449543749999,0,240,240,0,11.235478904999999
23,23,24,1,merowe,1,485.80000002951124,275.30000000210794,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.04681449543749999,0,240,240,0,11.235478904999999
24,24,25,1,merowe,1,521.1000000316192,275.30000000210794,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.04681449543749999,0,240,240,0,11.235478904999999
25,25,26,1,merowe,1,556.4000000337271,275.30000000210794,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.04681449543749999,0,240,240,0,11.235478904999999
26,26,27,1,merowe,1,591.700000035835,275.30000000210794,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.04681449543749999,0,240,240,0,11.235478904999999
27,27,28,1,merowe,1,627.000000037943,275.30000000210794,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.04681449543749999,0,240,240,0,11.235478904999999
28,28,29,1,merowe,1,662.3000000400509,275.30000000210794,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.04681449543749999,0,240,240,0,11.235478904999999
29,29,30,1,merowe,1,697.6000000421589,275.30000000210794,0,0,0,0,0,0,0,240,39.422733,0.039422733,0.04681449543749999,0,240,240,0,11.235478904999999
