period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,1,1,roseires,1,146.8,10.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,0,150,150,0,5.81411761875
1,1,2,1,roseires,1,7.600000000000023,10.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,0,150,150,0,5.81411761875
2,2,3,1,roseires,1,88.40000000000003,230.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,0,150,150,0,5.81411761875
3,3,4,1,roseires,1,169.20000000000005,230.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,0,150,150,0,5.81411761875
4,4,5,1,roseires,1,250.00000000000006,230.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,0,150,150,0,5.81411761875
5,5,6,1,roseires,1,330.80000000000007,230.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,0,150,150,0,5.81411761875
6,6,7,1,roseires,1,411.60000000000014,230.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,0,150,150,0,5.81411761875
7,7,8,1,roseires,1,420,230.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,72.40000000000009,222.4000000000001,222.4000000000001,0,5.81411761875
8,8,9,1,roseires,1,420,230.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,80.79999999999995,230.79999999999995,230.79999999999995,0,5.81411761875
9,9,10,1,roseires,1,420,230.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,80.79999999999995,230.79999999999995,230.79999999999995,0,5.81411761875
10,10,11,1,roseires,1,420,230.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,80.79999999999995,230.79999999999995,230.79999999999995,0,5.81411761875
11,11,12,1,roseires,1,420,230.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,80.79999999999995,230.79999999999995,230.79999999999995,0,5.81411761875
12,12,13,1,roseires,1,420,230.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,80.79999999999995,230.79999999999995,230.79999999999995,0,5.81411761875
13,13,14,1,roseires,1,420,230.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,80.79999999999995,230.79999999999995,230.79999999999995,0,5.81411761875
14,14,15,1,roseires,1,420,230.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,80.79999999999995,230.79999999999995,230.79999999999995,0,5.81411761875
15,15,16,1,roseires,1,420,230.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,80.79999999999995,230.79999999999995,230.79999999999995,0,5.81411761875
16,16,17,1,roseires,1,420,230.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,80.79999999999995,230.79999999999995,230.79999999999995,0,5.81411761875
17,17,18,1,roseires,1,420,230.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,80.79999999999995,230.79999999999995,230.79999999999995,0,5.81411761875
18,18,19,1,roseires,1,420,230.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,80.79999999999995,230.79999999999995,230.79999999999995,0,5.81411761875
19,19,20,1,roseires,1,420,230.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,80.79999999999995,230.79999999999995,230.79999999999995,0,5.81411761875
20,20,21,1,roseires,1,420,230.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,80.79999999999995,230.79999999999995,230.79999999999995,0,5.81411761875
21,21,22,1,roseires,1,420,230.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,80.79999999999995,230.79999999999995,230.79999999999995,0,5.81411761875
22,22,23,1,roseires,1,420,230.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,80.79999999999995,230.79999999999995,230.79999999999995,0,5.81411761875
23,23,24,1,roseires,1,420,230.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,80.79999999999995,230.79999999999995,230.79999999999995,0,5.81411761875
24,24,25,1,roseires,1,420,230.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,80.79999999999995,230.79999999999995,230.79999999999995,0,5.81411761875
25,25,26,1,roseires,1,420,230.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,80.79999999999995,230.79999999999995,230.79999999999995,0,5.81411761875
26,26,27,1,roseires,1,420,230.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,80.79999999999995,230.79999999999995,230.79999999999995,0,5.81411761875
27,27,28,1,roseires,1,420,230.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,80.79999999999995,230.79999999999995,230.79999999999995,0,5.81411761875
28,28,29,1,roseires,1,420,230.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,80.79999999999995,230.79999999999995,230.79999999999995,0,5.81411761875
29,29,30,1,roseires,1,420,230.8,0,0,0,0,0,0,0,150,25.0069575,0.0250069575,0.038760784125,80.79999999999995,230.79999999999995,230.79999999999995,0,5.81411761875
