period_index,start_day,end_day_exclusive,duration_days,total_inflow,total_evaporation,total_drink_water_met,total_unmet_drink_water,total_food_water_demand,total_food_water_met,total_unmet_food_water,total_food_produced,total_production_release,total_generated_electricity_kwh,total_generated_electricity_mwh,total_spill,total_release_for_routing,total_downstream_release,total_routing_loss,total_energy_value
0,0,1,1,594,63,16.2,64.3,240.33749999495956,0,240.33749999495956,0,1394.55,221.55674012499998,0.22155674012499998,0,1394.55,1394.55,0,91.8573582609375
1,1,2,1,688.5,63,16.2,64.3,240.33749999495956,0,240.33749999495956,0,1476.4499999999998,219.4870466425,0.2194870466425,0,1476.4499999999998,1476.4499999999998,0,91.26749561842499
2,2,3,1,1382.5,63,16.2,64.3,240.33749999495956,52.69999999789201,187.63749999706752,63.24,1443.550000002108,182.57751287125,0.18257751287125001,0,1443.550000002108,1443.550000002108,0,80.74827849361874
3,3,4,1,1479.800000002108,63,16.2,64.3,240.33749999495956,52.69999999789201,187.63749999706752,63.24,1397.8500000042159,159.64490701284626,0.15964490701284625,0,1397.8500000042159,1397.8500000042159,0,68.08333570312993
4,4,5,1,1574.300000002108,63,16.2,64.3,240.33749999495956,52.69999999789201,187.63749999706752,63.24,1352.1000000042159,137.00073924722125,0.13700073924722125,0,1352.1000000042159,1352.1000000042159,0,55.618466040637735
5,5,6,1,1574.300000002108,63,16.2,64.3,240.33749999495956,52.69999999789201,187.63749999706752,63.24,1352.1000000042159,137.00073924722125,0.13700073924722125,0,1352.1000000042159,1352.1000000042159,0,55.618466040637735
6,6,7,1,1574.300000002108,63,16.2,64.3,240.33749999495956,52.69999999789201,187.63749999706752,63.24,1352.1000000042159,137.00073924722125,0.13700073924722125,0,1352.1000000042159,1352.1000000042159,0,55.618466040637735
7,7,8,1,1574.300000002108,63,16.2,64.3,240.33749999495956,52.69999999789201,187.63749999706752,63.24,1352.1000000042159,137.00073924722125,0.13700073924722125,72.40000000000009,1424.500000004216,1424.500000004216,0,55.618466040637735
8,8,9,1,1574.300000002108,63,16.2,64.3,240.33749999495956,52.69999999789201,187.63749999706752,63.24,1352.1000000042159,137.00073924722125,0.13700073924722125,80.79999999999995,1432.9000000042158,1432.9000000042158,0,55.618466040637735
9,9,10,1,1646.700000002108,63,16.2,64.3,240.33749999495956,52.69999999789201,187.63749999706752,63.24,1424.500000004216,137.00073924722125,0.13700073924722125,80.79999999999995,1505.300000004216,1505.300000004216,0,55.618466040637735
10,10,11,1,1967.500000002108,63,16.2,64.3,240.33749999495956,52.69999999789201,187.63749999706752,63.24,1718.4000000021078,209.786921378125,0.209786921378125,80.79999999999995,1799.2000000021078,1799.2000000021078,0,86.64921346544531
11,11,12,1,1963.300000002108,63,16.2,64.3,240.33749999495956,52.69999999789201,187.63749999706752,63.24,1705.800000002108,206.35802620562498,0.206358026205625,80.79999999999995,1786.6000000021077,1786.6000000021077,0,85.13192735161405
12,12,13,1,1738.600000002108,63,16.2,64.3,240.33749999495956,52.69999999789201,187.63749999706752,63.24,1481.100000002108,145.209395629375,0.145209395629375,80.79999999999995,1561.9000000021078,1561.9000000021078,0,58.073658321623434
13,13,14,1,2127.700000004216,63,80.5,0,240.33749999495956,223.83749999478954,16.500000000170004,343.01499999999453,1634.7625000073183,171.68808612869864,0.17168808612869865,80.79999999999995,1715.5625000073182,1659.2000000042158,56.36250000310247,69.79047886757415
14,14,15,1,2222.200000004216,63,80.5,0,240.33749999495956,223.83749999478954,16.500000000170004,343.01499999999453,1729.2625000073183,197.40479992244866,0.19740479992244866,80.79999999999995,1810.0625000073182,1753.7000000042158,56.36250000310247,81.17012472130853
15,15,16,1,2222.200000004216,63,80.5,0,240.33749999495956,223.83749999478954,16.500000000170004,343.01499999999453,1729.2625000073183,197.40479992244866,0.19740479992244866,80.79999999999995,1810.0625000073182,1753.7000000042158,56.36250000310247,81.17012472130853
16,16,17,1,2079.200000004216,63,80.5,0,240.33749999495956,137.199999997892,103.13749999706754,201.24454545703912,1672.9000000042158,197.40479992244866,0.19740479992244866,80.79999999999995,1753.7000000042158,1753.7000000042158,0,81.17012472130853
17,17,18,1,1938.9500000042158,63,24.25,56.25,240.33749999495956,53.19999999789201,187.13749999706755,63.7899999999945,1672.9000000042158,197.40479992244866,0.19740479992244866,80.79999999999995,1753.7000000042158,1753.7000000042158,0,81.17012472130853
