period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,1,1,aswand,0.65,221,4.5,0,0,0,0,0,0,0,188.5,51.29736031875,0.05129736031875,0.16055937712499999,0,188.5,188.5,0,30.2654425880625
1,1,2,1,aswand,0.65,37,4.5,0,0,0,0,0,0,0,188.5,51.29736031875,0.05129736031875,0.16055937712499999,0,188.5,188.5,0,30.2654425880625
2,2,3,1,aswand,0.65,0,4.5,0,0,0,0,0,0,0,41.5,11.29358330625,0.011293583306249999,0.16055937712499999,0,41.5,41.5,0,6.6632141506875
3,3,4,1,aswand,0.65,0,4.5,0,0,0,0,0,0,0,4.5,1.22460541875,0.0012246054187499999,0.16055937712499999,0,4.5,4.5,0,0.7225171970625
4,4,5,1,aswand,0.65,0,4.5,0,0,0,0,0,0,0,4.5,1.22460541875,0.0012246054187499999,0.16055937712499999,0,4.5,4.5,0,0.7225171970625
5,5,6,1,aswand,0.65,0,4.5,0,0,0,0,0,0,0,4.5,1.22460541875,0.0012246054187499999,0.16055937712499999,0,4.5,4.5,0,0.7225171970625
6,6,7,1,aswand,0.65,0,4.5,0,0,0,0,0,0,0,4.5,1.22460541875,0.0012246054187499999,0.16055937712499999,0,4.5,4.5,0,0.7225171970625
7,7,8,1,aswand,0.65,0,4.5,0,0,0,0,0,0,0,4.5,1.22460541875,0.0012246054187499999,0.16055937712499999,0,4.5,4.5,0,0.7225171970625
8,8,9,1,aswand,0.65,0,4.5,0,0,0,0,0,0,0,4.5,1.22460541875,0.0012246054187499999,0.16055937712499999,0,4.5,4.5,0,0.7225171970625
9,9,10,1,aswand,0.65,0,4.5,0,0,0,0,0,0,0,4.5,1.22460541875,0.0012246054187499999,0.16055937712499999,0,4.5,4.5,0,0.7225171970625
10,10,11,1,aswand,0.65,0,160.5,0,0,0,0,0,0,0,160.5,43.67759326875,0.04367759326875,0.16055937712499999,0,160.5,160.5,0,25.7697800285625
11,11,12,1,aswand,0.65,0,41.10000000000001,0,0,0,0,0,0,0,41.10000000000001,11.184729491250001,0.011184729491250002,0.16055937712499999,0,41.10000000000001,41.10000000000001,0,6.598990399837501
12,12,13,1,aswand,0.65,0,6.3,0,0,0,0,0,0,0,6.3,1.71444758625,0.00171444758625,0.16055937712499999,0,6.3,6.3,0,1.0115240758875
13,13,14,1,aswand,0.65,0,44.90000000235599,0,0,0,0,0,0,0,44.90000000235599,12.218840734391145,0.012218840734391145,0.16055937712499999,0,44.90000000235599,44.90000000235599,0,7.209116033290775
14,14,15,1,aswand,0.65,0,69.3,0,0,0,0,0,0,0,69.3,18.858923448749998,0.01885892344875,0.16055937712499999,0,69.3,69.3,0,11.126764834762499
15,15,16,1,aswand,0.65,0,107.90000000235598,0,0,0,0,0,0,0,107.90000000235598,29.363316596891142,0.02936331659689114,0.16055937712499999,0,107.90000000235598,107.90000000235598,0,17.324356792165773
16,16,17,1,aswand,0.65,0,107.90000000235598,0,0,0,0,0,0,0,107.90000000235598,29.363316596891142,0.02936331659689114,0.16055937712499999,0,107.90000000235598,107.90000000235598,0,17.324356792165773
17,17,18,1,aswand,0.65,0,107.90000000235598,0,0,0,0,0,0,0,107.90000000235598,29.363316596891142,0.02936331659689114,0.16055937712499999,0,107.90000000235598,107.90000000235598,0,17.324356792165773
18,18,19,1,aswand,0.65,0,107.90000000235598,0,0,0,0,0,0,0,107.90000000235598,29.363316596891142,0.02936331659689114,0.16055937712499999,0,107.90000000235598,107.90000000235598,0,17.324356792165773
19,19,20,1,aswand,0.65,0,107.90000000235598,0,0,0,0,0,0,0,107.90000000235598,29.363316596891142,0.02936331659689114,0.16055937712499999,0,107.90000000235598,107.90000000235598,0,17.324356792165773
20,20,21,1,aswand,0.65,0,107.90000000235598,0,0,0,0,0,0,0,107.90000000235598,29.363316596891142,0.02936331659689114,0.16055937712499999,0,107.90000000235598,107.90000000235598,0,17.324356792165773
21,21,22,1,aswand,0.65,0,107.90000000235598,0,0,0,0,0,0,0,107.90000000235598,29.363316596891142,0.02936331659689114,0.16055937712499999,0,107.90000000235598,107.90000000235598,0,17.324356792165773
22,22,23,1,aswand,0.65,0,107.90000000235598,0,0,0,0,0,0,0,107.90000000235598,29.363316596891142,0.02936331659689114,0.16055937712499999,0,107.90000000235598,107.90000000235598,0,17.324356792165773
23,23,24,1,aswand,0.65,0,107.90000000235598,0,0,0,0,0,0,0,107.90000000235598,29.363316596891142,0.02936331659689114,0.16055937712499999,0,107.90000000235598,107.90000000235598,0,17.324356792165773
24,24,25,1,aswand,0.65,0,153.90000000235588,0,0,0,0,0,0,0,153.90000000235588,41.88150532189112,0.04188150532189112,0.16055937712499999,0,153.90000000235588,153.90000000235588,0,24.710088139915758
25,25,26,1,aswand,0.65,0,160.5,0,0,0,0,0,0,0,160.5,43.67759326875,0.04367759326875,0.16055937712499999,0,160.5,160.5,0,25.7697800285625
26,26,27,1,aswand,0.65,0,160.5,0,0,0,0,0,0,0,160.5,43.67759326875,0.04367759326875,0.16055937712499999,0,160.5,160.5,0,25.7697800285625
27,27,28,1,aswand,0.65,0,160.5,0,0,0,0,0,0,0,160.5,43.67759326875,0.04367759326875,0.16055937712499999,0,160.5,160.5,0,25.7697800285625
28,28,29,1,aswand,0.65,0,160.5,0,0,0,0,0,0,0,160.5,43.67759326875,0.04367759326875,0.16055937712499999,0,160.5,160.5,0,25.7697800285625
29,29,30,1,aswand,0.65,0,160.5,0,0,0,0,0,0,0,160.5,43.67759326875,0.04367759326875,0.16055937712499999,0,160.5,160.5,0,25.7697800285625
