period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,1,1,cairo,0.65,0,0,0,0,90,190.7124999965325,0,190.7124999965325,0,0,0,0,0,0,0,0,0,0
1,1,2,1,cairo,0.65,0,0,0,0,90,190.7124999965325,0,190.7124999965325,0,0,0,0,0,0,0,0,0,0
2,2,3,1,cairo,0.65,0,0,0,0,90,190.7124999965325,0,190.7124999965325,0,0,0,0,0,0,0,0,0,0
3,3,4,1,cairo,0.65,0,0,0,0,90,190.7124999965325,0,190.7124999965325,0,0,0,0,0,0,0,0,0,0
4,4,5,1,cairo,0.65,0,0,0,0,90,190.7124999965325,0,190.7124999965325,0,0,0,0,0,0,0,0,0,0
5,5,6,1,cairo,0.65,0,0,0,0,90,190.7124999965325,0,190.7124999965325,0,0,0,0,0,0,0,0,0,0
6,6,7,1,cairo,0.65,0,0,0,0,90,190.7124999965325,0,190.7124999965325,0,0,0,0,0,0,0,0,0,0
7,7,8,1,cairo,0.65,0,0,0,0,90,190.7124999965325,0,190.7124999965325,0,0,0,0,0,0,0,0,0,0
8,8,9,1,cairo,0.65,0,0,0,0,90,190.7124999965325,0,190.7124999965325,0,0,0,0,0,0,0,0,0,0
9,9,10,1,cairo,0.65,0,0,0,0,90,190.7124999965325,0,190.7124999965325,0,0,0,0,0,0,0,0,0,0
10,10,11,1,cairo,0.65,0,0,0,0,90,190.7124999965325,0,190.7124999965325,0,0,0,0,0,0,0,0,0,0
11,11,12,1,cairo,0.65,0,0,0,0,90,190.7124999965325,0,190.7124999965325,0,0,0,0,0,0,0,0,0,0
12,12,13,1,cairo,0.65,0,0,0,0,90,190.7124999965325,0,190.7124999965325,0,0,0,0,0,0,0,0,0,0
13,13,14,1,cairo,0.65,0,188.5,0,90,0,190.7124999965325,98.5,92.2124999965325,161.18181818474875,0,0,0,0,0,0,0,0,0
14,14,15,1,cairo,0.65,0,188.5,0,90,0,190.7124999965325,98.5,92.2124999965325,161.18181818474875,0,0,0,0,0,0,0,0,0
15,15,16,1,cairo,0.65,0,41.5,0,41.5,48.5,190.7124999965325,0,190.7124999965325,0,0,0,0,0,0,0,0,0,0
16,16,17,1,cairo,0.65,0,4.5,0,4.5,85.5,190.7124999965325,0,190.7124999965325,0,0,0,0,0,0,0,0,0,0
17,17,18,1,cairo,0.65,0,4.5,0,4.5,85.5,190.7124999965325,0,190.7124999965325,0,0,0,0,0,0,0,0,0,0
18,18,19,1,cairo,0.65,0,4.5,0,4.5,85.5,190.7124999965325,0,190.7124999965325,0,0,0,0,0,0,0,0,0,0
19,19,20,1,cairo,0.65,0,4.5,0,4.5,85.5,190.7124999965325,0,190.7124999965325,0,0,0,0,0,0,0,0,0,0
20,20,21,1,cairo,0.65,0,4.5,0,4.5,85.5,190.7124999965325,0,190.7124999965325,0,0,0,0,0,0,0,0,0,0
21,21,22,1,cairo,0.65,0,4.5,0,4.5,85.5,190.7124999965325,0,190.7124999965325,0,0,0,0,0,0,0,0,0,0
22,22,23,1,cairo,0.65,0,4.5,0,4.5,85.5,190.7124999965325,0,190.7124999965325,0,0,0,0,0,0,0,0,0,0
23,23,24,1,cairo,0.65,0,160.5,0,90,0,190.7124999965325,70.5,120.2124999965325,115.36363636573388,0,0,0,0,0,0,0,0,0
24,24,25,1,cairo,0.65,0,41.10000000000001,0,41.10000000000001,48.89999999999999,190.7124999965325,0,190.7124999965325,0,0,0,0,0,0,0,0,0,0
25,25,26,1,cairo,0.65,0,6.3,0,6.3,83.7,190.7124999965325,0,190.7124999965325,0,0,0,0,0,0,0,0,0,0
26,26,27,1,cairo,0.65,0,44.90000000235599,0,44.90000000235599,45.09999999764401,190.7124999965325,0,190.7124999965325,0,0,0,0,0,0,0,0,0,0
27,27,28,1,cairo,0.65,0,69.3,0,69.3,20.700000000000003,190.7124999965325,0,190.7124999965325,0,0,0,0,0,0,0,0,0,0
28,28,29,1,cairo,0.65,0,107.90000000235598,0,90,0,190.7124999965325,17.90000000235598,172.8124999941765,29.290909095296893,0,0,0,0,0,0,0,0,0
29,29,30,1,cairo,0.65,0,107.90000000235598,0,90,0,190.7124999965325,17.90000000235598,172.8124999941765,29.290909095296893,0,0,0,0,0,0,0,0,0
