period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,1,1,gerd,0.65,82,0,0,0,0,0,0,0,0,143,50.8352219375,0.0508352219375,0.24173392250000003,0,143,143,0,34.567950917500006
1,1,2,1,gerd,0.65,0,0,0,0,0,0,0,0,0,82,29.150267125,0.029150267125,0.24173392250000003,0,82,82,0,19.822181645
2,2,3,1,gerd,0.65,10,153,0,0,0,0,0,0,0,143,50.8352219375,0.0508352219375,0.24173392250000003,0,143,143,0,34.567950917500006
3,3,4,1,gerd,0.65,20,153,0,0,0,0,0,0,0,143,50.8352219375,0.0508352219375,0.24173392250000003,0,143,143,0,34.567950917500006
4,4,5,1,gerd,0.65,30,153,0,0,0,0,0,0,0,143,50.8352219375,0.0508352219375,0.24173392250000003,0,143,143,0,34.567950917500006
5,5,6,1,gerd,0.65,40,153,0,0,0,0,0,0,0,143,50.8352219375,0.0508352219375,0.24173392250000003,0,143,143,0,34.567950917500006
6,6,7,1,gerd,0.65,50,153,0,0,0,0,0,0,0,143,50.8352219375,0.0508352219375,0.24173392250000003,0,143,143,0,34.567950917500006
7,7,8,1,gerd,0.65,60,153,0,0,0,0,0,0,0,143,50.8352219375,0.0508352219375,0.24173392250000003,0,143,143,0,34.567950917500006
8,8,9,1,gerd,0.65,70,153,0,0,0,0,0,0,0,143,50.8352219375,0.0508352219375,0.24173392250000003,0,143,143,0,34.567950917500006
9,9,10,1,gerd,0.65,80,153,0,0,0,0,0,0,0,143,50.8352219375,0.0508352219375,0.24173392250000003,0,143,143,0,34.567950917500006
10,10,11,1,gerd,0.65,90,153,0,0,0,0,0,0,0,143,50.8352219375,0.0508352219375,0.24173392250000003,0,143,143,0,34.567950917500006
11,11,12,1,gerd,0.65,100,153,0,0,0,0,0,0,0,143,50.8352219375,0.0508352219375,0.24173392250000003,0,143,143,0,34.567950917500006
12,12,13,1,gerd,0.65,110,153,0,0,0,0,0,0,0,143,50.8352219375,0.0508352219375,0.24173392250000003,0,143,143,0,34.567950917500006
13,13,14,1,gerd,0.65,120,153,0,0,0,0,0,0,0,143,50.8352219375,0.0508352219375,0.24173392250000003,0,143,143,0,34.567950917500006
14,14,15,1,gerd,0.65,130,153,0,0,0,0,0,0,0,143,50.8352219375,0.0508352219375,0.24173392250000003,0,143,143,0,34.567950917500006
15,15,16,1,gerd,0.65,140,153,0,0,0,0,0,0,0,143,50.8352219375,0.0508352219375,0.24173392250000003,0,143,143,0,34.567950917500006
16,16,17,1,gerd,0.65,150,153,0,0,0,0,0,0,0,143,50.8352219375,0.0508352219375,0.24173392250000003,0,143,143,0,34.567950917500006
17,17,18,1,gerd,0.65,160,153,0,0,0,0,0,0,0,143,50.8352219375,0.0508352219375,0.24173392250000003,0,143,143,0,34.567950917500006
18,18,19,1,gerd,0.65,170,153,0,0,0,0,0,0,0,143,50.8352219375,0.0508352219375,0.24173392250000003,0,143,143,0,34.567950917500006
19,19,20,1,gerd,0.65,180,153,0,0,0,0,0,0,0,143,50.8352219375,0.0508352219375,0.24173392250000003,0,143,143,0,34.567950917500006
20,20,21,1,gerd,0.65,190,153,0,0,0,0,0,0,0,143,50.8352219375,0.0508352219375,0.24173392250000003,0,143,143,0,34.567950917500006
21,21,22,1,gerd,0.65,200,153,0,0,0,0,0,0,0,143,50.8352219375,0.0508352219375,0.24173392250000003,0,143,143,0,34.567950917500006
22,22,23,1,gerd,0.65,210,153,0,0,0,0,0,0,0,143,50.8352219375,0.0508352219375,0.24173392250000003,0,143,143,0,34.567950917500006
23,23,24,1,gerd,0.65,220,153,0,0,0,0,0,0,0,143,50.8352219375,0.0508352219375,0.24173392250000003,0,143,143,0,34.567950917500006
24,24,25,1,gerd,0.65,230,153,0,0,0,0,0,0,0,143,50.8352219375,0.0508352219375,0.24173392250000003,0,143,143,0,34.567950917500006
25,25,26,1,gerd,0.65,240,153,0,0,0,0,0,0,0,143,50.8352219375,0.0508352219375,0.24173392250000003,0,143,143,0,34.567950917500006
26,26,27,1,gerd,0.65,250,153,0,0,0,0,0,0,0,143,50.8352219375,0.0508352219375,0.24173392250000003,0,143,143,0,34.567950917500006
27,27,28,1,gerd,0.65,260,153,0,0,0,0,0,0,0,143,50.8352219375,0.0508352219375,0.24173392250000003,0,143,143,0,34.567950917500006
28,28,29,1,gerd,0.65,270,153,0,0,0,0,0,0,0,143,50.8352219375,0.0508352219375,0.24173392250000003,0,143,143,0,34.567950917500006
29,29,30,1,gerd,0.65,280,153,0,0,0,0,0,0,0,143,50.8352219375,0.0508352219375,0.24173392250000003,0,143,143,0,34.567950917500006
