period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,1,1,roseires,0.65,26.700000000000003,7.2,0,0,0,0,0,0,0,97.5,16.254522375,0.016254522375,0.0516810455,0,97.5,97.5,0,5.03890193625
1,1,2,1,roseires,0.65,0,7.2,0,0,0,0,0,0,0,33.900000000000006,5.651572395000001,0.005651572395000001,0.0516810455,0,33.900000000000006,33.900000000000006,0,1.7519874424500004
2,2,3,1,roseires,0.65,52.69999999999999,150.2,0,0,0,0,0,0,0,97.5,16.254522375,0.016254522375,0.0516810455,0,97.5,97.5,0,5.03890193625
3,3,4,1,roseires,0.65,44.39999999999998,89.2,0,0,0,0,0,0,0,97.5,16.254522375,0.016254522375,0.0516810455,0,97.5,97.5,0,5.03890193625
4,4,5,1,roseires,0.65,97.09999999999997,150.2,0,0,0,0,0,0,0,97.5,16.254522375,0.016254522375,0.0516810455,0,97.5,97.5,0,5.03890193625
5,5,6,1,roseires,0.65,149.79999999999995,150.2,0,0,0,0,0,0,0,97.5,16.254522375,0.016254522375,0.0516810455,0,97.5,97.5,0,5.03890193625
6,6,7,1,roseires,0.65,202.49999999999994,150.2,0,0,0,0,0,0,0,97.5,16.254522375,0.016254522375,0.0516810455,0,97.5,97.5,0,5.03890193625
7,7,8,1,roseires,0.65,255.19999999999993,150.2,0,0,0,0,0,0,0,97.5,16.254522375,0.016254522375,0.0516810455,0,97.5,97.5,0,5.03890193625
8,8,9,1,roseires,0.65,307.8999999999999,150.2,0,0,0,0,0,0,0,97.5,16.254522375,0.016254522375,0.0516810455,0,97.5,97.5,0,5.03890193625
9,9,10,1,roseires,0.65,360.5999999999999,150.2,0,0,0,0,0,0,0,97.5,16.254522375,0.016254522375,0.0516810455,0,97.5,97.5,0,5.03890193625
10,10,11,1,roseires,0.65,413.2999999999999,150.2,0,0,0,0,0,0,0,97.5,16.254522375,0.016254522375,0.0516810455,0,97.5,97.5,0,5.03890193625
11,11,12,1,roseires,0.65,420,150.2,0,0,0,0,0,0,0,97.5,16.254522375,0.016254522375,0.0516810455,45.999999999999886,143.4999999999999,143.4999999999999,0,5.03890193625
12,12,13,1,roseires,0.65,420,150.2,0,0,0,0,0,0,0,97.5,16.254522375,0.016254522375,0.0516810455,52.700000000000045,150.20000000000005,150.20000000000005,0,5.03890193625
13,13,14,1,roseires,0.65,420,150.2,0,0,0,0,0,0,0,97.5,16.254522375,0.016254522375,0.0516810455,52.700000000000045,150.20000000000005,150.20000000000005,0,5.03890193625
14,14,15,1,roseires,0.65,420,150.2,0,0,0,0,0,0,0,97.5,16.254522375,0.016254522375,0.0516810455,52.700000000000045,150.20000000000005,150.20000000000005,0,5.03890193625
15,15,16,1,roseires,0.65,420,150.2,0,0,0,0,0,0,0,97.5,16.254522375,0.016254522375,0.0516810455,52.700000000000045,150.20000000000005,150.20000000000005,0,5.03890193625
16,16,17,1,roseires,0.65,420,150.2,0,0,0,0,0,0,0,97.5,16.254522375,0.016254522375,0.0516810455,52.700000000000045,150.20000000000005,150.20000000000005,0,5.03890193625
17,17,18,1,roseires,0.65,420,150.2,0,0,0,0,0,0,0,97.5,16.254522375,0.016254522375,0.0516810455,52.700000000000045,150.20000000000005,150.20000000000005,0,5.03890193625
