period_index,start_day,end_day_exclusive,duration_days,total_inflow,total_evaporation,total_drink_water_met,total_unmet_drink_water,total_food_water_demand,total_food_water_met,total_unmet_food_water,total_food_produced,total_production_release,total_generated_electricity_kwh,total_generated_electricity_mwh,total_spill,total_release_for_routing,total_downstream_release,total_routing_loss,total_energy_value
0,0,1,1,396,43.2,10.8,104.2,268.61249999436654,0,268.61249999436654,0,913.5,144.01188108125,0.14401188108125001,0,913.5,913.5,0,79.6097104928125
1,1,2,1,459,43.2,10.8,104.2,268.61249999436654,0,268.61249999436654,0,732.5,92.11116662125,0.09211116662125,0,732.5,732.5,0,54.1241590528625
2,2,3,1,915.5,43.2,10.8,104.2,268.61249999436654,58.89999999764401,209.7124999967225,70.68,776.9000000023559,78.67899811625,0.07867899811625,0,776.9000000023559,776.9000000023559,0,46.38242179348751
3,3,4,1,829.500000002356,43.2,10.8,104.2,268.61249999436654,33.900000000000006,234.7124999943665,40.68000000162721,739.900000002356,74.950509786637,0.074950509786637,0,739.900000002356,739.900000002356,0,42.85111087185957
4,4,5,1,978.5,43.2,10.8,104.2,268.61249999436654,58.89999999764401,209.7124999967225,70.68,802.9000000023559,78.95848764125,0.07895848764125,0,802.9000000023559,802.9000000023559,0,44.3741424566125
5,5,6,1,1017.1000000023561,43.2,10.8,104.2,268.61249999436654,58.89999999764401,209.7124999967225,70.68,841.500000004712,85.298977199137,0.085298977199137,0,841.500000004712,841.500000004712,0,46.78352848860956
6,6,7,1,1017.1000000023561,43.2,10.8,104.2,268.61249999436654,58.89999999764401,209.7124999967225,70.68,841.500000004712,85.298977199137,0.085298977199137,0,841.500000004712,841.500000004712,0,46.78352848860956
7,7,8,1,1017.1000000023561,43.2,10.8,104.2,268.61249999436654,58.89999999764401,209.7124999967225,70.68,841.500000004712,85.298977199137,0.085298977199137,0,841.500000004712,841.500000004712,0,46.78352848860956
8,8,9,1,1017.1000000023561,43.2,10.8,104.2,268.61249999436654,58.89999999764401,209.7124999967225,70.68,841.500000004712,85.298977199137,0.085298977199137,0,841.500000004712,841.500000004712,0,46.78352848860956
9,9,10,1,1017.1000000023561,43.2,10.8,104.2,268.61249999436654,58.89999999764401,209.7124999967225,70.68,841.500000004712,85.298977199137,0.085298977199137,0,841.500000004712,841.500000004712,0,46.78352848860956
10,10,11,1,1173.100000002356,43.2,10.8,104.2,268.61249999436654,58.89999999764401,209.7124999967225,70.68,997.500000004712,127.751965049137,0.127751965049137,0,997.500000004712,997.500000004712,0,71.83079132010957
11,11,12,1,1053.700000002356,43.2,10.8,104.2,268.61249999436654,58.89999999764401,209.7124999967225,70.68,878.100000004712,95.259101271637,0.09525910127163699,45.999999999999886,924.1000000047119,924.1000000047119,0,52.660001691384565
12,12,13,1,1018.900000002356,43.2,10.8,104.2,268.61249999436654,58.89999999764401,209.7124999967225,70.68,843.3000000047119,85.788819366637,0.085788819366637,52.700000000000045,896.000000004712,896.000000004712,0,47.07253536743456
13,13,14,1,1292.0000000047119,43.2,100.8,14.2,268.61249999436654,157.39999999764402,111.2124999967225,231.86181818474876,927.9000000070679,96.29321251477815,0.09629321251477815,52.700000000000045,980.6000000070679,980.6000000070679,0,53.27012732483784
14,14,15,1,1369.100000002356,43.2,100.8,14.2,268.61249999436654,157.39999999764402,111.2124999967225,231.86181818474876,1005.0000000047119,110.48931905413698,0.11048931905413699,52.700000000000045,1057.700000004712,1057.700000004712,0,60.05906517980956
15,15,16,1,1267.400000004712,43.2,52.3,62.7,268.61249999436654,58.89999999764401,209.7124999967225,70.68,1050.200000004712,122.07783735939114,0.12207783735939114,52.700000000000045,1102.900000004712,1102.900000004712,0,66.66862469691577
16,16,17,1,1230.400000004712,43.2,15.3,99.7,268.61249999436654,58.89999999764401,209.7124999967225,70.68,1050.200000004712,122.07783735939114,0.12207783735939114,52.700000000000045,1102.900000004712,1102.900000004712,0,66.66862469691577
17,17,18,1,1230.400000004712,43.2,15.3,99.7,268.61249999436654,58.89999999764401,209.7124999967225,70.68,1050.200000004712,122.07783735939114,0.12207783735939114,52.700000000000045,1102.900000004712,1102.900000004712,0,66.66862469691577
18,18,19,1,1342.900000004712,69,15.3,99.7,268.61249999436654,58.89999999764401,209.7124999967225,70.68,1136.900000004712,122.07783735939114,0.12207783735939114,52.700000000000045,1189.600000004712,1189.600000004712,0,66.66862469691577
19,19,20,1,1342.900000004712,69,15.3,99.7,268.61249999436654,58.89999999764401,209.7124999967225,70.68,1136.900000004712,122.07783735939114,0.12207783735939114,52.700000000000045,1189.600000004712,1189.600000004712,0,66.66862469691577
20,20,21,1,1342.900000004712,69,15.3,99.7,268.61249999436654,58.89999999764401,209.7124999967225,70.68,1136.900000004712,122.07783735939114,0.12207783735939114,52.700000000000045,1189.600000004712,1189.600000004712,0,66.66862469691577
21,21,22,1,1342.900000004712,69,15.3,99.7,268.61249999436654,58.89999999764401,209.7124999967225,70.68,1136.900000004712,122.07783735939114,0.12207783735939114,52.700000000000045,1189.600000004712,1189.600000004712,0,66.66862469691577
