period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,aswand,0.9499999999999995,0,3362.000000042161,0,0,0,0,0,0,0,4262.000000042162,1159.8373988364735,1.1598373988364736,0.20069922140625,0,4262.000000042162,4262.000000042162,0,855.3800816418988
1,30,60,30,aswand,0.9499999999999995,0,6310.0000000421605,0,0,0,0,0,0,0,6310.0000000421605,1717.1689316364739,1.7171689316364738,0.20069922140625,0,6310.0000000421605,6310.0000000421605,0,1266.412087081899
2,60,90,30,aswand,0.9499999999999995,0,7990.000000098042,0,0,0,0,0,0,0,7990.000000098042,2174.354954651681,2.174354954651681,0.20069922140625,0,7990.000000098042,7990.000000098042,0,1603.5867790556133
3,90,120,30,aswand,0.9499999999999995,0,8190.000000068402,0,0,0,0,0,0,0,8190.000000068402,2228.781862143615,2.228781862143615,0.20069922140625,0,8190.000000068402,8190.000000068402,0,1643.7266233309144
4,120,150,30,aswand,0.9499999999999995,0,8190.000000068402,0,0,0,0,0,0,0,8190.000000068402,2228.781862143615,2.228781862143615,0.20069922140625,0,8190.000000068402,8190.000000068402,0,1643.7266233309144
5,150,180,30,aswand,0.9499999999999995,0,8190.000000068402,0,0,0,0,0,0,0,8190.000000068402,2228.781862143615,2.228781862143615,0.20069922140625,0,8190.000000068402,8190.000000068402,0,1643.7266233309144
6,180,210,30,aswand,0.9499999999999995,0,8190.000000068402,0,0,0,0,0,0,0,8190.000000068402,2228.781862143615,2.228781862143615,0.20069922140625,0,8190.000000068402,8190.000000068402,0,1643.7266233309144
7,210,240,30,aswand,0.9499999999999995,0,8190.000000068402,0,0,0,0,0,0,0,8190.000000068402,2228.781862143615,2.228781862143615,0.20069922140625,0,8190.000000068402,8190.000000068402,0,1643.7266233309144
8,240,270,30,aswand,0.9499999999999995,0,8190.000000068402,0,0,0,0,0,0,0,8190.000000068402,2228.781862143615,2.228781862143615,0.20069922140625,0,8190.000000068402,8190.000000068402,0,1643.7266233309144
9,270,300,30,aswand,0.9499999999999995,0,8190.000000068402,0,0,0,0,0,0,0,8190.000000068402,2228.781862143615,2.228781862143615,0.20069922140625,0,8190.000000068402,8190.000000068402,0,1643.7266233309144
10,300,330,30,aswand,0.9499999999999995,0,8190.000000068402,0,0,0,0,0,0,0,8190.000000068402,2228.781862143615,2.228781862143615,0.20069922140625,0,8190.000000068402,8190.000000068402,0,1643.7266233309144
11,330,360,30,aswand,0.9499999999999995,0,8190.000000068402,0,0,0,0,0,0,0,8190.000000068402,2228.781862143615,2.228781862143615,0.20069922140625,0,8190.000000068402,8190.000000068402,0,1643.7266233309144
12,360,365,5,aswand,0.95,0,1365.0000000114,0,0,0,0,0,0,0,1365.0000000114,371.4636436906023,0.3714636436906023,0.20069922140625002,0,1365.0000000114,1365.0000000114,0,273.9544372218192
