period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,cairo,0.9499999999999995,0,1942.0000000099199,0,934.50000000248,1765.49999999752,6022.499999890503,1007.5000000074399,5014.999999883063,1648.6363636785134,-0.000000000000014210854715202004,0,0,0,0,-0.000000000000014210854715202004,0,0,0
1,30,60,30,cairo,0.9499999999999995,0,5601.000000074403,0,2700,0,6022.499999890503,2901.000000074401,3121.4999998161006,4747.090909298965,0,0,0,0,0,0,0,0,0
2,60,90,30,cairo,0.9499999999999995,0,7470.000000068401,0,2700,0,6022.499999890503,4770.000000068401,1252.4999998221012,7805.45454570839,0,0,0,0,0,0,0,0,0
3,90,120,30,cairo,0.9499999999999995,0,8190.000000068402,0,2700,0,6022.499999890503,5490.000000068402,532.4999998221012,8983.636363911628,0,0,0,0,0,0,0,0,0
4,120,150,30,cairo,0.9499999999999995,0,8190.000000068402,0,2700,0,6022.499999890503,5490.000000068402,532.4999998221012,8983.636363911628,0,0,0,0,0,0,0,0,0
5,150,180,30,cairo,0.9499999999999995,0,8190.000000068402,0,2700,0,6022.499999890503,5490.000000068402,532.4999998221012,8983.636363911628,0,0,0,0,0,0,0,0,0
6,180,210,30,cairo,0.9499999999999995,0,8190.000000068402,0,2700,0,6022.499999890503,5490.000000068402,532.4999998221012,8983.636363911628,0,0,0,0,0,0,0,0,0
7,210,240,30,cairo,0.9499999999999995,0,8190.000000068402,0,2700,0,6022.499999890503,5490.000000068402,532.4999998221012,8983.636363911628,0,0,0,0,0,0,0,0,0
8,240,270,30,cairo,0.9499999999999995,0,8190.000000068402,0,2700,0,6022.499999890503,5490.000000068402,532.4999998221012,8983.636363911628,0,0,0,0,0,0,0,0,0
9,270,300,30,cairo,0.9499999999999995,0,8190.000000068402,0,2700,0,6022.499999890503,5490.000000068402,532.4999998221012,8983.636363911628,0,0,0,0,0,0,0,0,0
10,300,330,30,cairo,0.9499999999999995,0,8190.000000068402,0,2700,0,6022.499999890503,5490.000000068402,532.4999998221012,8983.636363911628,0,0,0,0,0,0,0,0,0
11,330,360,30,cairo,0.9499999999999995,0,8190.000000068402,0,2700,0,6022.499999890503,5490.000000068402,532.4999998221012,8983.636363911628,0,0,0,0,0,0,0,0,0
12,360,365,5,cairo,0.95,0,1365.0000000114,0,450,0,1003.7499999817501,915.0000000114,88.74999997035019,1497.2727273186047,0,0,0,0,0,0,0,0,0
