period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,merowe,0.9499999999999995,0,4672.0000000669625,0,0,0,0,0,0,0,5092.0000000669625,836.4189851609992,0.8364189851609992,0.07802415906249997,0,5092.0000000669625,5092.0000000669625,0,397.29901795147435
1,30,60,30,merowe,0.9499999999999995,720,7480.000000069802,0,0,0,0,0,0,0,6560.00000001736,1077.554702002852,1.077554702002852,0.07802415906249997,200.00000005243976,6760.0000000698,6760.000000069801,0,511.8384834513541
2,60,90,30,merowe,0.9499999999999995,720,8040.000000068402,0,0,0,0,0,0,0,6840,1123.5478905000007,1.1235478905000007,0.07802415906249997,1200.0000000684,8040.0000000683995,8040.000000068402,0,533.6852479874996
3,90,120,30,merowe,0.9499999999999995,720,8040.000000068402,0,0,0,0,0,0,0,6840,1123.5478905000007,1.1235478905000007,0.07802415906249997,1200.0000000684,8040.0000000683995,8040.000000068402,0,533.6852479874996
4,120,150,30,merowe,0.9499999999999995,720,8040.000000068402,0,0,0,0,0,0,0,6840,1123.5478905000007,1.1235478905000007,0.07802415906249997,1200.0000000684,8040.0000000683995,8040.000000068402,0,533.6852479874996
5,150,180,30,merowe,0.9499999999999995,720,8040.000000068402,0,0,0,0,0,0,0,6840,1123.5478905000007,1.1235478905000007,0.07802415906249997,1200.0000000684,8040.0000000683995,8040.000000068402,0,533.6852479874996
6,180,210,30,merowe,0.9499999999999995,720,8040.000000068402,0,0,0,0,0,0,0,6840,1123.5478905000007,1.1235478905000007,0.07802415906249997,1200.0000000684,8040.0000000683995,8040.000000068402,0,533.6852479874996
7,210,240,30,merowe,0.9499999999999995,720,8040.000000068402,0,0,0,0,0,0,0,6840,1123.5478905000007,1.1235478905000007,0.07802415906249997,1200.0000000684,8040.0000000683995,8040.000000068402,0,533.6852479874996
8,240,270,30,merowe,0.9499999999999995,720,8040.000000068402,0,0,0,0,0,0,0,6840,1123.5478905000007,1.1235478905000007,0.07802415906249997,1200.0000000684,8040.0000000683995,8040.000000068402,0,533.6852479874996
9,270,300,30,merowe,0.9499999999999995,720,8040.000000068402,0,0,0,0,0,0,0,6840,1123.5478905000007,1.1235478905000007,0.07802415906249997,1200.0000000684,8040.0000000683995,8040.000000068402,0,533.6852479874996
10,300,330,30,merowe,0.9499999999999995,720,8040.000000068402,0,0,0,0,0,0,0,6840,1123.5478905000007,1.1235478905000007,0.07802415906249997,1200.0000000684,8040.0000000683995,8040.000000068402,0,533.6852479874996
11,330,360,30,merowe,0.9499999999999995,720,8040.000000068402,0,0,0,0,0,0,0,6840,1123.5478905000007,1.1235478905000007,0.07802415906249997,1200.0000000684,8040.0000000683995,8040.000000068402,0,533.6852479874996
12,360,365,5,merowe,0.95,720,1340.0000000114,0,0,0,0,0,0,0,1140,187.25798174999997,0.18725798174999997,0.07802415906249999,200.00000001139995,1340.0000000114,1340.0000000114,0,88.94754133124998
