period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,singa,0.9499999999999995,0,4644,0,0,0,1859.9999999256008,1735.9999999305608,123.99999999504001,2083.200000000001,2908.000000069441,0,0,0,0,2908.000000069441,2908.000000069441,0,0
1,30,60,30,singa,0.9499999999999995,0,5340,0,0,0,1859.9999999256008,1859.9999999256008,0,2232.0000000000014,3480.000000074402,0,0,0,0,3480.000000074402,3480.000000074402,0,0
2,60,90,30,singa,0.9499999999999995,0,5340,0,0,0,1859.9999999256008,1859.9999999256008,0,2232.0000000000014,3480.000000074402,0,0,0,0,3480.000000074402,3480.000000074402,0,0
3,90,120,30,singa,0.9499999999999995,0,5340,0,0,0,1859.9999999256008,1859.9999999256008,0,2232.0000000000014,3480.000000074402,0,0,0,0,3480.000000074402,3480.000000074402,0,0
4,120,150,30,singa,0.9499999999999995,0,5340,0,0,0,1859.9999999256008,1859.9999999256008,0,2232.0000000000014,3480.000000074402,0,0,0,0,3480.000000074402,3480.000000074402,0,0
5,150,180,30,singa,0.9499999999999995,0,5340,0,0,0,1859.9999999256008,1859.9999999256008,0,2232.0000000000014,3480.000000074402,0,0,0,0,3480.000000074402,3480.000000074402,0,0
6,180,210,30,singa,0.9499999999999995,0,5340,0,0,0,1859.9999999256008,1859.9999999256008,0,2232.0000000000014,3480.000000074402,0,0,0,0,3480.000000074402,3480.000000074402,0,0
7,210,240,30,singa,0.9499999999999995,0,5340,0,0,0,1859.9999999256008,1859.9999999256008,0,2232.0000000000014,3480.000000074402,0,0,0,0,3480.000000074402,3480.000000074402,0,0
8,240,270,30,singa,0.9499999999999995,0,5340,0,0,0,1859.9999999256008,1859.9999999256008,0,2232.0000000000014,3480.000000074402,0,0,0,0,3480.000000074402,3480.000000074402,0,0
9,270,300,30,singa,0.9499999999999995,0,5340,0,0,0,1859.9999999256008,1859.9999999256008,0,2232.0000000000014,3480.000000074402,0,0,0,0,3480.000000074402,3480.000000074402,0,0
10,300,330,30,singa,0.9499999999999995,0,5340,0,0,0,1859.9999999256008,1859.9999999256008,0,2232.0000000000014,3480.000000074402,0,0,0,0,3480.000000074402,3480.000000074402,0,0
11,330,360,30,singa,0.9499999999999995,0,5340,0,0,0,1859.9999999256008,1859.9999999256008,0,2232.0000000000014,3480.000000074402,0,0,0,0,3480.000000074402,3480.000000074402,0,0
12,360,365,5,singa,0.95,0,890,0,0,0,309.99999998760006,309.99999998760006,0,372,580.0000000123999,0,0,0,0,580.0000000123999,580.0000000123999,0,0
