period_index,start_day,end_day_exclusive,duration_days,total_inflow,total_evaporation,total_drink_water_met,total_unmet_drink_water,total_food_water_demand,total_food_water_met,total_unmet_food_water,total_food_produced,total_production_release,total_generated_electricity_kwh,total_generated_electricity_mwh,total_spill,total_release_for_routing,total_downstream_release,total_routing_loss,total_energy_value
0,0,30,30,42780.00000011904,1584,1294.50000000248,2155.49999999752,8482.499999822103,2743.4999999380007,5738.999999884102,3731.8363636785143,38084.00000017857,4577.337244047472,4.577337244047472,734,38818.00000017857,38818.00000017857,0,3117.668815159624
1,30,60,30,59148.00000018637,1800,3437,13,8482.499999822103,5341.000000005802,3141.4999998163007,7617.090909298966,46585.000000128115,5320.426341139325,5.320426341139325,1265.0000000524396,47850.00000018056,47850.00000018056,0,3595.4749133613786
2,60,90,30,63370.000000234846,1800,3450,0,8482.499999822103,7230.000000000002,1252.4999998221012,10697.454545708391,48625.000000166445,5823.605552651681,5.8236055526516814,2265.0000000684,50890.000000234846,50890.000000234846,0,3954.496369871239
3,90,120,30,64290.000000205204,1800,3450,0,8482.499999822103,7950.000000000003,532.4999998221012,11875.63636391163,48825.0000001368,5878.032460143615,5.878032460143615,2265.0000000684,51090.000000205204,51090.000000205204,0,3994.6362141465397
4,120,150,30,64290.000000205204,1800,3450,0,8482.499999822103,7950.000000000003,532.4999998221012,11875.63636391163,48825.0000001368,5878.032460143615,5.878032460143615,2265.0000000684,51090.000000205204,51090.000000205204,0,3994.6362141465397
5,150,180,30,64290.000000205204,1800,3450,0,8482.499999822103,7950.000000000003,532.4999998221012,11875.63636391163,48825.0000001368,5878.032460143615,5.878032460143615,2265.0000000684,51090.000000205204,51090.000000205204,0,3994.6362141465397
6,180,210,30,64290.000000205204,1800,3450,0,8482.499999822103,7950.000000000003,532.4999998221012,11875.63636391163,48825.0000001368,5878.032460143615,5.878032460143615,2265.0000000684,51090.000000205204,51090.000000205204,0,3994.6362141465397
7,210,240,30,64290.000000205204,1800,3450,0,8482.499999822103,7950.000000000003,532.4999998221012,11875.63636391163,48825.0000001368,5878.032460143615,5.878032460143615,2265.0000000684,51090.000000205204,51090.000000205204,0,3994.6362141465397
8,240,270,30,64290.000000205204,1800,3450,0,8482.499999822103,7950.000000000003,532.4999998221012,11875.63636391163,48825.0000001368,5878.032460143615,5.878032460143615,2265.0000000684,51090.000000205204,51090.000000205204,0,3994.6362141465397
9,270,300,30,64290.000000205204,1800,3450,0,8482.499999822103,7950.000000000003,532.4999998221012,11875.63636391163,48825.0000001368,5878.032460143615,5.878032460143615,2265.0000000684,51090.000000205204,51090.000000205204,0,3994.6362141465397
10,300,330,30,64290.000000205204,1800,3450,0,8482.499999822103,7950.000000000003,532.4999998221012,11875.63636391163,48825.0000001368,5878.032460143615,5.878032460143615,2265.0000000684,51090.000000205204,51090.000000205204,0,3994.6362141465397
11,330,360,30,64290.000000205204,1800,3450,0,8482.499999822103,7950.000000000003,532.4999998221012,11875.63636391163,48825.0000001368,5878.032460143615,5.878032460143615,2265.0000000684,51090.000000205204,51090.000000205204,0,3994.6362141465397
12,360,365,5,10715.000000034199,300,575,0,1413.74999997035,1325,88.74999997035019,1979.2727273186047,8137.500000022799,979.6720766906024,0.9796720766906023,377.50000001139995,8515.000000034199,8515.000000034199,0,665.7727023577567
