period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,aswand,1,0,3544.8000000421616,0,0,0,0,0,0,0,4444.800000042162,1209.583592291473,1.209583592291473,0.16055937712499987,0,4444.800000042162,4444.800000042162,0,713.6543194519688
1,30,60,30,aswand,1,0,6686.0000000421605,0,0,0,0,0,0,0,6686.0000000421605,1819.4915177364735,1.8194915177364734,0.16055937712499987,0,6686.0000000421605,6686.0000000421605,0,1073.4999954645189
2,60,90,30,aswand,1,126.0000000638397,8755.250000098042,0,0,0,0,0,0,0,8629.2500000342,2348.3169577311814,2.3483169577311815,0.16055937712499987,0,8629.2500000342,8629.2500000342,0,1385.5070050613976
3,90,120,30,aswand,1,261.0000001322394,8835.0000000684,0,0,0,0,0,0,0,8700,2367.570476249999,2.367570476249999,0.16055937712499987,0,8700,8700,0,1396.8665809875004
4,120,150,30,aswand,1,396.0000002006391,8835.0000000684,0,0,0,0,0,0,0,8700,2367.570476249999,2.367570476249999,0.16055937712499987,0,8700,8700,0,1396.8665809875004
5,150,180,30,aswand,1,531.0000002690388,8835.0000000684,0,0,0,0,0,0,0,8700,2367.570476249999,2.367570476249999,0.16055937712499987,0,8700,8700,0,1396.8665809875004
6,180,210,30,aswand,1,666.0000003374385,8835.0000000684,0,0,0,0,0,0,0,8700,2367.570476249999,2.367570476249999,0.16055937712499987,0,8700,8700,0,1396.8665809875004
7,210,240,30,aswand,1,801.0000004058397,8835.0000000684,0,0,0,0,0,0,0,8700,2367.570476249999,2.367570476249999,0.16055937712499987,0,8700,8700,0,1396.8665809875004
8,240,270,30,aswand,1,936.0000004742428,8835.0000000684,0,0,0,0,0,0,0,8700,2367.570476249999,2.367570476249999,0.16055937712499987,0,8700,8700,0,1396.8665809875004
9,270,300,30,aswand,1,1071.000000542646,8835.0000000684,0,0,0,0,0,0,0,8700,2367.570476249999,2.367570476249999,0.16055937712499987,0,8700,8700,0,1396.8665809875004
10,300,330,30,aswand,1,1206.000000611049,8835.0000000684,0,0,0,0,0,0,0,8700,2367.570476249999,2.367570476249999,0.16055937712499987,0,8700,8700,0,1396.8665809875004
11,330,360,30,aswand,1,1341.0000006794521,8835.0000000684,0,0,0,0,0,0,0,8700,2367.570476249999,2.367570476249999,0.16055937712499987,0,8700,8700,0,1396.8665809875004
12,360,365,5,aswand,1,1363.5000006908526,1472.5000000114,0,0,0,0,0,0,0,1450,394.595079375,0.394595079375,0.16055937712499999,0,1450,1450,0,232.81109683124998
