period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,cairo,1,0,1973.2500000099199,0,916.0499999999998,1837.9499999999994,6022.499999890503,1057.20000000992,4965.299999880581,1729.9636364113226,0,0,0,0,0,0,0,0,0
1,30,60,30,cairo,1,0,5969.300000074403,0,2754.0000000000005,0,6022.499999890503,3215.3000000744,2807.199999816102,5261.400000217408,0,0,0,0,0,0,0,0,0
2,60,90,30,cairo,1,0,8047.5000000342,0,2754.0000000000005,0,6022.499999890503,5293.500000034198,728.9999998563013,8662.090909304365,0,0,0,0,0,0,0,0,0
3,90,120,30,cairo,1,0,8700,0,2754.0000000000005,0,6022.499999890503,5945.999999999997,76.49999989050116,9729.818181995086,0,0,0,0,0,0,0,0,0
4,120,150,30,cairo,1,0,8700,0,2754.0000000000005,0,6022.499999890503,5945.999999999997,76.49999989050116,9729.818181995086,0,0,0,0,0,0,0,0,0
5,150,180,30,cairo,1,0,8700,0,2754.0000000000005,0,6022.499999890503,5945.999999999997,76.49999989050116,9729.818181995086,0,0,0,0,0,0,0,0,0
6,180,210,30,cairo,1,0,8700,0,2754.0000000000005,0,6022.499999890503,5945.999999999997,76.49999989050116,9729.818181995086,0,0,0,0,0,0,0,0,0
7,210,240,30,cairo,1,0,8700,0,2754.0000000000005,0,6022.499999890503,5945.999999999997,76.49999989050116,9729.818181995086,0,0,0,0,0,0,0,0,0
8,240,270,30,cairo,1,0,8700,0,2754.0000000000005,0,6022.499999890503,5945.999999999997,76.49999989050116,9729.818181995086,0,0,0,0,0,0,0,0,0
9,270,300,30,cairo,1,0,8700,0,2754.0000000000005,0,6022.499999890503,5945.999999999997,76.49999989050116,9729.818181995086,0,0,0,0,0,0,0,0,0
10,300,330,30,cairo,1,0,8700,0,2754.0000000000005,0,6022.499999890503,5945.999999999997,76.49999989050116,9729.818181995086,0,0,0,0,0,0,0,0,0
11,330,360,30,cairo,1,0,8700,0,2754.0000000000005,0,6022.499999890503,5945.999999999997,76.49999989050116,9729.818181995086,0,0,0,0,0,0,0,0,0
12,360,365,5,cairo,1,0,1450,0,459,0,1003.7499999817501,991,12.749999981750193,1621.6363636658477,0,0,0,0,0,0,0,0,0
