period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,gerd,1,0,4998,0,0,0,0,0,0,0,5498,1954.4898616249998,1.9544898616249997,0.24173392249999995,0,5498,5498,0,1329.0531059050006
1,30,60,30,gerd,1,0,5355,0,0,0,0,0,0,0,5355,1903.6546396874999,1.9036546396874998,0.24173392249999995,0,5355,5355,0,1294.4851549875004
2,60,90,30,gerd,1,0,5355,0,0,0,0,0,0,0,5355,1903.6546396874999,1.9036546396874998,0.24173392249999995,0,5355,5355,0,1294.4851549875004
3,90,120,30,gerd,1,0,5355,0,0,0,0,0,0,0,5355,1903.6546396874999,1.9036546396874998,0.24173392249999995,0,5355,5355,0,1294.4851549875004
4,120,150,30,gerd,1,0,5355,0,0,0,0,0,0,0,5355,1903.6546396874999,1.9036546396874998,0.24173392249999995,0,5355,5355,0,1294.4851549875004
5,150,180,30,gerd,1,0,5355,0,0,0,0,0,0,0,5355,1903.6546396874999,1.9036546396874998,0.24173392249999995,0,5355,5355,0,1294.4851549875004
6,180,210,30,gerd,1,0,5355,0,0,0,0,0,0,0,5355,1903.6546396874999,1.9036546396874998,0.24173392249999995,0,5355,5355,0,1294.4851549875004
7,210,240,30,gerd,1,0,5355,0,0,0,0,0,0,0,5355,1903.6546396874999,1.9036546396874998,0.24173392249999995,0,5355,5355,0,1294.4851549875004
8,240,270,30,gerd,1,0,5355,0,0,0,0,0,0,0,5355,1903.6546396874999,1.9036546396874998,0.24173392249999995,0,5355,5355,0,1294.4851549875004
9,270,300,30,gerd,1,0,5355,0,0,0,0,0,0,0,5355,1903.6546396874999,1.9036546396874998,0.24173392249999995,0,5355,5355,0,1294.4851549875004
10,300,330,30,gerd,1,0,5355,0,0,0,0,0,0,0,5355,1903.6546396874999,1.9036546396874998,0.24173392249999995,0,5355,5355,0,1294.4851549875004
11,330,360,30,gerd,1,0,5355,0,0,0,0,0,0,0,5355,1903.6546396874999,1.9036546396874998,0.24173392249999995,0,5355,5355,0,1294.4851549875004
12,360,365,5,gerd,1,0,892.5,0,0,0,0,0,0,0,892.5,317.27577328125,0.31727577328125,0.2417339225,0,892.5,892.5,0,215.74752583125002
