period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,kashm,1,0,2058,0,0,0,0,0,0,0,2058,0,0,0,0,2058,2058,0,0
1,30,60,30,kashm,1,0,2205,0,0,0,0,0,0,0,2205,0,0,0,0,2205,2205,0,0
2,60,90,30,kashm,1,0,2205,0,0,0,0,0,0,0,2205,0,0,0,0,2205,2205,0,0
3,90,120,30,kashm,1,0,2205,0,0,0,0,0,0,0,2205,0,0,0,0,2205,2205,0,0
4,120,150,30,kashm,1,0,2205,0,0,0,0,0,0,0,2205,0,0,0,0,2205,2205,0,0
5,150,180,30,kashm,1,0,2205,0,0,0,0,0,0,0,2205,0,0,0,0,2205,2205,0,0
6,180,210,30,kashm,1,0,2205,0,0,0,0,0,0,0,2205,0,0,0,0,2205,2205,0,0
7,210,240,30,kashm,1,0,2205,0,0,0,0,0,0,0,2205,0,0,0,0,2205,2205,0,0
8,240,270,30,kashm,1,0,2205,0,0,0,0,0,0,0,2205,0,0,0,0,2205,2205,0,0
9,270,300,30,kashm,1,0,2205,0,0,0,0,0,0,0,2205,0,0,0,0,2205,2205,0,0
10,300,330,30,kashm,1,0,2205,0,0,0,0,0,0,0,2205,0,0,0,0,2205,2205,0,0
11,330,360,30,kashm,1,0,2205,0,0,0,0,0,0,0,2205,0,0,0,0,2205,2205,0,0
12,360,365,5,kashm,1,0,367.5,0,0,0,0,0,0,0,367.5,0,0,0,0,367.5,367.5,0,0
