period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,merowe,1,0,4972.300000066963,0,0,0,0,0,0,0,5392.300000066964,885.7466798272494,0.8857466798272494,0.06241932725,0,5392.300000066964,5392.300000066964,0,336.58373833435456
1,30,60,30,merowe,1,720,8056.250000069802,0,0,0,0,0,0,0,6923.5000000173595,1137.2637163591016,1.1372637163591017,0.06241932725,412.75000005243976,7336.250000069799,7336.2500000698,0,432.16021221645826
2,60,90,30,merowe,1,720,8677.500000068401,0,0,0,0,0,0,0,7200,1182.6819900000005,1.1826819900000005,0.06241932725,1477.5000000684008,8677.500000068401,8677.500000068401,0,449.41915619999975
3,90,120,30,merowe,1,720,8677.500000068401,0,0,0,0,0,0,0,7200,1182.6819900000005,1.1826819900000005,0.06241932725,1477.5000000684008,8677.500000068401,8677.500000068401,0,449.41915619999975
4,120,150,30,merowe,1,720,8677.500000068401,0,0,0,0,0,0,0,7200,1182.6819900000005,1.1826819900000005,0.06241932725,1477.5000000684008,8677.500000068401,8677.500000068401,0,449.41915619999975
5,150,180,30,merowe,1,720,8677.500000068401,0,0,0,0,0,0,0,7200,1182.6819900000005,1.1826819900000005,0.06241932725,1477.5000000684008,8677.500000068401,8677.500000068401,0,449.41915619999975
6,180,210,30,merowe,1,720,8677.500000068401,0,0,0,0,0,0,0,7200,1182.6819900000005,1.1826819900000005,0.06241932725,1477.5000000684008,8677.500000068401,8677.500000068401,0,449.41915619999975
7,210,240,30,merowe,1,720,8677.500000068401,0,0,0,0,0,0,0,7200,1182.6819900000005,1.1826819900000005,0.06241932725,1477.5000000684008,8677.500000068401,8677.500000068401,0,449.41915619999975
8,240,270,30,merowe,1,720,8677.500000068401,0,0,0,0,0,0,0,7200,1182.6819900000005,1.1826819900000005,0.06241932725,1477.5000000684008,8677.500000068401,8677.500000068401,0,449.41915619999975
9,270,300,30,merowe,1,720,8677.500000068401,0,0,0,0,0,0,0,7200,1182.6819900000005,1.1826819900000005,0.06241932725,1477.5000000684008,8677.500000068401,8677.500000068401,0,449.41915619999975
10,300,330,30,merowe,1,720,8677.500000068401,0,0,0,0,0,0,0,7200,1182.6819900000005,1.1826819900000005,0.06241932725,1477.5000000684008,8677.500000068401,8677.500000068401,0,449.41915619999975
11,330,360,30,merowe,1,720,8677.500000068401,0,0,0,0,0,0,0,7200,1182.6819900000005,1.1826819900000005,0.06241932725,1477.5000000684008,8677.500000068401,8677.500000068401,0,449.41915619999975
12,360,365,5,merowe,1,720,1446.2500000114,0,0,0,0,0,0,0,1200,197.113665,0.197113665,0.062419327250000003,246.25000001139995,1446.2500000114,1446.2500000114,0,74.9031927
