period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,roseires,1,420,5392.999999999999,0,0,0,0,0,0,0,4476.8,746.3409822399999,0.7463409822399999,0.051681045500000015,756.1999999999995,5233,5232.999999999999,0.0000000000009094947017729282,231.3657044943998
1,30,60,30,roseires,1,420,5606.999999999998,0,0,0,0,0,0,0,4500,750.208725,0.7502087249999999,0.051681045500000015,1106.9999999999995,5607,5606.999999999998,0.0000000000018189894035458565,232.5647047499998
2,60,90,30,roseires,1,420,5606.999999999998,0,0,0,0,0,0,0,4500,750.208725,0.7502087249999999,0.051681045500000015,1106.9999999999995,5607,5606.999999999998,0.0000000000018189894035458565,232.5647047499998
3,90,120,30,roseires,1,420,5606.999999999998,0,0,0,0,0,0,0,4500,750.208725,0.7502087249999999,0.051681045500000015,1106.9999999999995,5607,5606.999999999998,0.0000000000018189894035458565,232.5647047499998
4,120,150,30,roseires,1,420,5606.999999999998,0,0,0,0,0,0,0,4500,750.208725,0.7502087249999999,0.051681045500000015,1106.9999999999995,5607,5606.999999999998,0.0000000000018189894035458565,232.5647047499998
5,150,180,30,roseires,1,420,5606.999999999998,0,0,0,0,0,0,0,4500,750.208725,0.7502087249999999,0.051681045500000015,1106.9999999999995,5607,5606.999999999998,0.0000000000018189894035458565,232.5647047499998
6,180,210,30,roseires,1,420,5606.999999999998,0,0,0,0,0,0,0,4500,750.208725,0.7502087249999999,0.051681045500000015,1106.9999999999995,5607,5606.999999999998,0.0000000000018189894035458565,232.5647047499998
7,210,240,30,roseires,1,420,5606.999999999998,0,0,0,0,0,0,0,4500,750.208725,0.7502087249999999,0.051681045500000015,1106.9999999999995,5607,5606.999999999998,0.0000000000018189894035458565,232.5647047499998
8,240,270,30,roseires,1,420,5606.999999999998,0,0,0,0,0,0,0,4500,750.208725,0.7502087249999999,0.051681045500000015,1106.9999999999995,5607,5606.999999999998,0.0000000000018189894035458565,232.5647047499998
9,270,300,30,roseires,1,420,5606.999999999998,0,0,0,0,0,0,0,4500,750.208725,0.7502087249999999,0.051681045500000015,1106.9999999999995,5607,5606.999999999998,0.0000000000018189894035458565,232.5647047499998
10,300,330,30,roseires,1,420,5606.999999999998,0,0,0,0,0,0,0,4500,750.208725,0.7502087249999999,0.051681045500000015,1106.9999999999995,5607,5606.999999999998,0.0000000000018189894035458565,232.5647047499998
11,330,360,30,roseires,1,420,5606.999999999998,0,0,0,0,0,0,0,4500,750.208725,0.7502087249999999,0.051681045500000015,1106.9999999999995,5607,5606.999999999998,0.0000000000018189894035458565,232.5647047499998
12,360,365,5,roseires,1,420,934.5,0,0,0,0,0,0,0,750,125.0347875,0.1250347875,0.0516810455,184.4999999999999,934.4999999999999,934.4999999999999,0,38.760784124999994
