period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,30,30,singa,1,0,4859.2,0,0,0,1859.9999999256008,1735.9999999305608,123.99999999504001,2083.200000000001,3123.2000000694384,0,0,0,0,3123.2000000694384,3123.2000000694384,0,0
1,30,60,30,singa,1,0,5606.999999999998,0,0,0,1859.9999999256008,1859.9999999256008,0,2232.0000000000014,3747.0000000743976,0,0,0,0,3747.0000000743976,3747.0000000743976,0,0
2,60,90,30,singa,1,0,5606.999999999998,0,0,0,1859.9999999256008,1859.9999999256008,0,2232.0000000000014,3747.0000000743976,0,0,0,0,3747.0000000743976,3747.0000000743976,0,0
3,90,120,30,singa,1,0,5606.999999999998,0,0,0,1859.9999999256008,1859.9999999256008,0,2232.0000000000014,3747.0000000743976,0,0,0,0,3747.0000000743976,3747.0000000743976,0,0
4,120,150,30,singa,1,0,5606.999999999998,0,0,0,1859.9999999256008,1859.9999999256008,0,2232.0000000000014,3747.0000000743976,0,0,0,0,3747.0000000743976,3747.0000000743976,0,0
5,150,180,30,singa,1,0,5606.999999999998,0,0,0,1859.9999999256008,1859.9999999256008,0,2232.0000000000014,3747.0000000743976,0,0,0,0,3747.0000000743976,3747.0000000743976,0,0
6,180,210,30,singa,1,0,5606.999999999998,0,0,0,1859.9999999256008,1859.9999999256008,0,2232.0000000000014,3747.0000000743976,0,0,0,0,3747.0000000743976,3747.0000000743976,0,0
7,210,240,30,singa,1,0,5606.999999999998,0,0,0,1859.9999999256008,1859.9999999256008,0,2232.0000000000014,3747.0000000743976,0,0,0,0,3747.0000000743976,3747.0000000743976,0,0
8,240,270,30,singa,1,0,5606.999999999998,0,0,0,1859.9999999256008,1859.9999999256008,0,2232.0000000000014,3747.0000000743976,0,0,0,0,3747.0000000743976,3747.0000000743976,0,0
9,270,300,30,singa,1,0,5606.999999999998,0,0,0,1859.9999999256008,1859.9999999256008,0,2232.0000000000014,3747.0000000743976,0,0,0,0,3747.0000000743976,3747.0000000743976,0,0
10,300,330,30,singa,1,0,5606.999999999998,0,0,0,1859.9999999256008,1859.9999999256008,0,2232.0000000000014,3747.0000000743976,0,0,0,0,3747.0000000743976,3747.0000000743976,0,0
11,330,360,30,singa,1,0,5606.999999999998,0,0,0,1859.9999999256008,1859.9999999256008,0,2232.0000000000014,3747.0000000743976,0,0,0,0,3747.0000000743976,3747.0000000743976,0,0
12,360,365,5,singa,1,0,934.4999999999999,0,0,0,309.99999998760006,309.99999998760006,0,372,624.5000000123998,0,0,0,0,624.5000000123998,624.5000000123998,0,0
