period_index,start_day,end_day_exclusive,duration_days,total_inflow,total_evaporation,total_drink_water_met,total_unmet_drink_water,total_food_water_demand,total_food_water_met,total_unmet_food_water,total_food_produced,total_production_release,total_generated_electricity_kwh,total_generated_electricity_mwh,total_spill,total_release_for_routing,total_downstream_release,total_routing_loss,total_energy_value
0,0,30,30,44892.55000011904,1627.1999999999998,1294.05,2224.9499999999994,8482.499999822103,2793.1999999404807,5689.29999988162,3813.1636364113238,40081.90000017856,4796.161115983722,4.796161115983722,756.1999999999995,40838.10000017856,40838.10000017856,0.0000000000009094947017729282,2610.656868185724
1,30,60,30,62543.40000018636,1800,3506.1000000000004,12.9,8482.499999822103,5655.3000000058,2827.199999816302,8131.400000217409,49342.250000128115,5610.618598783075,5.610618598783075,1519.7500000524392,50862.000000180546,50862.000000180546,0.0000000000018189894035458565,3032.7100674184776
2,60,90,30,67433.75000020064,1800,3519.0000000000005,0,8482.499999822103,7753.499999965798,728.9999998563013,11554.090909304367,51650.75000010259,6184.8623124186815,6.184862312418682,2584.5000000684004,54235.250000171,54235.250000171,0.0000000000018189894035458565,3361.9760209988976
3,90,120,30,68166.0000001368,1800,3519.0000000000005,0,8482.499999822103,8405.999999931599,76.49999989050116,12621.818181995088,51721.500000068394,6204.115830937499,6.204115830937499,2584.5000000684004,54306.000000136795,54306.000000136795,0.0000000000018189894035458565,3373.3355969250006
4,120,150,30,68166.0000001368,1800,3519.0000000000005,0,8482.499999822103,8405.999999931599,76.49999989050116,12621.818181995088,51721.500000068394,6204.115830937499,6.204115830937499,2584.5000000684004,54306.000000136795,54306.000000136795,0.0000000000018189894035458565,3373.3355969250006
5,150,180,30,68166.0000001368,1800,3519.0000000000005,0,8482.499999822103,8405.999999931599,76.49999989050116,12621.818181995088,51721.500000068394,6204.115830937499,6.204115830937499,2584.5000000684004,54306.000000136795,54306.000000136795,0.0000000000018189894035458565,3373.3355969250006
6,180,210,30,68166.0000001368,1800,3519.0000000000005,0,8482.499999822103,8405.999999931599,76.49999989050116,12621.818181995088,51721.500000068394,6204.115830937499,6.204115830937499,2584.5000000684004,54306.000000136795,54306.000000136795,0.0000000000018189894035458565,3373.3355969250006
7,210,240,30,68166.0000001368,1800,3519.0000000000005,0,8482.499999822103,8405.999999931599,76.49999989050116,12621.818181995088,51721.500000068394,6204.115830937499,6.204115830937499,2584.5000000684004,54306.000000136795,54306.000000136795,0.0000000000018189894035458565,3373.3355969250006
8,240,270,30,68166.0000001368,1800,3519.0000000000005,0,8482.499999822103,8405.999999931599,76.49999989050116,12621.818181995088,51721.500000068394,6204.115830937499,6.204115830937499,2584.5000000684004,54306.000000136795,54306.000000136795,0.0000000000018189894035458565,3373.3355969250006
9,270,300,30,68166.0000001368,1800,3519.0000000000005,0,8482.499999822103,8405.999999931599,76.49999989050116,12621.818181995088,51721.500000068394,6204.115830937499,6.204115830937499,2584.5000000684004,54306.000000136795,54306.000000136795,0.0000000000018189894035458565,3373.3355969250006
10,300,330,30,68166.0000001368,1800,3519.0000000000005,0,8482.499999822103,8405.999999931599,76.49999989050116,12621.818181995088,51721.500000068394,6204.115830937499,6.204115830937499,2584.5000000684004,54306.000000136795,54306.000000136795,0.0000000000018189894035458565,3373.3355969250006
11,330,360,30,68166.0000001368,1800,3519.0000000000005,0,8482.499999822103,8405.999999931599,76.49999989050116,12621.818181995088,51721.500000068394,6204.115830937499,6.204115830937499,2584.5000000684004,54306.000000136795,54306.000000136795,0.0000000000018189894035458565,3373.3355969250006
12,360,365,5,11361.0000000228,300,586.5,0,1413.74999997035,1400.9999999886,12.749999981750193,2103.636363665848,8620.2500000114,1034.01930515625,1.03401930515625,430.75000001139983,9051.0000000228,9051.0000000228,0,562.2225994875
