period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,1,1,aswand,0.8,582.5,4.5,0,0,0,0,0,0,0,232,63.1352127,0.0631352127,0.16858734598125,0,232,232,0,39.11226426765
1,1,2,1,aswand,0.8,355,4.5,0,0,0,0,0,0,0,232,63.1352127,0.0631352127,0.16858734598125,0,232,232,0,39.11226426765
2,2,3,1,aswand,0.8,127.5,4.5,0,0,0,0,0,0,0,232,63.1352127,0.0631352127,0.16858734598125,0,232,232,0,39.11226426765
3,3,4,1,aswand,0.8,0,4.5,0,0,0,0,0,0,0,132,35.92175895,0.03592175895,0.16858734598125,0,132,132,0,22.253529669525
4,4,5,1,aswand,0.8,0,4.5,0,0,0,0,0,0,0,4.5,1.22460541875,0.0012246054187499999,0.16858734598125,0,4.5,4.5,0,0.7586430569156251
5,5,6,1,aswand,0.8,0,4.5,0,0,0,0,0,0,0,4.5,1.22460541875,0.0012246054187499999,0.16858734598125,0,4.5,4.5,0,0.7586430569156251
6,6,7,1,aswand,0.8,0,4.5,0,0,0,0,0,0,0,4.5,1.22460541875,0.0012246054187499999,0.16858734598125,0,4.5,4.5,0,0.7586430569156251
7,7,8,1,aswand,0.8,0,4.5,0,0,0,0,0,0,0,4.5,1.22460541875,0.0012246054187499999,0.16858734598125,0,4.5,4.5,0,0.7586430569156251
8,8,9,1,aswand,0.8,0,4.5,0,0,0,0,0,0,0,4.5,1.22460541875,0.0012246054187499999,0.16858734598125,0,4.5,4.5,0,0.7586430569156251
9,9,10,1,aswand,0.8,0,4.5,0,0,0,0,0,0,0,4.5,1.22460541875,0.0012246054187499999,0.16858734598125,0,4.5,4.5,0,0.7586430569156251
10,10,11,1,aswand,0.8,0,196.5,0,0,0,0,0,0,0,196.5,53.47443661875,0.053474436618749996,0.16858734598125,0,196.5,196.5,0,33.12741348531563
11,11,12,1,aswand,0.8,0,194.10000000000002,0,0,0,0,0,0,0,194.10000000000002,52.821313728750006,0.052821313728750006,0.16858734598125,0,194.10000000000002,194.10000000000002,0,32.72280385496063
12,12,13,1,aswand,0.8,0,6.3,0,0,0,0,0,0,0,6.3,1.71444758625,0.00171444758625,0.16858734598125,0,6.3,6.3,0,1.062100279681875
13,13,14,1,aswand,0.8,0,69.2600000022816,0,0,0,0,0,0,0,69.2600000022816,18.848038067870903,0.0188480380678709,0.16858734598125,0,69.2600000022816,69.2600000022816,0,11.676359583046025
14,14,15,1,aswand,0.8,0,132.2600000022816,0,0,0,0,0,0,0,132.2600000022816,35.992513930370905,0.0359925139303709,0.16858734598125,0,132.2600000022816,132.2600000022816,0,22.297362379864776
15,15,16,1,aswand,0.8,0,132.2600000022816,0,0,0,0,0,0,0,132.2600000022816,35.992513930370905,0.0359925139303709,0.16858734598125,0,132.2600000022816,132.2600000022816,0,22.297362379864776
16,16,17,1,aswand,0.8,0,132.2600000022816,0,0,0,0,0,0,0,132.2600000022816,35.992513930370905,0.0359925139303709,0.16858734598125,0,132.2600000022816,132.2600000022816,0,22.297362379864776
17,17,18,1,aswand,0.8,0,132.2600000022816,0,0,0,0,0,0,0,132.2600000022816,35.992513930370905,0.0359925139303709,0.16858734598125,0,132.2600000022816,132.2600000022816,0,22.297362379864776
18,18,19,1,aswand,0.8,0,132.2600000022816,0,0,0,0,0,0,0,132.2600000022816,35.992513930370905,0.0359925139303709,0.16858734598125,0,132.2600000022816,132.2600000022816,0,22.297362379864776
19,19,20,1,aswand,0.8,0,132.2600000022816,0,0,0,0,0,0,0,132.2600000022816,35.992513930370905,0.0359925139303709,0.16858734598125,0,132.2600000022816,132.2600000022816,0,22.297362379864776
