period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,1,1,gerd,0.8,274,0,0,0,0,0,0,0,0,176,62.566427000000004,0.06256642700000001,0.253820618625,0,176,176,0,44.672428878
1,1,2,1,gerd,0.8,98,0,0,0,0,0,0,0,0,176,62.566427000000004,0.06256642700000001,0.253820618625,0,176,176,0,44.672428878
2,2,3,1,gerd,0.8,75,153,0,0,0,0,0,0,0,176,62.566427000000004,0.06256642700000001,0.253820618625,0,176,176,0,44.672428878
3,3,4,1,gerd,0.8,52,153,0,0,0,0,0,0,0,176,62.566427000000004,0.06256642700000001,0.253820618625,0,176,176,0,44.672428878
4,4,5,1,gerd,0.8,29,153,0,0,0,0,0,0,0,176,62.566427000000004,0.06256642700000001,0.253820618625,0,176,176,0,44.672428878
5,5,6,1,gerd,0.8,6,153,0,0,0,0,0,0,0,176,62.566427000000004,0.06256642700000001,0.253820618625,0,176,176,0,44.672428878
6,6,7,1,gerd,0.8,0,153,0,0,0,0,0,0,0,159,56.5230789375,0.056523078937500006,0.253820618625,0,159,159,0,40.357478361375
7,7,8,1,gerd,0.8,0,153,0,0,0,0,0,0,0,153,54.3901325625,0.0543901325625,0.253820618625,0,153,153,0,38.834554649625
8,8,9,1,gerd,0.8,0,153,0,0,0,0,0,0,0,153,54.3901325625,0.0543901325625,0.253820618625,0,153,153,0,38.834554649625
9,9,10,1,gerd,0.8,0,153,0,0,0,0,0,0,0,153,54.3901325625,0.0543901325625,0.253820618625,0,153,153,0,38.834554649625
10,10,11,1,gerd,0.8,0,153,0,0,0,0,0,0,0,153,54.3901325625,0.0543901325625,0.253820618625,0,153,153,0,38.834554649625
11,11,12,1,gerd,0.8,0,153,0,0,0,0,0,0,0,153,54.3901325625,0.0543901325625,0.253820618625,0,153,153,0,38.834554649625
12,12,13,1,gerd,0.8,0,153,0,0,0,0,0,0,0,153,54.3901325625,0.0543901325625,0.253820618625,0,153,153,0,38.834554649625
13,13,14,1,gerd,0.8,0,153,0,0,0,0,0,0,0,153,54.3901325625,0.0543901325625,0.253820618625,0,153,153,0,38.834554649625
14,14,15,1,gerd,0.8,0,153,0,0,0,0,0,0,0,153,54.3901325625,0.0543901325625,0.253820618625,0,153,153,0,38.834554649625
15,15,16,1,gerd,0.8,0,153,0,0,0,0,0,0,0,153,54.3901325625,0.0543901325625,0.253820618625,0,153,153,0,38.834554649625
16,16,17,1,gerd,0.8,0,153,0,0,0,0,0,0,0,153,54.3901325625,0.0543901325625,0.253820618625,0,153,153,0,38.834554649625
17,17,18,1,gerd,0.8,0,153,0,0,0,0,0,0,0,153,54.3901325625,0.0543901325625,0.253820618625,0,153,153,0,38.834554649625
18,18,19,1,gerd,0.8,0,153,0,0,0,0,0,0,0,153,54.3901325625,0.0543901325625,0.253820618625,0,153,153,0,38.834554649625
19,19,20,1,gerd,0.8,0,153,0,0,0,0,0,0,0,153,54.3901325625,0.0543901325625,0.253820618625,0,153,153,0,38.834554649625
20,20,21,1,gerd,0.8,0,153,0,0,0,0,0,0,0,153,54.3901325625,0.0543901325625,0.253820618625,0,153,153,0,38.834554649625
21,21,22,1,gerd,0.8,0,153,0,0,0,0,0,0,0,153,54.3901325625,0.0543901325625,0.253820618625,0,153,153,0,38.834554649625
22,22,23,1,gerd,0.8,0,153,0,0,0,0,0,0,0,153,54.3901325625,0.0543901325625,0.253820618625,0,153,153,0,38.834554649625
23,23,24,1,gerd,0.8,0,153,0,0,0,0,0,0,0,153,54.3901325625,0.0543901325625,0.253820618625,0,153,153,0,38.834554649625
24,24,25,1,gerd,0.8,0,153,0,0,0,0,0,0,0,153,54.3901325625,0.0543901325625,0.253820618625,0,153,153,0,38.834554649625
25,25,26,1,gerd,0.8,0,153,0,0,0,0,0,0,0,153,54.3901325625,0.0543901325625,0.253820618625,0,153,153,0,38.834554649625
26,26,27,1,gerd,0.8,0,153,0,0,0,0,0,0,0,153,54.3901325625,0.0543901325625,0.253820618625,0,153,153,0,38.834554649625
27,27,28,1,gerd,0.8,0,153,0,0,0,0,0,0,0,153,54.3901325625,0.0543901325625,0.253820618625,0,153,153,0,38.834554649625
28,28,29,1,gerd,0.8,0,153,0,0,0,0,0,0,0,153,54.3901325625,0.0543901325625,0.253820618625,0,153,153,0,38.834554649625
29,29,30,1,gerd,0.8,0,153,0,0,0,0,0,0,0,153,54.3901325625,0.0543901325625,0.253820618625,0,153,153,0,38.834554649625
30,30,31,1,gerd,0.8,0,153,0,0,0,0,0,0,0,153,54.3901325625,0.0543901325625,0.253820618625,0,153,153,0,38.834554649625
31,31,32,1,gerd,0.8,0,153,0,0,0,0,0,0,0,153,54.3901325625,0.0543901325625,0.253820618625,0,153,153,0,38.834554649625
