period_index,start_day,end_day_exclusive,duration_days,node_id,action,reservoir_level,total_inflow,evaporation,drink_water_met,unmet_drink_water,food_water_demand,food_water_met,unmet_food_water,food_produced,production_release,generated_electricity_kwh,generated_electricity_mwh,water_value_eur_per_m3,spill,release_for_routing,downstream_release,routing_loss,energy_value
0,0,1,1,roseires,0.8,121.19999999999999,7.2,0,0,0,0,0,0,0,120,20.005566,0.020005566000000002,0.054265097775,0,120,120,0,6.511811733000001
1,1,2,1,roseires,0.8,8.399999999999977,7.2,0,0,0,0,0,0,0,120,20.005566,0.020005566000000002,0.054265097775,0,120,120,0,6.511811733000001
2,2,3,1,roseires,0.8,71.59999999999997,183.2,0,0,0,0,0,0,0,120,20.005566,0.020005566000000002,0.054265097775,0,120,120,0,6.511811733000001
3,3,4,1,roseires,0.8,134.79999999999995,183.2,0,0,0,0,0,0,0,120,20.005566,0.020005566000000002,0.054265097775,0,120,120,0,6.511811733000001
4,4,5,1,roseires,0.8,197.99999999999994,183.2,0,0,0,0,0,0,0,120,20.005566,0.020005566000000002,0.054265097775,0,120,120,0,6.511811733000001
5,5,6,1,roseires,0.8,261.19999999999993,183.2,0,0,0,0,0,0,0,120,20.005566,0.020005566000000002,0.054265097775,0,120,120,0,6.511811733000001
6,6,7,1,roseires,0.8,324.3999999999999,183.2,0,0,0,0,0,0,0,120,20.005566,0.020005566000000002,0.054265097775,0,120,120,0,6.511811733000001
7,7,8,1,roseires,0.8,387.5999999999999,183.2,0,0,0,0,0,0,0,120,20.005566,0.020005566000000002,0.054265097775,0,120,120,0,6.511811733000001
8,8,9,1,roseires,0.8,420,166.2,0,0,0,0,0,0,0,120,20.005566,0.020005566000000002,0.054265097775,13.799999999999955,133.79999999999995,133.79999999999995,0,6.511811733000001
9,9,10,1,roseires,0.8,420,160.2,0,0,0,0,0,0,0,120,20.005566,0.020005566000000002,0.054265097775,40.200000000000045,160.20000000000005,160.20000000000005,0,6.511811733000001
10,10,11,1,roseires,0.8,420,160.2,0,0,0,0,0,0,0,120,20.005566,0.020005566000000002,0.054265097775,40.200000000000045,160.20000000000005,160.20000000000005,0,6.511811733000001
11,11,12,1,roseires,0.8,420,160.2,0,0,0,0,0,0,0,120,20.005566,0.020005566000000002,0.054265097775,40.200000000000045,160.20000000000005,160.20000000000005,0,6.511811733000001
12,12,13,1,roseires,0.8,420,160.2,0,0,0,0,0,0,0,120,20.005566,0.020005566000000002,0.054265097775,40.200000000000045,160.20000000000005,160.20000000000005,0,6.511811733000001
13,13,14,1,roseires,0.8,420,160.2,0,0,0,0,0,0,0,120,20.005566,0.020005566000000002,0.054265097775,40.200000000000045,160.20000000000005,160.20000000000005,0,6.511811733000001
14,14,15,1,roseires,0.8,420,160.2,0,0,0,0,0,0,0,120,20.005566,0.020005566000000002,0.054265097775,40.200000000000045,160.20000000000005,160.20000000000005,0,6.511811733000001
15,15,16,1,roseires,0.8,420,160.2,0,0,0,0,0,0,0,120,20.005566,0.020005566000000002,0.054265097775,40.200000000000045,160.20000000000005,160.20000000000005,0,6.511811733000001
16,16,17,1,roseires,0.8,420,160.2,0,0,0,0,0,0,0,120,20.005566,0.020005566000000002,0.054265097775,40.200000000000045,160.20000000000005,160.20000000000005,0,6.511811733000001
17,17,18,1,roseires,0.8,420,160.2,0,0,0,0,0,0,0,120,20.005566,0.020005566000000002,0.054265097775,40.200000000000045,160.20000000000005,160.20000000000005,0,6.511811733000001
18,18,19,1,roseires,0.8,420,160.2,0,0,0,0,0,0,0,120,20.005566,0.020005566000000002,0.054265097775,40.200000000000045,160.20000000000005,160.20000000000005,0,6.511811733000001
